contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CFG250516C00025000,2025-04-08 16:31:29+00:00,25.0,10.5,11.4,12.4,0.0,0.0,1.0,1,0.92773509765625,True,REGULAR,USD,CFG,1,2025-05-16,2025-04-23 13:01:48.063956,36.7400016784668
CFG250516C00027500,2025-04-08 16:48:17+00:00,27.5,8.1,8.9,10.1,0.0,0.0,,23,0.82226740234375,True,REGULAR,USD,CFG,1,2025-05-16,2025-04-23 13:01:48.063956,36.7400016784668
CFG250516C00030000,2025-04-16 19:17:44+00:00,30.0,5.25,6.5,7.4,0.0,0.0,1.0,13,0.5898478515625001,True,REGULAR,USD,CFG,1,2025-05-16,2025-04-23 13:01:48.063956,36.7400016784668
CFG250516C00032500,2025-04-21 17:01:15+00:00,32.5,2.5,4.2,4.3,0.0,0.0,2.0,49,0.29688203124999996,True,REGULAR,USD,CFG,1,2025-05-16,2025-04-23 13:01:48.063956,36.7400016784668
CFG250516C00035000,2025-04-23 14:55:07+00:00,35.0,2.45,2.05,2.25,0.95000005,63.33334,8.0,1509,0.32227240234374993,True,REGULAR,USD,CFG,1,2025-05-16,2025-04-23 13:01:48.063956,36.7400016784668
CFG250516C00037500,2025-04-23 14:59:14+00:00,37.5,1.0,0.85,0.9,0.45,81.81818,21.0,1218,0.3276434423828125,False,REGULAR,USD,CFG,1,2025-05-16,2025-04-23 13:01:48.063956,36.7400016784668
CFG250516C00040000,2025-04-23 16:15:20+00:00,40.0,0.15,0.15,0.25,0.09,150.0,44.0,1874,0.32227240234374993,False,REGULAR,USD,CFG,1,2025-05-16,2025-04-23 13:01:48.063956,36.7400016784668
CFG250516C00042500,2025-04-15 17:58:13+00:00,42.5,0.15,0.0,0.15,0.0,0.0,7.0,10,0.405279384765625,False,REGULAR,USD,CFG,1,2025-05-16,2025-04-23 13:01:48.063956,36.7400016784668
CFG250516C00045000,2025-04-22 13:51:44+00:00,45.0,0.06,0.0,0.1,0.0,0.0,1.0,60,0.476567734375,False,REGULAR,USD,CFG,1,2025-05-16,2025-04-23 13:01:48.063956,36.7400016784668
CFG250516C00047500,2025-04-14 13:50:20+00:00,47.5,0.05,0.0,0.4,0.0,0.0,1.0,13,0.6611362011718751,False,REGULAR,USD,CFG,1,2025-05-16,2025-04-23 13:01:48.063956,36.7400016784668
