contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CHD250516C00095000,2025-04-14 18:02:37+00:00,95.0,11.85,6.6,7.7,0.0,0.0,,2.0,0.37500625,1.0,REGULAR,USD,CHD,1,2025-05-16,2025-04-23 13:01:39.814477,101.2699966430664
CHD250516C00100000,2025-04-23 15:18:33+00:00,100.0,4.1,3.3,3.6,-2.52,-38.066467,2.0,11.0,0.2836985693359374,1.0,REGULAR,USD,CHD,1,2025-05-16,2025-04-23 13:01:39.814477,101.2699966430664
CHD250516C00105000,2025-04-23 16:16:22+00:00,105.0,1.3,1.2,1.5,-1.3500001,-50.9434,2.0,910.0,0.2846751220703124,0.0,REGULAR,USD,CHD,1,2025-05-16,2025-04-23 13:01:39.814477,101.2699966430664
CHD250516C00110000,2025-04-23 14:05:01+00:00,110.0,0.62,0.0,0.45,-0.23000002,-27.058825,15.0,196.0,0.2766185620117187,0.0,REGULAR,USD,CHD,1,2025-05-16,2025-04-23 13:01:39.814477,101.2699966430664
CHD250516C00115000,2025-04-21 15:36:12+00:00,115.0,0.2,0.0,0.15,0.0,0.0,13.0,58.0,0.2929758203124999,0.0,REGULAR,USD,CHD,1,2025-05-16,2025-04-23 13:01:39.814477,101.2699966430664
CHD250516C00120000,2025-04-04 13:40:26+00:00,120.0,1.27,0.0,1.35,0.0,0.0,1.0,3.0,0.5131884619140624,0.0,REGULAR,USD,CHD,1,2025-05-16,2025-04-23 13:01:39.814477,101.2699966430664
CHD250516P00080000,2025-03-28 13:30:10+00:00,80.0,0.48,0.0,0.75,0.0,0.0,1.0,1.0,0.5996133789062501,0.0,REGULAR,USD,CHD,0,2025-05-16,2025-04-23 13:01:39.816480,101.2699966430664
CHD250516P00085000,2025-04-11 19:13:07+00:00,85.0,0.57,0.0,1.45,0.0,0.0,,2.0,0.5620160986328125,0.0,REGULAR,USD,CHD,0,2025-05-16,2025-04-23 13:01:39.816480,101.2699966430664
CHD250516P00090000,2025-04-15 14:12:33+00:00,90.0,0.45,0.0,0.75,0.0,0.0,1.0,10.0,0.4272518212890626,0.0,REGULAR,USD,CHD,0,2025-05-16,2025-04-23 13:01:39.816480,101.2699966430664
CHD250516P00095000,2025-04-22 15:38:33+00:00,95.0,0.75,0.0,1.75,0.0,0.0,15.0,58.0,0.414068359375,0.0,REGULAR,USD,CHD,0,2025-05-16,2025-04-23 13:01:39.816480,101.2699966430664
