contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CHRW250516C00055000,2025-02-07 17:59:47+00:00,55.0,41.59,45.6,49.0,0.0,0.0,1.0,0,3.6499032189941407,True,REGULAR,USD,CHRW,1,2025-05-16,2025-04-23 13:01:15.858935,90.57499694824219
CHRW250516C00065000,2024-12-16 05:11:24+00:00,65.0,43.7,40.7,44.8,0.0,0.0,,1,3.701905042114258,True,REGULAR,USD,CHRW,1,2025-05-16,2025-04-23 13:01:15.858935,90.57499694824219
CHRW250516C00075000,2025-04-08 16:48:18+00:00,75.0,15.5,15.8,18.1,0.0,0.0,,0,0.75195560546875,True,REGULAR,USD,CHRW,1,2025-05-16,2025-04-23 13:01:15.858935,90.57499694824219
CHRW250516C00080000,2025-04-21 14:55:44+00:00,80.0,11.05,11.3,11.6,0.0,0.0,3.0,7,0.5109912182617188,True,REGULAR,USD,CHRW,1,2025-05-16,2025-04-23 13:01:15.858935,90.57499694824219
CHRW250516C00085000,2025-04-21 19:39:14+00:00,85.0,6.6,7.4,8.0,0.0,0.0,5.0,273,0.523442265625,True,REGULAR,USD,CHRW,1,2025-05-16,2025-04-23 13:01:15.858935,90.57499694824219
CHRW250516C00090000,2025-04-22 18:21:18+00:00,90.0,4.1,4.3,4.6,0.0,0.0,18.0,1175,0.46655806884765627,True,REGULAR,USD,CHRW,1,2025-05-16,2025-04-23 13:01:15.858935,90.57499694824219
CHRW250516C00092500,2025-04-23 15:02:48+00:00,92.5,3.4,2.95,3.2,0.20000005,6.250001,2.0,121,0.4370173486328125,False,REGULAR,USD,CHRW,1,2025-05-16,2025-04-23 13:01:15.858935,90.57499694824219
CHRW250516C00095000,2025-04-23 14:53:43+00:00,95.0,2.33,2.0,2.25,0.27999997,13.658535,2.0,659,0.4309138940429688,False,REGULAR,USD,CHRW,1,2025-05-16,2025-04-23 13:01:15.858935,90.57499694824219
CHRW250516C00097500,2025-04-23 15:59:12+00:00,97.5,1.45,1.2,1.45,0.33000004,29.464289,1.0,353,0.4155331884765625,False,REGULAR,USD,CHRW,1,2025-05-16,2025-04-23 13:01:15.858935,90.57499694824219
CHRW250516C00100000,2025-04-22 19:38:56+00:00,100.0,1.02,0.7,0.95,0.32,45.714287,6.0,2110,0.41309180664062495,False,REGULAR,USD,CHRW,1,2025-05-16,2025-04-23 13:01:15.858935,90.57499694824219
