contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CHTR250425C00315000,2025-04-09 14:35:23+00:00,315.0,25.0,26.3,31.2,0.0,0.0,,2,1.091801416015625,True,REGULAR,USD,CHTR,1,2025-04-25,2025-04-23 13:01:34.226880,339.57000732421875
CHTR250425C00325000,2025-04-21 19:31:34+00:00,325.0,13.45,20.3,23.7,0.0,0.0,7.0,9,1.1223188415527345,True,REGULAR,USD,CHTR,1,2025-04-25,2025-04-23 13:01:34.226880,339.57000732421875
CHTR250425C00330000,2025-04-23 14:09:40+00:00,330.0,20.12,17.2,20.3,6.120001,43.71429,9.0,22,1.109379453125,True,REGULAR,USD,CHTR,1,2025-04-25,2025-04-23 13:01:34.226880,339.57000732421875
CHTR250425C00332500,2025-04-23 15:13:23+00:00,332.5,19.9,16.7,19.2,6.8999996,53.07692,1.0,9,1.1635784008789063,True,REGULAR,USD,CHTR,1,2025-04-25,2025-04-23 13:01:34.226880,339.57000732421875
CHTR250425C00335000,2025-04-23 14:30:53+00:00,335.0,19.93,14.1,17.6,8.7300005,77.946434,1.0,17,1.102299410400391,True,REGULAR,USD,CHTR,1,2025-04-25,2025-04-23 13:01:34.226880,339.57000732421875
CHTR250425C00337500,2025-04-23 15:23:05+00:00,337.5,15.7,14.7,16.4,7.7,96.25,1.0,5,1.1840861108398437,True,REGULAR,USD,CHTR,1,2025-04-25,2025-04-23 13:01:34.226880,339.57000732421875
CHTR250425C00340000,2025-04-23 15:34:43+00:00,340.0,14.35,13.1,15.0,7.1300006,98.75347,9.0,11,1.1611370068359377,False,REGULAR,USD,CHTR,1,2025-04-25,2025-04-23 13:01:34.226880,339.57000732421875
CHTR250425C00342500,2025-04-23 15:01:45+00:00,342.5,15.35,12.2,15.1,6.55,74.431816,4.0,13,1.222415997314453,False,REGULAR,USD,CHTR,1,2025-04-25,2025-04-23 13:01:34.226880,339.57000732421875
CHTR250425C00345000,2025-04-23 15:36:49+00:00,345.0,12.0,10.1,11.9,-0.6000004,-4.7619076,7.0,29,1.0943648797607424,False,REGULAR,USD,CHTR,1,2025-04-25,2025-04-23 13:01:34.226880,339.57000732421875
CHTR250425C00350000,2025-04-22 16:25:17+00:00,350.0,11.6,8.1,10.1,5.5000005,90.16395,1.0,22,1.098149040527344,False,REGULAR,USD,CHTR,1,2025-04-25,2025-04-23 13:01:34.226880,339.57000732421875
CHTR250425C00352500,2025-04-22 19:38:21+00:00,352.5,5.42,7.2,9.1,0.0,0.0,2.0,22,1.0913131372070315,False,REGULAR,USD,CHTR,1,2025-04-25,2025-04-23 13:01:34.226880,339.57000732421875
CHTR250425C00355000,2025-04-23 13:54:20+00:00,355.0,7.9,6.7,8.2,3.0700002,63.561085,13.0,37,1.1005904345703126,False,REGULAR,USD,CHTR,1,2025-04-25,2025-04-23 13:01:34.226880,339.57000732421875
CHTR250425C00357500,2025-04-22 15:18:26+00:00,357.5,4.2,5.8,6.8,0.0,0.0,1.0,3,1.0636033148193362,False,REGULAR,USD,CHTR,1,2025-04-25,2025-04-23 13:01:34.226880,339.57000732421875
CHTR250425C00360000,2025-04-22 17:25:49+00:00,360.0,3.4,4.8,5.9,0.0,0.0,2.0,9,1.0368700500488286,False,REGULAR,USD,CHTR,1,2025-04-25,2025-04-23 13:01:34.226880,339.57000732421875
CHTR250425C00362500,2025-04-21 17:34:21+00:00,362.5,2.15,4.3,5.6,0.0,0.0,1.0,13,1.0571336206054687,False,REGULAR,USD,CHTR,1,2025-04-25,2025-04-23 13:01:34.226880,339.57000732421875
CHTR250425C00365000,2025-04-21 14:37:32+00:00,365.0,2.95,3.7,4.4,0.0,0.0,1.0,18,1.0206347796630861,False,REGULAR,USD,CHTR,1,2025-04-25,2025-04-23 13:01:34.226880,339.57000732421875
CHTR250425C00370000,2025-04-23 14:08:27+00:00,370.0,4.0,2.7,3.9,1.9000001,90.476204,1.0,12,1.0410204199218753,False,REGULAR,USD,CHTR,1,2025-04-25,2025-04-23 13:01:34.226880,339.57000732421875
CHTR250425C00372500,2025-04-17 14:13:43+00:00,372.5,3.8,2.25,5.3,0.0,0.0,1.0,2,1.1464886425781249,False,REGULAR,USD,CHTR,1,2025-04-25,2025-04-23 13:01:34.226880,339.57000732421875
CHTR250425C00375000,2025-04-22 13:38:20+00:00,375.0,1.0,2.0,3.2,0.0,0.0,1.0,19,1.049077020263672,False,REGULAR,USD,CHTR,1,2025-04-25,2025-04-23 13:01:34.226880,339.57000732421875
