contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CINF250516C00115000,2025-03-21 18:01:26+00:00,115.0,30.27,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,CINF,1,2025-05-16,2025-04-23 13:01:41.996458,134.08999633789062
CINF250516C00120000,2025-04-09 17:16:59+00:00,120.0,12.3,15.1,17.3,0.0,0.0,2.0,2.0,0.5407760766601564,1.0,REGULAR,USD,CINF,1,2025-05-16,2025-04-23 13:01:41.996458,134.08999633789062
CINF250516C00125000,2025-02-26 19:03:35+00:00,125.0,17.22,21.3,24.0,0.0,0.0,5.0,10.0,1.345462257080078,1.0,REGULAR,USD,CINF,1,2025-05-16,2025-04-23 13:01:41.996458,134.08999633789062
CINF250516C00130000,2025-04-16 16:04:58+00:00,130.0,8.4,6.9,8.9,0.0,0.0,3.0,109.0,0.4930470617675782,1.0,REGULAR,USD,CINF,1,2025-05-16,2025-04-23 13:01:41.996458,134.08999633789062
CINF250516C00135000,2025-04-22 18:03:14+00:00,135.0,3.4,4.2,5.6,0.0,0.0,4.0,747.0,0.43933666137695315,0.0,REGULAR,USD,CINF,1,2025-05-16,2025-04-23 13:01:41.996458,134.08999633789062
CINF250516C00140000,2025-04-23 16:26:00+00:00,140.0,2.28,2.0,2.85,0.27999997,13.999998,4.0,44.0,0.3773255627441406,0.0,REGULAR,USD,CINF,1,2025-05-16,2025-04-23 13:01:41.996458,134.08999633789062
CINF250516C00145000,2025-04-22 14:11:03+00:00,145.0,0.66,0.65,1.7,0.0,0.0,1.0,35.0,0.38721315917968746,0.0,REGULAR,USD,CINF,1,2025-05-16,2025-04-23 13:01:41.996458,134.08999633789062
CINF250516C00150000,2025-04-23 14:26:58+00:00,150.0,0.4,0.25,0.45,0.2,100.0,30.0,85.0,0.31836619140624994,0.0,REGULAR,USD,CINF,1,2025-05-16,2025-04-23 13:01:41.996458,134.08999633789062
CINF250516C00155000,2025-04-09 14:08:18+00:00,155.0,0.77,0.0,0.75,0.0,0.0,5.0,49.0,0.43774976318359377,0.0,REGULAR,USD,CINF,1,2025-05-16,2025-04-23 13:01:41.996458,134.08999633789062
CINF250516C00160000,2025-04-03 16:59:55+00:00,160.0,1.06,0.0,0.5,0.0,0.0,1.0,205.0,0.45825737060546884,0.0,REGULAR,USD,CINF,1,2025-05-16,2025-04-23 13:01:41.996458,134.08999633789062
