contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CLX250516C00115000,2025-04-22 19:57:58+00:00,115.0,26.9,23.3,25.7,0.0,0.0,5.0,0,0.5961954443359375,True,REGULAR,USD,CLX,1,2025-05-16,2025-04-23 13:01:48.931063,138.4499969482422
CLX250516C00125000,2025-04-22 18:14:26+00:00,125.0,15.99,14.2,15.0,0.0,0.0,1.0,2,0.4484918432617187,True,REGULAR,USD,CLX,1,2025-05-16,2025-04-23 13:01:48.931063,138.4499969482422
CLX250516C00130000,2025-04-23 14:48:41+00:00,130.0,12.0,10.1,11.3,-0.47999954,-3.8461504,11.0,36,0.450200810546875,True,REGULAR,USD,CLX,1,2025-05-16,2025-04-23 13:01:48.931063,138.4499969482422
CLX250516C00135000,2025-04-23 14:33:14+00:00,135.0,7.6,6.5,7.1,-1.0000005,-11.627912,8.0,168,0.3714662463378906,True,REGULAR,USD,CLX,1,2025-05-16,2025-04-23 13:01:48.931063,138.4499969482422
CLX250516C00140000,2025-04-23 16:23:19+00:00,140.0,3.95,4.0,4.2,-1.2499998,-24.038458,7.0,928,0.34668622070312494,False,REGULAR,USD,CLX,1,2025-05-16,2025-04-23 13:01:48.931063,138.4499969482422
CLX250516C00145000,2025-04-23 14:06:59+00:00,145.0,2.35,2.05,2.3,-1.0500002,-30.882357,12.0,979,0.33765310791015624,False,REGULAR,USD,CLX,1,2025-05-16,2025-04-23 13:01:48.931063,138.4499969482422
CLX250516C00150000,2025-04-23 16:06:40+00:00,150.0,1.0,0.85,1.1,-0.6,-37.5,1.0,691,0.3276434423828125,False,REGULAR,USD,CLX,1,2025-05-16,2025-04-23 13:01:48.931063,138.4499969482422
CLX250516C00155000,2025-04-22 19:45:54+00:00,155.0,0.65,0.3,0.45,0.0,0.0,72.0,385,0.317389638671875,False,REGULAR,USD,CLX,1,2025-05-16,2025-04-23 13:01:48.931063,138.4499969482422
CLX250516C00160000,2025-04-22 19:26:56+00:00,160.0,0.25,0.05,0.25,0.0,0.0,12.0,279,0.336920693359375,False,REGULAR,USD,CLX,1,2025-05-16,2025-04-23 13:01:48.931063,138.4499969482422
CLX250516C00165000,2025-04-21 18:27:54+00:00,165.0,0.13,0.05,0.1,0.0,0.0,2.0,87,0.335944140625,False,REGULAR,USD,CLX,1,2025-05-16,2025-04-23 13:01:48.931063,138.4499969482422
CLX250516C00170000,2025-04-22 15:06:29+00:00,170.0,0.16,0.0,0.4,0.0,0.0,1.0,22,0.48682153808593753,False,REGULAR,USD,CLX,1,2025-05-16,2025-04-23 13:01:48.931063,138.4499969482422
CLX250516C00175000,2025-04-17 19:50:25+00:00,175.0,0.22,0.0,0.1,0.0,0.0,5.0,5,0.42774009765625004,False,REGULAR,USD,CLX,1,2025-05-16,2025-04-23 13:01:48.931063,138.4499969482422
CLX250516C00200000,2025-04-03 13:45:30+00:00,200.0,0.1,0.0,0.1,0.0,0.0,1.0,5,0.5742230078125,False,REGULAR,USD,CLX,1,2025-05-16,2025-04-23 13:01:48.931063,138.4499969482422
CLX250516P00090000,2025-04-02 14:10:36+00:00,90.0,0.23,0.0,0.25,0.0,0.0,,5,0.7812521875,False,REGULAR,USD,CLX,0,2025-05-16,2025-04-23 13:01:48.933068,138.4499969482422
CLX250516P00100000,2025-04-22 15:50:32+00:00,100.0,0.12,0.0,0.5,0.0,0.0,2.0,56,0.6816438085937502,False,REGULAR,USD,CLX,0,2025-05-16,2025-04-23 13:01:48.933068,138.4499969482422
CLX250516P00105000,2025-03-27 16:47:54+00:00,105.0,0.2,0.0,0.45,0.0,0.0,,1,0.5820354296875,False,REGULAR,USD,CLX,0,2025-05-16,2025-04-23 13:01:48.933068,138.4499969482422
CLX250516P00110000,2025-04-17 17:14:05+00:00,110.0,0.35,0.0,0.55,0.0,0.0,1.0,3,0.51758294921875,False,REGULAR,USD,CLX,0,2025-05-16,2025-04-23 13:01:48.933068,138.4499969482422
CLX250516P00115000,2025-04-22 16:46:24+00:00,115.0,0.25,0.0,0.75,0.0,0.0,4.0,62,0.543949873046875,False,REGULAR,USD,CLX,0,2025-05-16,2025-04-23 13:01:48.933068,138.4499969482422
CLX250516P00120000,2025-04-23 14:53:15+00:00,120.0,0.47,0.55,0.7,-0.049999982,-9.615381,1.0,69,0.43848217773437503,False,REGULAR,USD,CLX,0,2025-05-16,2025-04-23 13:01:48.933068,138.4499969482422
CLX250516P00125000,2025-04-23 16:11:50+00:00,125.0,1.09,1.0,1.35,0.22000003,25.287361,16.0,284,0.4260311303710938,False,REGULAR,USD,CLX,0,2025-05-16,2025-04-23 13:01:48.933068,138.4499969482422
CLX250516P00130000,2025-04-23 16:16:26+00:00,130.0,2.05,1.9,2.05,0.5,32.258064,18.0,177,0.3806214282226562,False,REGULAR,USD,CLX,0,2025-05-16,2025-04-23 13:01:48.933068,138.4499969482422
CLX250516P00135000,2025-04-23 14:53:43+00:00,135.0,2.64,3.3,3.5,-0.03999996,-1.4925358,8.0,203,0.36035795898437495,False,REGULAR,USD,CLX,0,2025-05-16,2025-04-23 13:01:48.933068,138.4499969482422
CLX250516P00140000,2025-04-23 15:23:03+00:00,140.0,4.8,5.6,5.9,0.14000034,3.0042994,12.0,451,0.35742830078125,True,REGULAR,USD,CLX,0,2025-05-16,2025-04-23 13:01:48.933068,138.4499969482422
CLX250516P00145000,2025-04-23 15:18:33+00:00,145.0,7.5,8.4,9.2,0.4499998,6.382976,16.0,1187,0.36524072265625,True,REGULAR,USD,CLX,0,2025-05-16,2025-04-23 13:01:48.933068,138.4499969482422
CLX250516P00150000,2025-04-22 17:01:09+00:00,150.0,10.8,12.5,12.9,0.0,0.0,2.0,38,0.35352208984374994,True,REGULAR,USD,CLX,0,2025-05-16,2025-04-23 13:01:48.933068,138.4499969482422
CLX250516P00155000,2025-04-08 16:48:18+00:00,155.0,16.9,15.2,17.8,0.0,0.0,4.0,7,0.42627526855468756,True,REGULAR,USD,CLX,0,2025-05-16,2025-04-23 13:01:48.933068,138.4499969482422
CLX250516P00160000,2025-04-22 17:16:21+00:00,160.0,20.4,20.3,22.5,0.0,0.0,1.0,21,0.4626518579101563,True,REGULAR,USD,CLX,0,2025-05-16,2025-04-23 13:01:48.933068,138.4499969482422
CLX250620C00140000,2025-04-22 17:33:30+00:00,140.0,6.6,5.5,5.8,0.0,0.0,7.0,33,0.29321995849609367,False,REGULAR,USD,CLX,1,2025-06-20,2025-04-23 13:01:48.983939,138.4499969482422
CLX250620C00145000,2025-04-23 14:59:19+00:00,145.0,4.0,3.3,3.5,-0.3000002,-6.9767485,13.0,42,0.274421318359375,False,REGULAR,USD,CLX,1,2025-06-20,2025-04-23 13:01:48.983939,138.4499969482422
CLX250620P00140000,2025-04-23 16:30:48+00:00,140.0,6.3,6.3,6.6,0.0,0.0,8.0,6,0.25952888916015626,True,REGULAR,USD,CLX,0,2025-06-20,2025-04-23 13:01:48.984941,138.4499969482422
CLX250620P00145000,2025-04-23 14:07:12+00:00,145.0,7.85,8.7,9.5,-3.35,-29.910715,4.0,3,0.24781025634765624,True,REGULAR,USD,CLX,0,2025-06-20,2025-04-23 13:01:48.984941,138.4499969482422
CLX250718C00115000,2025-04-14 16:41:42+00:00,115.0,27.15,24.5,27.4,0.0,0.0,1.0,1,0.4997608618164063,True,REGULAR,USD,CLX,1,2025-07-18,2025-04-23 13:01:49.039083,138.4499969482422
CLX250718C00120000,2025-03-13 18:12:44+00:00,120.0,28.8,22.4,24.9,0.0,0.0,2.0,2,0.5488326367187502,True,REGULAR,USD,CLX,1,2025-07-18,2025-04-23 13:01:49.039083,138.4499969482422
CLX250718C00130000,2025-04-08 19:38:01+00:00,130.0,12.8,12.7,13.3,0.0,0.0,2.0,36,0.3219672296142577,True,REGULAR,USD,CLX,1,2025-07-18,2025-04-23 13:01:49.039083,138.4499969482422
CLX250718C00135000,2025-04-16 19:23:45+00:00,135.0,8.13,9.6,10.2,0.0,0.0,1.0,11,0.31427687683105465,True,REGULAR,USD,CLX,1,2025-07-18,2025-04-23 13:01:49.039083,138.4499969482422
CLX250718C00140000,2025-04-22 19:21:23+00:00,140.0,8.05,6.7,6.9,0.0,0.0,21.0,105,0.2822947747802734,False,REGULAR,USD,CLX,1,2025-07-18,2025-04-23 13:01:49.039083,138.4499969482422
CLX250718C00145000,2025-04-23 14:22:42+00:00,145.0,5.1,4.5,4.7,-0.5999999,-10.526315,7.0,181,0.27283442016601556,False,REGULAR,USD,CLX,1,2025-07-18,2025-04-23 13:01:49.039083,138.4499969482422
CLX250718C00150000,2025-04-23 16:12:46+00:00,150.0,2.82,2.75,2.95,-0.74,-20.786518,19.0,704,0.2608716491699219,False,REGULAR,USD,CLX,1,2025-07-18,2025-04-23 13:01:49.039083,138.4499969482422
CLX250718C00155000,2025-04-22 19:57:06+00:00,155.0,2.26,1.6,1.8,0.0,0.0,68.0,701,0.2546461254882813,False,REGULAR,USD,CLX,1,2025-07-18,2025-04-23 13:01:49.039083,138.4499969482422
CLX250718C00160000,2025-04-22 19:37:32+00:00,160.0,1.3,0.85,1.0,0.0,0.0,27.0,683,0.24646749633789064,False,REGULAR,USD,CLX,1,2025-07-18,2025-04-23 13:01:49.039083,138.4499969482422
CLX250718C00165000,2025-04-22 16:30:32+00:00,165.0,0.6,0.45,0.6,-0.07999998,-11.764703,1.0,198,0.24781025634765624,False,REGULAR,USD,CLX,1,2025-07-18,2025-04-23 13:01:49.039083,138.4499969482422
