contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CMCSA250425C00022500,2025-04-22 17:31:55+00:00,22.5,12.4,11.85,12.35,1.0499992,9.251094,1.0,9,3.113283466796875,True,REGULAR,USD,CMCSA,1,2025-04-25,2025-04-23 13:01:55.012258,34.6349983215332
CMCSA250425C00023000,2025-04-16 19:29:30+00:00,23.0,10.45,11.35,11.6,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,CMCSA,1,2025-04-25,2025-04-23 13:01:55.012258,34.6349983215332
CMCSA250425C00024000,2025-04-16 19:07:05+00:00,24.0,10.75,10.45,10.75,1.1499996,11.979162,5.0,9,2.3906290234374996,True,REGULAR,USD,CMCSA,1,2025-04-25,2025-04-23 13:01:55.012258,34.6349983215332
CMCSA250425C00024500,2025-04-16 17:50:24+00:00,24.5,9.3,9.95,10.25,0.0,0.0,,1,2.2734418164062498,True,REGULAR,USD,CMCSA,1,2025-04-25,2025-04-23 13:01:55.012258,34.6349983215332
CMCSA250425C00025000,2025-04-16 19:08:02+00:00,25.0,8.6,9.35,9.55,0.0,0.0,17.0,17,1.0000000000000003e-05,True,REGULAR,USD,CMCSA,1,2025-04-25,2025-04-23 13:01:55.012258,34.6349983215332
CMCSA250425C00025500,2025-04-16 17:40:35+00:00,25.5,8.4,8.9,9.2,0.0,0.0,5.0,5,1.8437507812499998,True,REGULAR,USD,CMCSA,1,2025-04-25,2025-04-23 13:01:55.012258,34.6349983215332
CMCSA250425C00027500,2025-04-16 14:34:34+00:00,27.5,6.8,6.95,7.2,0.0,0.0,14.0,14,1.453127734375,True,REGULAR,USD,CMCSA,1,2025-04-25,2025-04-23 13:01:55.012258,34.6349983215332
CMCSA250425C00028000,2025-04-15 17:23:31+00:00,28.0,6.65,6.45,6.75,0.0,0.0,,3,1.5234398828124998,True,REGULAR,USD,CMCSA,1,2025-04-25,2025-04-23 13:01:55.012258,34.6349983215332
CMCSA250425C00029500,2025-04-07 14:11:04+00:00,29.5,4.3,4.85,5.4,0.0,0.0,,19,1.5195336523437497,True,REGULAR,USD,CMCSA,1,2025-04-25,2025-04-23 13:01:55.012258,34.6349983215332
CMCSA250425C00030000,2025-04-17 16:34:24+00:00,30.0,4.31,4.55,4.85,0.0,0.0,1.0,5,0.98437515625,True,REGULAR,USD,CMCSA,1,2025-04-25,2025-04-23 13:01:55.012258,34.6349983215332
CMCSA250425C00030500,2025-04-21 14:00:00+00:00,30.5,3.45,4.0,4.25,0.0,0.0,20.0,17,1.015629921875,True,REGULAR,USD,CMCSA,1,2025-04-25,2025-04-23 13:01:55.012258,34.6349983215332
CMCSA250425C00031000,2025-04-22 17:26:04+00:00,31.0,4.1,3.6,3.8,0.9499998,30.158724,1.0,16,0.79687703125,True,REGULAR,USD,CMCSA,1,2025-04-25,2025-04-23 13:01:55.012258,34.6349983215332
CMCSA250425C00031500,2025-04-23 15:00:35+00:00,31.5,3.5,2.96,3.25,1.29,58.37104,3.0,5,0.8164080859374999,True,REGULAR,USD,CMCSA,1,2025-04-25,2025-04-23 13:01:55.012258,34.6349983215332
CMCSA250425C00032000,2025-04-23 15:00:35+00:00,32.0,3.0,2.76,2.85,0.77,34.52915,6.0,141,0.8007832421875,True,REGULAR,USD,CMCSA,1,2025-04-25,2025-04-23 13:01:55.012258,34.6349983215332
