contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CME250516C00175000,2025-04-03 17:25:08+00:00,175.0,96.2,78.6,82.7,0.0,0.0,1.0,1.0,0.7656273437500001,1.0,REGULAR,USD,CME,1,2025-05-16,2025-04-23 13:01:49.506104,257.30999755859375
CME250516C00200000,2025-04-02 18:44:46+00:00,200.0,63.53,54.5,57.8,0.0,0.0,1.0,1.0,0.5537154003906251,1.0,REGULAR,USD,CME,1,2025-05-16,2025-04-23 13:01:49.506104,257.30999755859375
CME250516C00210000,2025-04-10 15:58:44+00:00,210.0,47.85,44.6,47.7,0.0,0.0,,3.0,0.44336494140625,1.0,REGULAR,USD,CME,1,2025-05-16,2025-04-23 13:01:49.506104,257.30999755859375
CME250516C00220000,2025-04-09 18:20:18+00:00,220.0,34.7,34.8,37.1,0.0,0.0,3.0,5.0,1.0000000000000003e-05,1.0,REGULAR,USD,CME,1,2025-05-16,2025-04-23 13:01:49.506104,257.30999755859375
CME250516C00230000,2025-04-22 18:49:37+00:00,230.0,26.2,24.8,27.4,-9.189999,-25.967785,1.0,8.0,0.20996883789062498,1.0,REGULAR,USD,CME,1,2025-05-16,2025-04-23 13:01:49.506104,257.30999755859375
CME250516C00240000,2025-04-23 13:33:42+00:00,240.0,15.0,17.1,18.3,-10.5,-41.17647,3.0,73.0,0.24024197265624997,1.0,REGULAR,USD,CME,1,2025-05-16,2025-04-23 13:01:49.506104,257.30999755859375
CME250516C00250000,2025-04-23 15:39:13+00:00,250.0,9.05,9.1,10.0,-6.8,-42.902206,14.0,257.0,0.21595022338867187,1.0,REGULAR,USD,CME,1,2025-05-16,2025-04-23 13:01:49.506104,257.30999755859375
CME250516C00260000,2025-04-23 16:27:19+00:00,260.0,3.85,3.7,4.1,-6.9500003,-64.35185,238.0,761.0,0.20172917419433595,0.0,REGULAR,USD,CME,1,2025-05-16,2025-04-23 13:01:49.506104,257.30999755859375
CME250516C00270000,2025-04-23 16:26:31+00:00,270.0,0.9,0.85,1.0,-3.62,-79.73569,440.0,1023.0,0.18421225952148437,0.0,REGULAR,USD,CME,1,2025-05-16,2025-04-23 13:01:49.506104,257.30999755859375
CME250516C00280000,2025-04-23 16:10:31+00:00,280.0,0.14,0.1,0.2,-0.98,-86.72566,136.0,3743.0,0.186531572265625,0.0,REGULAR,USD,CME,1,2025-05-16,2025-04-23 13:01:49.506104,257.30999755859375
CME250516C00290000,2025-04-23 13:46:27+00:00,290.0,0.15,0.0,0.3,-0.049999997,-24.999998,3.0,982.0,0.2661206201171875,0.0,REGULAR,USD,CME,1,2025-05-16,2025-04-23 13:01:49.506104,257.30999755859375
CME250516C00300000,2025-04-22 15:30:40+00:00,300.0,0.05,0.0,0.05,0.0,0.0,2.0,1277.0,0.2500075,0.0,REGULAR,USD,CME,1,2025-05-16,2025-04-23 13:01:49.506104,257.30999755859375
CME250516C00310000,2025-04-07 14:26:37+00:00,310.0,0.05,0.0,0.05,-0.49,-90.74074,5.0,306.0,0.29688203124999996,0.0,REGULAR,USD,CME,1,2025-05-16,2025-04-23 13:01:49.506104,257.30999755859375
CME250516C00320000,2025-04-03 17:25:08+00:00,320.0,1.15,0.0,1.25,0.0,0.0,1.0,1.0,0.5700726586914062,0.0,REGULAR,USD,CME,1,2025-05-16,2025-04-23 13:01:49.506104,257.30999755859375
CME250516C00330000,2025-04-17 17:42:48+00:00,330.0,0.05,0.0,2.0,0.0,0.0,2.0,2.0,0.6001016552734376,0.0,REGULAR,USD,CME,1,2025-05-16,2025-04-23 13:01:49.506104,257.30999755859375
CME250516P00140000,2025-04-04 17:52:04+00:00,140.0,0.29,0.0,0.15,0.0,0.0,1.0,1.0,0.92773509765625,0.0,REGULAR,USD,CME,0,2025-05-16,2025-04-23 13:01:49.507106,257.30999755859375
CME250516P00190000,2025-04-10 18:15:41+00:00,190.0,0.35,0.0,0.2,0.0,0.0,,1.0,0.5097705273437501,0.0,REGULAR,USD,CME,0,2025-05-16,2025-04-23 13:01:49.507106,257.30999755859375
CME250516P00200000,2025-04-22 19:03:28+00:00,200.0,0.1,0.0,1.0,0.0,0.0,3.0,86.0,0.5561567822265626,0.0,REGULAR,USD,CME,0,2025-05-16,2025-04-23 13:01:49.507106,257.30999755859375
CME250516P00210000,2025-04-16 13:51:04+00:00,210.0,0.35,0.0,1.0,0.0,0.0,1.0,44.0,0.5383346948242189,0.0,REGULAR,USD,CME,0,2025-05-16,2025-04-23 13:01:49.507106,257.30999755859375
CME250516P00220000,2025-04-23 14:40:09+00:00,220.0,0.26,0.0,0.4,0.00999999,3.9999962,34.0,118.0,0.35938140625,0.0,REGULAR,USD,CME,0,2025-05-16,2025-04-23 13:01:49.507106,257.30999755859375
CME250516P00230000,2025-04-23 16:09:06+00:00,230.0,0.63,0.45,1.0,0.19,43.18182,25.0,1778.0,0.340826904296875,0.0,REGULAR,USD,CME,0,2025-05-16,2025-04-23 13:01:49.507106,257.30999755859375
CME250516P00240000,2025-04-23 16:09:06+00:00,240.0,1.4,1.15,1.45,0.54999995,64.70588,1342.0,1682.0,0.2722240747070312,0.0,REGULAR,USD,CME,0,2025-05-16,2025-04-23 13:01:49.507106,257.30999755859375
CME250516P00250000,2025-04-23 15:49:06+00:00,250.0,3.1,3.1,3.8,1.1899999,62.30366,86.0,462.0,0.26380130737304686,0.0,REGULAR,USD,CME,0,2025-05-16,2025-04-23 13:01:49.507106,257.30999755859375
CME250516P00260000,2025-04-23 15:42:02+00:00,260.0,7.3,7.2,7.9,3.3300002,83.8791,76.0,773.0,0.24445335632324222,1.0,REGULAR,USD,CME,0,2025-05-16,2025-04-23 13:01:49.507106,257.30999755859375
CME250516P00270000,2025-04-23 13:39:29+00:00,270.0,15.5,14.7,15.7,6.3500004,69.39892,10.0,211.0,0.28784891845703114,1.0,REGULAR,USD,CME,0,2025-05-16,2025-04-23 13:01:49.507106,257.30999755859375
CME250516P00280000,2025-04-22 14:30:26+00:00,280.0,26.0,23.8,25.7,9.4,56.6265,1.0,12.0,0.3918517846679687,1.0,REGULAR,USD,CME,0,2025-05-16,2025-04-23 13:01:49.507106,257.30999755859375
CME250516P00290000,2025-04-11 16:44:17+00:00,290.0,26.5,33.7,36.5,0.0,0.0,,0.0,0.5273484765625001,1.0,REGULAR,USD,CME,0,2025-05-16,2025-04-23 13:01:49.507106,257.30999755859375
