contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CMG250425C00038000,2025-04-22 14:31:41+00:00,38.0,8.79,10.3,10.5,0.0,0.0,3.0,14.0,1.0000000000000003e-05,True,REGULAR,USD,CMG,1,2025-04-25,2025-04-23 13:01:36.919095,48.65999984741211
CMG250425C00040000,2025-04-21 16:42:22+00:00,40.0,6.24,8.1,8.55,0.0,0.0,10.0,20.0,1.0000000000000003e-05,True,REGULAR,USD,CMG,1,2025-04-25,2025-04-23 13:01:36.919095,48.65999984741211
CMG250425C00040500,2025-04-21 17:27:46+00:00,40.5,9.0,7.55,8.7,3.4499998,62.162155,1.0,17.0,1.876953740234375,True,REGULAR,USD,CMG,1,2025-04-25,2025-04-23 13:01:36.919095,48.65999984741211
CMG250425C00041000,2025-04-09 18:05:04+00:00,41.0,10.28,7.2,7.85,0.0,0.0,1.0,1.0,1.3320345898437496,True,REGULAR,USD,CMG,1,2025-04-25,2025-04-23 13:01:36.919095,48.65999984741211
CMG250425C00042000,2025-04-22 17:26:04+00:00,42.0,5.05,6.2,7.1,0.0,0.0,3.0,32.0,1.50390873046875,True,REGULAR,USD,CMG,1,2025-04-25,2025-04-23 13:01:36.919095,48.65999984741211
CMG250425C00043000,2025-04-22 16:05:20+00:00,43.0,4.67,5.75,5.95,0.0,0.0,7.0,18.0,1.0390673046875003,True,REGULAR,USD,CMG,1,2025-04-25,2025-04-23 13:01:36.919095,48.65999984741211
CMG250425C00043500,2025-04-22 14:30:50+00:00,43.5,6.2,5.35,5.7,2.2499998,56.962017,1.0,4.0,1.171879140625,True,REGULAR,USD,CMG,1,2025-04-25,2025-04-23 13:01:36.919095,48.65999984741211
CMG250425C00044000,2025-04-23 15:01:44+00:00,44.0,5.5,4.85,5.0,1.5999999,41.025635,5.0,170.0,0.9804689453125001,True,REGULAR,USD,CMG,1,2025-04-25,2025-04-23 13:01:36.919095,48.65999984741211
CMG250425C00044500,2025-04-23 15:23:58+00:00,44.5,4.9,4.45,4.7,1.7,53.125,7.0,22.0,1.05078599609375,True,REGULAR,USD,CMG,1,2025-04-25,2025-04-23 13:01:36.919095,48.65999984741211
CMG250425C00045000,2025-04-23 15:02:30+00:00,45.0,4.3,4.05,4.3,1.2300003,40.065155,119.0,174.0,1.0498094384765626,True,REGULAR,USD,CMG,1,2025-04-25,2025-04-23 13:01:36.919095,48.65999984741211
