contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CMI250516C00270000,2025-04-22 19:13:33+00:00,270.0,17.5,20.2,22.0,0.0,0.0,1.0,179.0,0.42804527038574225,1.0,REGULAR,USD,CMI,1,2025-05-16,2025-04-23 13:02:13.602700,286.2749938964844
CMI250516C00280000,2025-04-22 15:42:20+00:00,280.0,20.5,14.1,15.6,10.0,95.2381,1.0,120.0,0.42163664306640625,1.0,REGULAR,USD,CMI,1,2025-05-16,2025-04-23 13:02:13.602700,286.2749938964844
CMI250516C00290000,2025-04-23 13:53:41+00:00,290.0,15.1,8.8,9.6,7.9500003,111.18881,51.0,105.0,0.3857483300781249,0.0,REGULAR,USD,CMI,1,2025-05-16,2025-04-23 13:02:13.602700,286.2749938964844
CMI250516C00300000,2025-04-23 14:39:55+00:00,300.0,7.5,4.7,5.6,4.2200003,128.65855,5.0,95.0,0.37183245361328127,0.0,REGULAR,USD,CMI,1,2025-05-16,2025-04-23 13:02:13.602700,286.2749938964844
CMI250516C00310000,2025-04-23 15:38:47+00:00,310.0,3.13,2.1,2.8,1.5800002,101.93549,6.0,116.0,0.352545537109375,0.0,REGULAR,USD,CMI,1,2025-05-16,2025-04-23 13:02:13.602700,286.2749938964844
CMI250516C00320000,2025-04-23 15:59:18+00:00,320.0,1.55,1.1,1.55,0.81999993,112.32875,23.0,83.0,0.36023588989257804,0.0,REGULAR,USD,CMI,1,2025-05-16,2025-04-23 13:02:13.602700,286.2749938964844
CMI250516C00330000,2025-04-22 18:01:47+00:00,330.0,0.34,0.4,0.65,0.0,0.0,2.0,21.0,0.3481510498046875,0.0,REGULAR,USD,CMI,1,2025-05-16,2025-04-23 13:02:13.602700,286.2749938964844
CMI250516C00340000,2025-04-22 17:16:26+00:00,340.0,0.3,0.05,0.55,0.25,499.99988,2.0,188.0,0.39087523193359375,0.0,REGULAR,USD,CMI,1,2025-05-16,2025-04-23 13:02:13.602700,286.2749938964844
CMI250516C00350000,2025-04-22 13:49:14+00:00,350.0,0.1,0.0,1.4,0.0,0.0,1.0,45.0,0.537236072998047,0.0,REGULAR,USD,CMI,1,2025-05-16,2025-04-23 13:02:13.602700,286.2749938964844
CMI250516C00360000,2025-04-22 15:10:18+00:00,360.0,0.05,0.0,1.35,0.0,0.0,1.0,32.0,0.5100146655273439,0.0,REGULAR,USD,CMI,1,2025-05-16,2025-04-23 13:02:13.602700,286.2749938964844
CMI250516C00370000,2025-04-17 14:14:23+00:00,370.0,0.41,0.0,0.7,0.0,0.0,2.0,68.0,0.561527822265625,0.0,REGULAR,USD,CMI,1,2025-05-16,2025-04-23 13:02:13.602700,286.2749938964844
CMI250516C00380000,2025-04-01 19:47:06+00:00,380.0,0.59,0.0,1.0,0.0,0.0,1.0,6.0,0.5734905932617188,0.0,REGULAR,USD,CMI,1,2025-05-16,2025-04-23 13:02:13.602700,286.2749938964844
CMI250516C00390000,2025-04-15 13:30:13+00:00,390.0,0.46,0.0,1.35,0.0,0.0,2.0,2.0,0.647464462890625,0.0,REGULAR,USD,CMI,1,2025-05-16,2025-04-23 13:02:13.602700,286.2749938964844
CMI250516C00400000,2025-03-24 19:02:44+00:00,400.0,0.37,0.0,0.75,0.0,0.0,,1.0,0.6279334082031252,0.0,REGULAR,USD,CMI,1,2025-05-16,2025-04-23 13:02:13.602700,286.2749938964844
