contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CMS250516C00060000,2025-04-17 19:00:37+00:00,60.0,13.55,11.8,14.1,0.0,0.0,1.0,39.0,0.5478560839843751,1.0,REGULAR,USD,CMS,1,2025-05-16,2025-04-23 13:01:50.499037,72.57499694824219
CMS250516C00070000,2025-04-22 14:51:17+00:00,70.0,4.2,3.3,4.3,0.0,0.0,4.0,6.0,0.38794557373046873,1.0,REGULAR,USD,CMS,1,2025-05-16,2025-04-23 13:01:50.499037,72.57499694824219
CMS250516C00075000,2025-04-23 13:33:09+00:00,75.0,2.28,0.55,1.0,1.14,100.0,2.0,50.0,0.2624585473632813,0.0,REGULAR,USD,CMS,1,2025-05-16,2025-04-23 13:01:50.499037,72.57499694824219
CMS250516C00080000,2025-04-03 15:31:23+00:00,80.0,0.47,0.0,0.75,0.0,0.0,5.0,6.0,0.4067442138671875,0.0,REGULAR,USD,CMS,1,2025-05-16,2025-04-23 13:01:50.499037,72.57499694824219
CMS250516P00070000,2025-04-22 14:31:56+00:00,70.0,1.01,0.85,1.2,0.0,0.0,1.0,3009.0,0.30982135498046875,0.0,REGULAR,USD,CMS,0,2025-05-16,2025-04-23 13:01:50.500038,72.57499694824219
CMS250516P00075000,2025-04-22 14:29:31+00:00,75.0,2.82,2.2,4.6,0.0,0.0,2.0,3.0,0.43018147949218755,1.0,REGULAR,USD,CMS,0,2025-05-16,2025-04-23 13:01:50.500038,72.57499694824219
CMS250620C00040000,2025-02-11 15:38:32+00:00,40.0,28.75,30.5,34.8,0.0,0.0,2.0,0.0,0.6777375976562501,1.0,REGULAR,USD,CMS,1,2025-06-20,2025-04-23 13:01:50.554301,72.57499694824219
CMS250620C00065000,2025-03-03 15:59:36+00:00,65.0,9.8,0.0,0.0,0.0,0.0,2.0,7.0,1.0000000000000003e-05,1.0,REGULAR,USD,CMS,1,2025-06-20,2025-04-23 13:01:50.554301,72.57499694824219
CMS250620C00070000,2025-04-22 13:45:32+00:00,70.0,4.2,3.6,4.3,0.0,0.0,2.0,129.0,0.24732197998046873,1.0,REGULAR,USD,CMS,1,2025-06-20,2025-04-23 13:01:50.554301,72.57499694824219
CMS250620C00075000,2025-04-22 14:01:32+00:00,75.0,1.3,1.0,1.45,0.0,0.0,6.0,140.0,0.2092364233398437,0.0,REGULAR,USD,CMS,1,2025-06-20,2025-04-23 13:01:50.554301,72.57499694824219
CMS250620C00080000,2025-04-15 16:18:16+00:00,80.0,0.35,0.0,1.1,0.0,0.0,1.0,10.0,0.3012765185546875,0.0,REGULAR,USD,CMS,1,2025-06-20,2025-04-23 13:01:50.554301,72.57499694824219
CMS250620P00050000,2025-03-11 15:40:08+00:00,50.0,0.1,0.0,2.15,0.0,0.0,2.0,3.0,0.7797873583984375,0.0,REGULAR,USD,CMS,0,2025-06-20,2025-04-23 13:01:50.555304,72.57499694824219
CMS250620P00055000,2025-03-11 18:34:39+00:00,55.0,0.25,0.0,2.3,0.0,0.0,1.0,1.0,0.6381872119140625,0.0,REGULAR,USD,CMS,0,2025-06-20,2025-04-23 13:01:50.555304,72.57499694824219
CMS250620P00060000,2025-03-12 17:02:14+00:00,60.0,0.5,0.0,2.65,0.0,0.0,2.0,13.0,0.51562984375,0.0,REGULAR,USD,CMS,0,2025-06-20,2025-04-23 13:01:50.555304,72.57499694824219
CMS250620P00065000,2025-04-07 18:09:39+00:00,65.0,1.2,0.0,1.6,0.0,0.0,62.0,68.0,0.398443515625,0.0,REGULAR,USD,CMS,0,2025-06-20,2025-04-23 13:01:50.555304,72.57499694824219
CMS250620P00070000,2025-04-22 16:39:40+00:00,70.0,1.27,1.15,1.7,0.0,0.0,2.0,22.0,0.245124736328125,0.0,REGULAR,USD,CMS,0,2025-06-20,2025-04-23 13:01:50.555304,72.57499694824219
CMS250620P00075000,2025-04-21 15:24:36+00:00,75.0,3.81,2.7,4.2,0.0,0.0,1.0,5.0,0.2387771435546875,1.0,REGULAR,USD,CMS,0,2025-06-20,2025-04-23 13:01:50.555304,72.57499694824219
CMS250919C00040000,2025-02-11 15:38:32+00:00,40.0,28.8,31.9,35.1,0.0,0.0,,0.0,0.6823762231445314,1.0,REGULAR,USD,CMS,1,2025-09-19,2025-04-23 13:01:50.628519,72.57499694824219
CMS250919C00050000,2025-04-04 18:25:31+00:00,50.0,23.29,22.0,25.0,0.0,0.0,2.0,2.0,0.6408727319335938,1.0,REGULAR,USD,CMS,1,2025-09-19,2025-04-23 13:01:50.628519,72.57499694824219
CMS250919C00055000,2025-02-10 19:58:34+00:00,55.0,14.57,15.0,19.5,0.0,0.0,,2.0,0.47900911621093745,1.0,REGULAR,USD,CMS,1,2025-09-19,2025-04-23 13:01:50.628519,72.57499694824219
CMS250919C00065000,2025-04-21 15:38:03+00:00,65.0,9.44,8.3,10.6,0.0,0.0,1.0,3.0,0.34632001342773433,1.0,REGULAR,USD,CMS,1,2025-09-19,2025-04-23 13:01:50.628519,72.57499694824219
CMS250919C00070000,2025-04-22 18:18:26+00:00,70.0,6.27,5.0,6.0,0.0,0.0,3.0,49.0,0.2524488818359375,1.0,REGULAR,USD,CMS,1,2025-09-19,2025-04-23 13:01:50.628519,72.57499694824219
CMS250919C00075000,2025-04-17 18:27:06+00:00,75.0,3.5,2.6,3.2,0.0,0.0,6.0,231.0,0.22827920166015625,0.0,REGULAR,USD,CMS,1,2025-09-19,2025-04-23 13:01:50.628519,72.57499694824219
CMS250919C00080000,2025-04-04 14:27:57+00:00,80.0,1.92,0.0,1.55,0.0,0.0,3.0,62.0,0.21949022705078125,0.0,REGULAR,USD,CMS,1,2025-09-19,2025-04-23 13:01:50.628519,72.57499694824219
CMS250919C00085000,2025-04-09 14:09:01+00:00,85.0,0.5,0.0,1.9,0.0,0.0,2.0,1.0,0.3109199768066406,0.0,REGULAR,USD,CMS,1,2025-09-19,2025-04-23 13:01:50.628519,72.57499694824219
CMS250919P00045000,2025-01-31 16:16:38+00:00,45.0,0.9,0.0,2.35,0.0,0.0,3.0,3.0,0.6088906298828126,0.0,REGULAR,USD,CMS,0,2025-09-19,2025-04-23 13:01:50.630498,72.57499694824219
CMS250919P00050000,2025-01-31 16:16:52+00:00,50.0,1.3,0.0,2.45,0.0,0.0,2.0,2.0,0.5083056982421875,0.0,REGULAR,USD,CMS,0,2025-09-19,2025-04-23 13:01:50.630498,72.57499694824219
CMS250919P00055000,2025-04-04 17:07:04+00:00,55.0,0.5,0.4,0.6,-0.100000024,-16.66667,1.0,3.0,0.331061376953125,0.0,REGULAR,USD,CMS,0,2025-09-19,2025-04-23 13:01:50.630498,72.57499694824219
CMS250919P00060000,2025-04-15 15:43:46+00:00,60.0,0.76,0.6,1.1,0.0,0.0,1.0,2.0,0.3023751403808594,0.0,REGULAR,USD,CMS,0,2025-09-19,2025-04-23 13:01:50.630498,72.57499694824219
CMS250919P00065000,2025-04-10 14:01:36+00:00,65.0,1.7,0.0,1.9,0.0,0.0,4.0,6.0,0.2712475219726562,0.0,REGULAR,USD,CMS,0,2025-09-19,2025-04-23 13:01:50.630498,72.57499694824219
CMS250919P00070000,2025-04-22 19:04:10+00:00,70.0,2.55,2.6,3.1,0.0,0.0,4.0,27.0,0.2342605871582031,0.0,REGULAR,USD,CMS,0,2025-09-19,2025-04-23 13:01:50.630498,72.57499694824219
CMS250919P00075000,2025-04-22 18:55:49+00:00,75.0,4.6,4.5,5.3,0.0,0.0,7.0,10.0,0.21070125244140625,1.0,REGULAR,USD,CMS,0,2025-09-19,2025-04-23 13:01:50.630498,72.57499694824219
CMS250919P00080000,2025-03-07 19:22:29+00:00,80.0,8.14,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,CMS,0,2025-09-19,2025-04-23 13:01:50.630498,72.57499694824219
CMS251219C00075000,2025-04-22 13:50:03+00:00,75.0,3.7,3.1,4.1,0.0,0.0,3.0,23.0,0.21857470886230468,0.0,REGULAR,USD,CMS,1,2025-12-19,2025-04-23 13:01:50.687669,72.57499694824219
