contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CNC250425C00040000,2025-04-22 15:01:34+00:00,40.0,18.68,20.0,22.5,0.0,0.0,16.0,16,3.0468773828125,True,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00041000,2025-04-22 15:01:34+00:00,41.0,17.71,19.0,22.3,0.0,0.0,16.0,8,3.9902343994140628,True,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00041500,2025-04-21 13:45:56+00:00,41.5,19.15,18.5,21.9,0.0,0.0,32.0,8,4.005864367675781,True,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00042000,2025-04-17 14:11:16+00:00,42.0,17.94,18.0,21.7,0.0,0.0,16.0,8,4.207035991210937,True,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00042500,2025-04-22 15:06:42+00:00,42.5,16.32,17.5,20.1,0.0,0.0,16.0,16,2.863284091796875,True,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00043000,2025-04-22 15:03:43+00:00,43.0,15.99,17.0,20.4,0.0,0.0,16.0,24,3.7382819042968753,True,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00043500,2025-04-22 15:03:43+00:00,43.5,15.52,16.5,20.0,0.0,0.0,16.0,24,3.746094384765625,True,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00044000,2025-04-22 14:57:46+00:00,44.0,15.0,16.0,18.5,0.0,0.0,2.0,8,2.488285029296875,True,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00045000,2025-04-22 15:06:42+00:00,45.0,13.87,15.0,18.9,0.0,0.0,16.0,18,3.826172309570312,True,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00045500,2025-04-22 15:04:36+00:00,45.5,13.41,14.5,18.0,0.0,0.0,16.0,21,3.3984390039062498,True,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00046000,2025-04-22 15:04:36+00:00,46.0,12.95,14.0,16.8,0.0,0.0,16.0,21,2.6250034375,True,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00046500,2025-04-21 13:36:54+00:00,46.5,14.26,15.0,16.3,0.0,0.0,16.0,16,2.5527379931640626,True,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00047000,2025-04-21 13:36:54+00:00,47.0,13.8,13.1,15.3,0.0,0.0,16.0,8,1.71484517578125,True,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00047500,2025-04-17 14:14:17+00:00,47.5,12.46,12.7,16.1,0.0,0.0,16.0,8,3.1416037084960937,True,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00056000,2025-04-22 13:31:52+00:00,56.0,3.5,6.1,6.9,0.0,0.0,3.0,6,0.992187578125,True,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00058000,2025-04-22 19:58:52+00:00,58.0,3.58,4.7,5.0,0.0,0.0,9.0,10,0.9863282617187501,True,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00059000,2025-04-21 16:27:29+00:00,59.0,1.87,3.9,4.5,0.0,0.0,4.0,2,1.0332079589843752,True,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00060000,2025-04-22 16:46:22+00:00,60.0,2.15,3.2,3.6,0.0,0.0,14.0,59,0.96679720703125,True,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00061000,2025-04-22 17:11:06+00:00,61.0,2.3,2.65,2.85,0.78999996,52.317883,1.0,34,0.946289599609375,True,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00062000,2025-04-23 16:03:26+00:00,62.0,2.21,2.1,2.25,1.0600001,92.17392,12.0,48,0.92773509765625,True,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00063000,2025-04-23 15:37:08+00:00,63.0,1.65,1.6,1.75,0.65,65.0,6.0,57,0.9101571484375,False,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00064000,2025-04-22 17:55:07+00:00,64.0,0.58,1.25,1.35,0.0,0.0,32.0,81,0.914063359375,False,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00065000,2025-04-23 16:01:03+00:00,65.0,0.94,0.9,1.0,0.33999997,56.666656,2.0,338,0.8964854101562498,False,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00066000,2025-04-22 19:49:13+00:00,66.0,0.4,0.65,0.8,0.0,0.0,47.0,103,0.9091805957031249,False,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00067000,2025-04-23 13:55:40+00:00,67.0,0.5,0.45,0.55,0.28,127.27273,7.0,70,0.8906260937499999,False,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00068000,2025-04-17 19:47:53+00:00,68.0,0.26,0.3,0.45,0.0,0.0,26.0,52,0.9062509375,False,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00069000,2025-04-23 13:37:59+00:00,69.0,0.2,0.15,0.45,0.0,0.0,5.0,35,0.940430283203125,False,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00070000,2025-04-17 16:49:58+00:00,70.0,0.1,0.15,0.3,0.0,0.0,2.0,63,0.95507857421875,False,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425C00075000,2025-04-17 17:11:11+00:00,75.0,0.02,0.0,0.55,0.0,0.0,22.0,22,1.41015919921875,False,REGULAR,USD,CNC,1,2025-04-25,2025-04-23 13:01:29.214815,62.18000030517578
CNC250425P00045000,2025-04-21 13:42:11+00:00,45.0,0.05,0.0,0.05,0.0,0.0,2.0,4,1.5312523437499999,False,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00047000,2025-03-13 14:43:37+00:00,47.0,0.45,0.0,2.2,0.0,0.0,,1,2.9550807373046872,False,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00048000,2025-04-22 19:00:23+00:00,48.0,0.1,0.0,1.35,0.0,0.0,25.0,61,2.3964883837890625,False,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00049000,2025-04-22 18:57:00+00:00,49.0,0.07,0.0,0.15,-0.049999997,-41.666664,1.0,12,1.3789093554687497,False,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00050000,2025-04-22 19:00:15+00:00,50.0,0.08,0.0,0.75,-0.08,-50.0,10.0,54,1.791016669921875,False,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00051000,2025-03-24 14:04:59+00:00,51.0,0.55,0.0,0.75,0.0,0.0,1.0,0,1.6640641796875002,False,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00052000,2025-04-21 19:12:14+00:00,52.0,0.45,0.0,0.3,0.0,0.0,24.0,26,1.2382850585937497,False,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00053000,2025-04-21 19:03:41+00:00,53.0,0.7,0.05,0.2,0.0,0.0,16.0,27,1.0859420703125,False,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00054000,2025-04-22 19:13:03+00:00,54.0,0.46,0.15,0.25,0.0,0.0,147.0,164,1.09375453125,False,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00055000,2025-04-22 18:46:43+00:00,55.0,0.32,0.25,0.35,-0.35000002,-52.23881,15.0,95,1.09375453125,False,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00056000,2025-04-22 19:09:34+00:00,56.0,0.8,0.35,0.45,0.0,0.0,4.0,107,1.0625046875000002,False,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00057000,2025-04-23 13:43:01+00:00,57.0,0.55,0.5,0.6,-0.49999994,-47.61904,4.0,183,1.0468797656250002,False,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00058000,2025-04-22 16:16:23+00:00,58.0,1.47,0.7,0.8,0.0,0.0,1.0,30,1.0351610742187503,False,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00059000,2025-04-23 14:52:47+00:00,59.0,1.0,0.9,1.05,-0.9,-47.368423,5.0,207,1.009770576171875,False,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00060000,2025-04-23 14:33:03+00:00,60.0,1.32,1.2,1.35,-2.0700002,-61.061947,2.0,66,0.9941406835937501,False,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00061000,2025-04-17 14:26:28+00:00,61.0,2.9,1.6,1.75,0.0,0.0,5.0,17,0.9951172363281251,False,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00062000,2025-04-23 16:29:02+00:00,62.0,2.21,2.05,2.25,0.21000004,10.500002,3.0,26,0.9970703417968749,False,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00063000,2025-04-23 13:52:52+00:00,63.0,2.9,2.55,2.7,-2.58,-47.08029,1.0,52,0.9677737597656251,True,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00064000,2025-04-23 14:01:24+00:00,64.0,3.38,3.1,3.4,0.68000007,25.185188,2.0,36,0.97460962890625,True,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00065000,2025-04-17 19:23:07+00:00,65.0,5.09,3.8,4.1,0.0,0.0,3.0,23,0.9863282617187501,True,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00068000,2025-04-04 14:54:06+00:00,68.0,5.1,6.0,6.5,0.0,0.0,2.0,2,0.94726615234375,True,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00069000,2025-04-22 15:14:48+00:00,69.0,10.11,6.9,7.7,0.0,0.0,16.0,12,1.0859420703125,True,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00072000,2025-04-22 15:08:14+00:00,72.0,13.14,8.6,12.1,0.0,0.0,16.0,8,1.4072295263671877,True,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00073000,2025-04-17 16:25:17+00:00,73.0,11.6,9.6,13.0,0.0,0.0,16.0,8,1.453127734375,True,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00074000,2025-04-21 17:04:34+00:00,74.0,15.27,10.7,13.7,0.0,0.0,16.0,4,1.4453152734375,True,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00075000,2025-04-22 15:45:45+00:00,75.0,15.49,12.3,14.0,0.0,0.0,32.0,8,1.47265888671875,True,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00076000,2025-04-21 17:03:12+00:00,76.0,17.13,12.3,15.7,0.0,0.0,16.0,0,1.3535188574218748,True,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00077000,2025-04-22 15:45:45+00:00,77.0,17.52,13.5,17.0,0.0,0.0,32.0,0,1.7304700976562502,True,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00078000,2025-04-21 17:03:57+00:00,78.0,19.44,14.4,18.0,0.0,0.0,16.0,0,1.75000125,True,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00079000,2025-04-21 17:02:22+00:00,79.0,20.2,15.5,19.0,0.0,0.0,16.0,0,1.876953740234375,True,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00080000,2025-04-21 17:02:22+00:00,80.0,21.16,16.5,20.0,0.0,0.0,16.0,0,1.9492190039062502,True,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250425P00085000,2025-04-21 17:03:57+00:00,85.0,26.41,21.5,25.0,0.0,0.0,16.0,0,2.285160537109375,True,REGULAR,USD,CNC,0,2025-04-25,2025-04-23 13:01:29.216794,62.18000030517578
CNC250502C00052000,2025-03-14 15:34:18+00:00,52.0,8.2,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,CNC,1,2025-05-02,2025-04-23 13:01:29.279960,62.18000030517578
CNC250502C00055000,2025-04-17 18:26:05+00:00,55.0,6.8,7.2,7.9,0.0,0.0,1.0,1,0.6357458300781251,True,REGULAR,USD,CNC,1,2025-05-02,2025-04-23 13:01:29.279960,62.18000030517578
CNC250502C00058000,2025-04-21 13:31:21+00:00,58.0,4.98,4.9,5.3,0.73,20.738636,2.0,9,0.622074091796875,True,REGULAR,USD,CNC,1,2025-05-02,2025-04-23 13:01:29.279960,62.18000030517578
CNC250502C00059000,2025-04-16 14:51:25+00:00,59.0,5.2,4.2,4.6,0.0,0.0,4.0,5,0.624027197265625,True,REGULAR,USD,CNC,1,2025-05-02,2025-04-23 13:01:29.279960,62.18000030517578
CNC250502C00060000,2025-04-22 19:15:17+00:00,60.0,2.37,3.5,3.8,0.0,0.0,10.0,14,0.5961954443359375,True,REGULAR,USD,CNC,1,2025-05-02,2025-04-23 13:01:29.279960,62.18000030517578
CNC250502C00061000,2025-04-22 16:54:32+00:00,61.0,2.01,2.9,3.2,0.0,0.0,12.0,5,0.5937540625000001,True,REGULAR,USD,CNC,1,2025-05-02,2025-04-23 13:01:29.279960,62.18000030517578
CNC250502C00062000,2025-04-23 16:20:44+00:00,62.0,2.36,2.35,2.55,0.8599999,57.33333,5.0,31,0.5756878369140624,True,REGULAR,USD,CNC,1,2025-05-02,2025-04-23 13:01:29.279960,62.18000030517578
CNC250502C00063000,2025-04-23 16:03:26+00:00,63.0,2.06,1.9,2.15,-1.44,-41.142857,10.0,17,0.5839885351562499,False,REGULAR,USD,CNC,1,2025-05-02,2025-04-23 13:01:29.279960,62.18000030517578
CNC250502C00064000,2025-04-22 19:34:43+00:00,64.0,0.95,1.5,1.75,0.0,0.0,2.0,12,0.5830119824218749,False,REGULAR,USD,CNC,1,2025-05-02,2025-04-23 13:01:29.279960,62.18000030517578
CNC250502C00065000,2025-04-21 15:06:00+00:00,65.0,1.2,1.15,1.25,0.6,100.0,4.0,147,0.5585981640625001,False,REGULAR,USD,CNC,1,2025-05-02,2025-04-23 13:01:29.279960,62.18000030517578
