contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CNP250516C00022000,2025-04-16 16:44:46+00:00,22.0,14.91,13.3,17.1,0.0,0.0,1.0,10,1.4179716601562502,True,REGULAR,USD,CNP,1,2025-05-16,2025-04-23 13:01:30.447255,36.84000015258789
CNP250516C00024000,2024-12-16 05:04:24+00:00,24.0,5.4,6.0,10.2,0.0,0.0,,6,1.0000000000000003e-05,True,REGULAR,USD,CNP,1,2025-05-16,2025-04-23 13:01:30.447255,36.84000015258789
CNP250516C00026000,2024-12-18 20:06:38+00:00,26.0,6.2,6.8,7.5,0.0,0.0,6.0,15,1.0000000000000003e-05,True,REGULAR,USD,CNP,1,2025-05-16,2025-04-23 13:01:30.447255,36.84000015258789
CNP250516C00027000,2024-12-16 05:04:24+00:00,27.0,3.4,3.0,7.1,0.0,0.0,8.0,13,1.0000000000000003e-05,True,REGULAR,USD,CNP,1,2025-05-16,2025-04-23 13:01:30.447255,36.84000015258789
CNP250516C00028000,2025-03-28 13:33:27+00:00,28.0,8.1,7.3,11.0,0.0,0.0,1.0,11,0.8242205078124999,True,REGULAR,USD,CNP,1,2025-05-16,2025-04-23 13:01:30.447255,36.84000015258789
CNP250516C00029000,2025-04-16 18:06:57+00:00,29.0,8.15,7.7,8.6,0.0,0.0,3.0,472,0.7421900781249999,True,REGULAR,USD,CNP,1,2025-05-16,2025-04-23 13:01:30.447255,36.84000015258789
CNP250516C00030000,2025-04-16 18:06:03+00:00,30.0,7.86,6.6,7.5,0.0,0.0,23.0,76,0.59570716796875,True,REGULAR,USD,CNP,1,2025-05-16,2025-04-23 13:01:30.447255,36.84000015258789
CNP250516C00031000,2025-04-09 17:18:50+00:00,31.0,5.0,5.7,7.6,0.0,0.0,5.0,821,0.815431533203125,True,REGULAR,USD,CNP,1,2025-05-16,2025-04-23 13:01:30.447255,36.84000015258789
CNP250516C00032000,2025-04-21 13:40:24+00:00,32.0,5.3,4.2,5.4,0.0,0.0,80.0,479,0.6191444335937502,True,REGULAR,USD,CNP,1,2025-05-16,2025-04-23 13:01:30.447255,36.84000015258789
CNP250516C00033000,2025-04-21 14:21:46+00:00,33.0,5.0,3.8,4.6,0.0,0.0,2.0,572,0.6054726953125001,True,REGULAR,USD,CNP,1,2025-05-16,2025-04-23 13:01:30.447255,36.84000015258789
CNP250516C00034000,2025-04-23 13:53:27+00:00,34.0,3.25,2.95,4.3,-0.3499999,-9.72222,30.0,768,0.51758294921875,True,REGULAR,USD,CNP,1,2025-05-16,2025-04-23 13:01:30.447255,36.84000015258789
CNP250516C00035000,2025-04-22 16:32:08+00:00,35.0,2.41,2.1,2.35,0.0,0.0,2.0,480,0.3305731005859375,True,REGULAR,USD,CNP,1,2025-05-16,2025-04-23 13:01:30.447255,36.84000015258789
CNP250516C00036000,2025-04-22 16:39:02+00:00,36.0,1.67,1.2,1.55,0.01999998,1.21212,3.0,3415,0.28955788574218744,True,REGULAR,USD,CNP,1,2025-05-16,2025-04-23 13:01:30.447255,36.84000015258789
CNP250516C00037000,2025-04-23 15:46:07+00:00,37.0,0.83,0.55,1.0,-0.36000007,-30.252106,15.0,333,0.28565167480468745,False,REGULAR,USD,CNP,1,2025-05-16,2025-04-23 13:01:30.447255,36.84000015258789
CNP250516C00038000,2025-04-22 19:54:49+00:00,38.0,0.53,0.3,0.45,-0.030000031,-5.357148,4.0,1027,0.23926541992187497,False,REGULAR,USD,CNP,1,2025-05-16,2025-04-23 13:01:30.447255,36.84000015258789
CNP250516C00039000,2025-04-22 16:17:43+00:00,39.0,0.25,0.05,0.25,0.0,0.0,2.0,1016,0.2500075,False,REGULAR,USD,CNP,1,2025-05-16,2025-04-23 13:01:30.447255,36.84000015258789
CNP250516C00040000,2025-04-22 19:48:17+00:00,40.0,0.14,0.0,0.15,0.0,0.0,20.0,33,0.26856200195312496,False,REGULAR,USD,CNP,1,2025-05-16,2025-04-23 13:01:30.447255,36.84000015258789
CNP250516P00020000,2025-01-16 14:59:57+00:00,20.0,0.05,0.0,2.15,0.0,0.0,8.0,8,2.2109419726562494,False,REGULAR,USD,CNP,0,2025-05-16,2025-04-23 13:01:30.448275,36.84000015258789
CNP250516P00022000,2025-04-16 16:44:46+00:00,22.0,0.25,0.0,0.05,0.0,0.0,1.0,0,0.8828136718749999,False,REGULAR,USD,CNP,0,2025-05-16,2025-04-23 13:01:30.448275,36.84000015258789
CNP250516P00024000,2024-12-31 19:41:38+00:00,24.0,0.15,0.0,0.75,0.0,0.0,,3,1.2314491552734375,False,REGULAR,USD,CNP,0,2025-05-16,2025-04-23 13:01:30.448275,36.84000015258789
CNP250516P00025000,2024-12-31 19:41:38+00:00,25.0,0.2,0.0,0.75,0.0,0.0,3.0,19,1.1367230664062502,False,REGULAR,USD,CNP,0,2025-05-16,2025-04-23 13:01:30.448275,36.84000015258789
CNP250516P00026000,2024-12-16 05:04:26+00:00,26.0,0.65,0.0,0.0,0.0,0.0,1.0,0,0.2500075,False,REGULAR,USD,CNP,0,2025-05-16,2025-04-23 13:01:30.448275,36.84000015258789
CNP250516P00027000,2024-12-31 19:47:53+00:00,27.0,0.35,0.15,1.2,0.0,0.0,,3,1.1396527392578126,False,REGULAR,USD,CNP,0,2025-05-16,2025-04-23 13:01:30.448275,36.84000015258789
CNP250516P00028000,2025-01-14 18:47:14+00:00,28.0,0.35,0.1,2.25,0.0,0.0,1.0,9,1.2783239208984374,False,REGULAR,USD,CNP,0,2025-05-16,2025-04-23 13:01:30.448275,36.84000015258789
CNP250516P00029000,2025-04-10 14:18:10+00:00,29.0,0.1,0.0,0.3,0.0,0.0,1.0,81,0.6191444335937502,False,REGULAR,USD,CNP,0,2025-05-16,2025-04-23 13:01:30.448275,36.84000015258789
CNP250516P00030000,2025-04-09 15:46:46+00:00,30.0,0.31,0.0,0.75,0.0,0.0,10.0,105,0.70117486328125,False,REGULAR,USD,CNP,0,2025-05-16,2025-04-23 13:01:30.448275,36.84000015258789
CNP250516P00031000,2025-04-09 14:28:27+00:00,31.0,0.45,0.0,0.75,0.0,0.0,4.0,202,0.6181678808593751,False,REGULAR,USD,CNP,0,2025-05-16,2025-04-23 13:01:30.448275,36.84000015258789
