contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
COF250425C00080000,2025-04-08 18:30:15+00:00,80.0,77.0,96.6,99.3,0.0,0.0,,2.0,5.121097348632812,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00085000,2025-04-08 18:30:15+00:00,85.0,72.2,91.5,94.1,0.0,0.0,,1.0,4.562504296875,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00130000,2025-04-16 14:40:36+00:00,130.0,32.75,46.1,49.0,0.0,0.0,1.0,0.0,2.134770288085937,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00135000,2025-04-22 19:50:13+00:00,135.0,35.9,40.8,43.6,0.0,0.0,2.0,3.0,1.5937520312499998,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00138000,2025-04-07 17:00:08+00:00,138.0,21.0,38.2,41.2,0.0,0.0,,3.0,1.9111332568359378,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00140000,2025-04-07 14:22:11+00:00,140.0,18.7,35.9,39.2,0.0,0.0,,13.0,1.8251961865234374,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00143000,2025-04-15 15:35:23+00:00,143.0,24.11,33.4,36.3,0.0,0.0,2.0,3.0,1.7451184619140623,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00145000,2025-04-17 18:50:23+00:00,145.0,19.43,31.2,34.2,0.0,0.0,2.0,1.0,1.61328318359375,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00147000,2025-04-07 16:42:08+00:00,147.0,14.6,29.2,31.4,0.0,0.0,,1.0,0.8710950390625,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00148000,2025-04-22 13:33:28+00:00,148.0,20.4,27.9,31.1,0.0,0.0,20.0,22.0,1.44140904296875,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00150000,2025-04-22 13:53:15+00:00,150.0,19.3,26.1,28.3,0.0,0.0,25.0,18.0,1.0000000000000003e-05,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00152500,2025-04-22 19:49:28+00:00,152.5,18.7,23.7,26.5,0.0,0.0,1.0,1.0,1.2138711181640622,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00155000,2025-04-23 14:00:13+00:00,155.0,27.5,21.7,23.8,10.709999,63.78796,1.0,3.0,1.01953615234375,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00157500,2025-04-21 19:13:52+00:00,157.5,23.5,18.3,21.5,13.53,135.70712,3.0,18.0,1.0161182006835938,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00160000,2025-04-23 13:49:30+00:00,160.0,19.13,16.7,17.9,6.339999,49.569973,13.0,76.0,1.0000000000000003e-05,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00162500,2025-04-23 14:00:23+00:00,162.5,18.6,14.4,16.7,8.85,90.76923,7.0,95.0,0.8852550537109375,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00165000,2025-04-23 15:07:13+00:00,165.0,13.64,12.4,13.6,4.6400003,51.555557,89.0,600.0,0.5566450585937501,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00167500,2025-04-23 15:08:34+00:00,167.5,11.2,10.6,11.4,3.8999996,53.424652,60.0,278.0,0.584965087890625,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00170000,2025-04-23 16:17:34+00:00,170.0,8.14,7.7,8.8,1.4400005,21.492546,276.0,389.0,0.454107021484375,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00172500,2025-04-23 16:29:08+00:00,172.5,6.6,6.2,7.5,1.4000001,26.92308,119.0,151.0,0.6113320117187502,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00175000,2025-04-23 16:04:48+00:00,175.0,4.4,4.6,5.4,0.6500001,17.333336,365.0,768.0,0.5410202148437502,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00177500,2025-04-23 16:06:17+00:00,177.5,3.5,3.0,3.8,0.20000005,6.0606074,508.0,718.0,0.5200243310546875,1.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00180000,2025-04-23 16:19:46+00:00,180.0,1.72,1.9,2.45,-0.53,-23.555553,297.0,415.0,0.4936574072265626,0.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00182500,2025-04-23 16:09:59+00:00,182.5,1.2,1.1,1.6,-0.6999999,-36.842102,217.0,438.0,0.499028447265625,0.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00185000,2025-04-23 16:23:28+00:00,185.0,0.6,0.5,0.8,-0.51,-45.945946,211.0,302.0,0.46094289062500005,0.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00187500,2025-04-23 16:24:27+00:00,187.5,0.35,0.3,0.45,-0.47,-57.317074,228.0,344.0,0.46582565429687506,0.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00190000,2025-04-23 16:02:35+00:00,190.0,0.15,0.1,0.25,-0.47,-75.80645,446.0,575.0,0.47461462890625,0.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00195000,2025-04-23 15:44:42+00:00,195.0,0.05,0.0,0.4,-0.5,-90.90909,357.0,222.0,0.5918009570312501,0.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00197500,2025-04-23 13:31:09+00:00,197.5,0.05,0.0,0.15,-0.2,-80.0,2.0,15.0,0.5546919531250001,0.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00200000,2025-04-23 16:29:19+00:00,200.0,0.05,0.05,0.1,-0.05,-50.0,175.0,257.0,0.6113320117187502,0.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00205000,2025-04-22 19:58:59+00:00,205.0,0.02,0.0,0.05,-0.030000001,-60.0,5.0,125.0,0.6250037500000001,0.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425C00230000,2025-04-14 18:36:25+00:00,230.0,1.06,0.0,0.05,0.0,0.0,,5.0,1.0625046875000002,0.0,REGULAR,USD,COF,1,2025-04-25,2025-04-23 13:01:19.886686,178.3699951171875
COF250425P00110000,2025-04-04 16:00:37+00:00,110.0,1.33,0.0,0.05,0.0,0.0,7.0,8.0,1.96875015625,0.0,REGULAR,USD,COF,0,2025-04-25,2025-04-23 13:01:19.887693,178.3699951171875
COF250425P00115000,2025-04-07 15:24:38+00:00,115.0,2.04,0.0,0.6,0.0,0.0,,1.0,2.468753828125,0.0,REGULAR,USD,COF,0,2025-04-25,2025-04-23 13:01:19.887693,178.3699951171875
COF250425P00125000,2025-04-21 15:28:23+00:00,125.0,0.05,0.0,0.05,0.0,0.0,10.0,12.0,1.484377578125,0.0,REGULAR,USD,COF,0,2025-04-25,2025-04-23 13:01:19.887693,178.3699951171875
