contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
COO250516C00060000,2025-04-17 16:46:53+00:00,60.0,19.9,20.3,23.3,0.0,0.0,20.0,20,0.9082040429687499,True,REGULAR,USD,COO,1,2025-05-16,2025-04-23 13:02:01.948709,81.05000305175781
COO250516C00075000,2025-04-11 19:02:59+00:00,75.0,5.5,6.6,7.2,0.0,0.0,7.0,27,0.41870698486328123,True,REGULAR,USD,COO,1,2025-05-16,2025-04-23 13:02:01.948709,81.05000305175781
COO250516C00080000,2025-04-23 13:47:14+00:00,80.0,4.08,2.95,3.6,1.56,61.904762,4.0,130,0.3698793481445312,True,REGULAR,USD,COO,1,2025-05-16,2025-04-23 13:02:01.948709,81.05000305175781
COO250516C00085000,2025-04-23 14:57:28+00:00,85.0,1.5,0.85,1.35,0.85,130.76924,12.0,252,0.3425358715820312,False,REGULAR,USD,COO,1,2025-05-16,2025-04-23 13:02:01.948709,81.05000305175781
COO250516C00090000,2025-04-23 14:39:55+00:00,90.0,0.45,0.25,0.45,0.24999999,124.99999,2.0,612,0.34766277343749996,False,REGULAR,USD,COO,1,2025-05-16,2025-04-23 13:02:01.948709,81.05000305175781
COO250516C00095000,2025-04-08 14:43:26+00:00,95.0,0.25,0.0,0.25,0.0,0.0,1.0,56,0.405279384765625,False,REGULAR,USD,COO,1,2025-05-16,2025-04-23 13:02:01.948709,81.05000305175781
COO250516C00100000,2025-03-28 18:04:46+00:00,100.0,0.16,0.0,0.75,0.0,0.0,5.0,32,0.5483443603515626,False,REGULAR,USD,COO,1,2025-05-16,2025-04-23 13:02:01.948709,81.05000305175781
COO250516C00105000,2025-03-07 15:31:33+00:00,105.0,0.2,0.0,0.0,0.0,0.0,2.0,105,0.2500075,False,REGULAR,USD,COO,1,2025-05-16,2025-04-23 13:02:01.948709,81.05000305175781
COO250516C00110000,2025-02-26 14:53:06+00:00,110.0,0.8,0.0,2.2,0.0,0.0,4.0,172,0.9389654541015625,False,REGULAR,USD,COO,1,2025-05-16,2025-04-23 13:02:01.948709,81.05000305175781
COO250516C00115000,2024-12-18 14:30:07+00:00,115.0,1.8,1.15,2.1,0.0,0.0,3.0,6,1.1489300366210937,False,REGULAR,USD,COO,1,2025-05-16,2025-04-23 13:02:01.948709,81.05000305175781
COO250516C00120000,2025-03-06 18:02:58+00:00,120.0,0.3,0.0,1.65,0.0,0.0,2.0,16,1.0424852563476565,False,REGULAR,USD,COO,1,2025-05-16,2025-04-23 13:02:01.948709,81.05000305175781
COO250516C00125000,2024-12-05 14:51:17+00:00,125.0,2.17,0.35,2.05,0.0,0.0,,2,1.2241249731445314,False,REGULAR,USD,COO,1,2025-05-16,2025-04-23 13:02:01.948709,81.05000305175781
COO250516C00140000,2024-12-16 05:13:10+00:00,140.0,0.85,0.0,2.0,0.0,0.0,,1,1.3842804223632812,False,REGULAR,USD,COO,1,2025-05-16,2025-04-23 13:02:01.948709,81.05000305175781
COO250516P00065000,2025-04-15 14:34:39+00:00,65.0,0.82,0.05,0.65,0.0,0.0,1.0,9,0.5888712988281251,False,REGULAR,USD,COO,0,2025-05-16,2025-04-23 13:02:01.950715,81.05000305175781
COO250516P00070000,2025-04-14 19:51:21+00:00,70.0,1.1,0.25,1.8,0.0,0.0,3.0,61,0.5942423388671876,False,REGULAR,USD,COO,0,2025-05-16,2025-04-23 13:02:01.950715,81.05000305175781
COO250516P00075000,2025-04-22 17:48:24+00:00,75.0,1.5,0.75,1.35,0.0,0.0,1.0,191,0.4506890869140625,False,REGULAR,USD,COO,0,2025-05-16,2025-04-23 13:02:01.950715,81.05000305175781
COO250516P00080000,2025-04-23 14:53:49+00:00,80.0,1.75,2.0,2.5,-2.4899998,-58.72641,2.0,59,0.36377589355468753,False,REGULAR,USD,COO,0,2025-05-16,2025-04-23 13:02:01.950715,81.05000305175781
COO250516P00085000,2025-04-21 16:13:23+00:00,85.0,7.4,4.5,5.6,0.0,0.0,4.0,75,0.3830628100585937,True,REGULAR,USD,COO,0,2025-05-16,2025-04-23 13:02:01.950715,81.05000305175781
COO250516P00090000,2025-04-21 14:52:03+00:00,90.0,12.07,8.3,9.6,0.0,0.0,20.0,59,0.39014281738281253,True,REGULAR,USD,COO,0,2025-05-16,2025-04-23 13:02:01.950715,81.05000305175781
COO250516P00095000,2025-02-12 14:30:02+00:00,95.0,6.0,12.5,16.0,0.0,0.0,1.0,36,0.7683128637695313,True,REGULAR,USD,COO,0,2025-05-16,2025-04-23 13:02:01.950715,81.05000305175781
COO250516P00100000,2024-12-16 19:43:37+00:00,100.0,8.56,5.5,6.0,0.0,0.0,1.0,6,1.0000000000000003e-05,True,REGULAR,USD,COO,0,2025-05-16,2025-04-23 13:02:01.950715,81.05000305175781
COO250516P00105000,2024-12-05 20:17:41+00:00,105.0,7.2,8.1,9.3,0.0,0.0,54.0,66,1.0000000000000003e-05,True,REGULAR,USD,COO,0,2025-05-16,2025-04-23 13:02:01.950715,81.05000305175781
COO250516P00110000,2024-12-05 17:08:53+00:00,110.0,9.6,10.6,13.1,0.0,0.0,1.0,20,1.0000000000000003e-05,True,REGULAR,USD,COO,0,2025-05-16,2025-04-23 13:02:01.950715,81.05000305175781
COO250516P00130000,2024-12-16 05:13:12+00:00,130.0,20.9,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,COO,0,2025-05-16,2025-04-23 13:02:01.950715,81.05000305175781
