contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
COP250425C00056000,2025-04-22 15:19:36+00:00,56.0,33.3,32.2,35.35,0.0,0.0,32.0,20,3.8554691113281248,True,REGULAR,USD,COP,1,2025-04-25,2025-04-23 13:01:57.410773,90.38999938964844
COP250425C00057000,2025-04-22 15:19:36+00:00,57.0,32.32,31.2,33.5,0.0,0.0,32.0,17,2.468753828125,True,REGULAR,USD,COP,1,2025-04-25,2025-04-23 13:01:57.410773,90.38999938964844
COP250425C00058000,2025-04-22 15:20:35+00:00,58.0,31.36,31.1,32.45,0.0,0.0,32.0,16,2.1953170117187497,True,REGULAR,USD,COP,1,2025-04-25,2025-04-23 13:01:57.410773,90.38999938964844
COP250425C00059000,2025-04-22 15:24:22+00:00,59.0,30.49,29.2,32.3,0.0,0.0,16.0,8,3.464845087890625,True,REGULAR,USD,COP,1,2025-04-25,2025-04-23 13:01:57.410773,90.38999938964844
COP250425C00060000,2025-04-22 15:20:35+00:00,60.0,29.38,28.9,30.9,0.0,0.0,32.0,16,2.9277370556640623,True,REGULAR,USD,COP,1,2025-04-25,2025-04-23 13:01:57.410773,90.38999938964844
COP250425C00061000,2025-04-22 15:21:58+00:00,61.0,28.3,28.15,29.45,0.0,0.0,32.0,17,1.96875015625,True,REGULAR,USD,COP,1,2025-04-25,2025-04-23 13:01:57.410773,90.38999938964844
COP250425C00062000,2025-04-22 15:21:58+00:00,62.0,27.32,26.85,28.5,0.0,0.0,32.0,17,2.0664110839843746,True,REGULAR,USD,COP,1,2025-04-25,2025-04-23 13:01:57.410773,90.38999938964844
COP250425C00063000,2025-04-22 15:22:49+00:00,63.0,26.42,25.25,28.15,0.0,0.0,32.0,0,2.89844025390625,True,REGULAR,USD,COP,1,2025-04-25,2025-04-23 13:01:57.410773,90.38999938964844
COP250425C00064000,2025-04-22 15:22:49+00:00,64.0,25.44,24.85,26.5,0.0,0.0,32.0,16,1.9140629296875002,True,REGULAR,USD,COP,1,2025-04-25,2025-04-23 13:01:57.410773,90.38999938964844
COP250425C00066000,2025-04-21 16:42:25+00:00,66.0,21.09,23.15,23.9,0.0,0.0,16.0,8,1.0000000000000003e-05,True,REGULAR,USD,COP,1,2025-04-25,2025-04-23 13:01:57.410773,90.38999938964844
COP250425C00067000,2025-04-17 18:25:52+00:00,67.0,22.35,22.2,23.5,-0.5799999,-2.529437,1.0,8,1.69140779296875,True,REGULAR,USD,COP,1,2025-04-25,2025-04-23 13:01:57.410773,90.38999938964844
COP250425C00068000,2025-04-22 15:25:54+00:00,68.0,21.36,21.5,22.35,0.0,0.0,16.0,8,1.0000000000000003e-05,True,REGULAR,USD,COP,1,2025-04-25,2025-04-23 13:01:57.410773,90.38999938964844
COP250425C00069000,2025-04-22 15:25:54+00:00,69.0,20.38,20.6,21.45,0.0,0.0,16.0,16,1.4140654296875002,True,REGULAR,USD,COP,1,2025-04-25,2025-04-23 13:01:57.410773,90.38999938964844
COP250425C00070000,2025-04-17 13:42:56+00:00,70.0,19.1,19.2,20.4,0.0,0.0,3.0,7,1.109379453125,True,REGULAR,USD,COP,1,2025-04-25,2025-04-23 13:01:57.410773,90.38999938964844
COP250425C00073000,2025-04-22 15:39:04+00:00,73.0,16.3,16.45,17.15,0.0,0.0,16.0,12,1.0000000000000003e-05,True,REGULAR,USD,COP,1,2025-04-25,2025-04-23 13:01:57.410773,90.38999938964844
COP250425C00074000,2025-04-22 15:39:04+00:00,74.0,15.32,15.45,16.15,0.0,0.0,16.0,12,1.0000000000000003e-05,True,REGULAR,USD,COP,1,2025-04-25,2025-04-23 13:01:57.410773,90.38999938964844
COP250425C00075000,2025-04-07 16:02:36+00:00,75.0,11.9,14.35,15.75,0.0,0.0,,1,1.435549697265625,True,REGULAR,USD,COP,1,2025-04-25,2025-04-23 13:01:57.410773,90.38999938964844
COP250425C00076000,2025-04-07 14:33:23+00:00,76.0,11.75,13.35,14.15,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,COP,1,2025-04-25,2025-04-23 13:01:57.410773,90.38999938964844
COP250425C00077000,2025-04-07 18:10:23+00:00,77.0,10.95,12.2,13.3,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD,COP,1,2025-04-25,2025-04-23 13:01:57.410773,90.38999938964844
COP250425C00078000,2025-04-14 17:00:02+00:00,78.0,9.9,11.5,13.75,0.0,0.0,1.0,2,1.08203583984375,True,REGULAR,USD,COP,1,2025-04-25,2025-04-23 13:01:57.410773,90.38999938964844
COP250425C00079000,2025-04-15 18:27:15+00:00,79.0,7.4,10.5,11.85,0.0,0.0,,61,1.19141029296875,True,REGULAR,USD,COP,1,2025-04-25,2025-04-23 13:01:57.410773,90.38999938964844
