contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
COST250425C00540000,2025-04-21 16:58:34+00:00,540.0,414.85,428.75,436.4,0.0,0.0,4.0,1.0,3.0385766223144532,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00550000,2025-04-09 19:39:08+00:00,550.0,404.3,418.0,425.25,0.0,0.0,2.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00590000,2025-04-22 19:44:25+00:00,590.0,387.09,379.25,386.65,0.0,0.0,1.0,0.0,2.706546202392578,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00595000,2025-04-10 17:03:03+00:00,595.0,369.6,374.25,380.75,0.0,0.0,,1.0,2.3046917382812495,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00600000,2025-03-14 15:44:59+00:00,600.0,305.0,0.0,0.0,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00615000,2025-04-10 17:02:36+00:00,615.0,351.85,351.75,358.8,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00620000,2025-04-09 19:37:51+00:00,620.0,338.7,348.0,355.3,0.0,0.0,1.0,1.0,1.609376953125,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00650000,2025-04-09 19:38:19+00:00,650.0,308.24,316.5,323.85,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00670000,2025-04-07 15:14:31+00:00,670.0,235.9,296.5,303.85,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00735000,2025-04-10 19:00:43+00:00,735.0,235.2,235.0,241.95,0.0,0.0,,3.0,1.6962905810546878,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00745000,2025-04-10 14:36:01+00:00,745.0,246.6,224.85,233.3,0.0,0.0,,1.0,1.8210458166503907,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00750000,2025-03-28 14:29:44+00:00,750.0,181.35,217.6,223.9,0.0,0.0,1.0,9.0,1.0000000000000003e-05,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00760000,2025-04-10 13:36:04+00:00,760.0,225.0,209.85,217.25,0.0,0.0,1.0,7.0,1.5717794848632813,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00770000,2025-04-10 13:36:04+00:00,770.0,215.0,198.0,203.9,0.0,0.0,1.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00780000,2025-04-08 16:31:30+00:00,780.0,151.15,188.1,193.9,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00785000,2025-04-17 14:09:35+00:00,785.0,197.42,183.05,188.9,0.0,0.0,1.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00800000,2025-04-22 14:40:58+00:00,800.0,182.2,167.45,173.95,0.0,0.0,1.0,17.0,1.0000000000000003e-05,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00810000,2025-04-21 16:59:17+00:00,810.0,146.38,160.05,167.4,0.0,0.0,1.0,0.0,1.249515471191406,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00820000,2025-04-07 17:46:02+00:00,820.0,100.55,150.0,158.55,0.0,0.0,,1.0,1.2988316308593748,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00830000,2025-04-10 15:47:45+00:00,830.0,145.06,140.0,147.05,0.0,0.0,10.0,51.0,1.0742233789062503,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00835000,2025-04-10 13:35:01+00:00,835.0,149.9,135.0,143.55,0.0,0.0,,2.0,1.1909220141601562,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00840000,2025-04-16 13:41:26+00:00,840.0,141.93,129.45,135.7,8.029999,5.997012,6.0,6.0,0.788088056640625,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
COST250425C00845000,2025-04-10 13:35:01+00:00,845.0,140.15,124.45,131.35,0.0,0.0,,3.0,0.885743330078125,True,REGULAR,USD,COST,1,2025-04-25,2025-04-23 13:02:07.129870,975.27001953125
