contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CPAY250516C00155000,2024-12-16 05:02:21+00:00,155.0,186.0,210.1,220.0,0.0,0.0,,2,5.282229959716796,True,REGULAR,USD,CPAY,1,2025-05-16,2025-04-23 13:02:04.929850,319.8299865722656
CPAY250516C00230000,2025-03-03 15:06:23+00:00,230.0,141.6,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,CPAY,1,2025-05-16,2025-04-23 13:02:04.929850,319.8299865722656
CPAY250516C00300000,2025-04-16 15:20:56+00:00,300.0,23.18,21.0,29.0,0.0,0.0,1.0,1,0.5465133239746094,True,REGULAR,USD,CPAY,1,2025-05-16,2025-04-23 13:02:04.929850,319.8299865722656
CPAY250516C00320000,2025-04-21 16:35:25+00:00,320.0,5.5,8.8,17.0,0.0,0.0,1.0,17,0.5224046783447265,False,REGULAR,USD,CPAY,1,2025-05-16,2025-04-23 13:02:04.929850,319.8299865722656
CPAY250516C00330000,2025-04-09 13:30:21+00:00,330.0,3.2,6.2,13.2,0.0,0.0,,1,0.5367477966308594,False,REGULAR,USD,CPAY,1,2025-05-16,2025-04-23 13:02:04.929850,319.8299865722656
CPAY250516C00340000,2025-04-23 13:30:01+00:00,340.0,5.1,2.8,10.7,2.4199998,90.2985,1.0,7,0.5670819659423829,False,REGULAR,USD,CPAY,1,2025-05-16,2025-04-23 13:02:04.929850,319.8299865722656
CPAY250516C00350000,2025-04-09 13:30:21+00:00,350.0,1.55,0.1,4.9,0.0,0.0,1.0,5,0.4542290905761719,False,REGULAR,USD,CPAY,1,2025-05-16,2025-04-23 13:02:04.929850,319.8299865722656
CPAY250516C00360000,2025-04-03 15:24:49+00:00,360.0,4.0,0.05,10.0,0.0,0.0,6.0,10,0.5360764166259766,False,REGULAR,USD,CPAY,1,2025-05-16,2025-04-23 13:02:04.929850,319.8299865722656
CPAY250516C00370000,2025-04-15 14:35:33+00:00,370.0,2.0,0.05,10.0,0.0,0.0,1.0,18,0.6071816625976563,False,REGULAR,USD,CPAY,1,2025-05-16,2025-04-23 13:02:04.929850,319.8299865722656
CPAY250516C00380000,2025-04-22 17:30:55+00:00,380.0,1.0,0.05,9.9,0.65,185.71428,1.0,15,0.6712679357910158,False,REGULAR,USD,CPAY,1,2025-05-16,2025-04-23 13:02:04.929850,319.8299865722656
CPAY250516C00390000,2025-04-17 19:49:38+00:00,390.0,0.5,0.0,4.8,0.0,0.0,2.0,2,0.591923026123047,False,REGULAR,USD,CPAY,1,2025-05-16,2025-04-23 13:02:04.929850,319.8299865722656
