contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CPRT250516C00030000,2024-12-16 05:03:27+00:00,30.0,25.7,29.5,34.4,0.0,0.0,1.0,1.0,2.036137722167969,1.0,REGULAR,USD,CPRT,1,2025-05-16,2025-04-23 13:02:02.401396,61.08000183105469
CPRT250516C00045000,2024-11-25 16:53:56+00:00,45.0,20.15,12.2,14.6,0.0,0.0,1.0,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,CPRT,1,2025-05-16,2025-04-23 13:02:02.401396,61.08000183105469
CPRT250516C00047500,2025-04-16 19:22:33+00:00,47.5,12.5,12.7,15.1,0.0,0.0,10.0,11.0,0.6835969140625001,1.0,REGULAR,USD,CPRT,1,2025-05-16,2025-04-23 13:02:02.401396,61.08000183105469
CPRT250516C00050000,2025-04-23 13:39:46+00:00,50.0,11.68,10.7,12.6,1.6800003,16.800003,1.0,37.0,0.6699251757812501,1.0,REGULAR,USD,CPRT,1,2025-05-16,2025-04-23 13:02:02.401396,61.08000183105469
CPRT250516C00052500,2025-04-04 18:53:23+00:00,52.5,4.6,7.8,10.6,0.0,0.0,1.0,45.0,0.5629926513671876,1.0,REGULAR,USD,CPRT,1,2025-05-16,2025-04-23 13:02:02.401396,61.08000183105469
CPRT250516C00055000,2025-04-15 13:56:23+00:00,55.0,6.2,6.0,7.2,0.0,0.0,1.0,337.0,0.5581098876953126,1.0,REGULAR,USD,CPRT,1,2025-05-16,2025-04-23 13:02:02.401396,61.08000183105469
CPRT250516C00057500,2025-04-23 14:28:24+00:00,57.5,4.58,3.9,4.4,2.1899998,91.63179,16.0,1215.0,0.3549869189453124,1.0,REGULAR,USD,CPRT,1,2025-05-16,2025-04-23 13:02:02.401396,61.08000183105469
CPRT250516C00060000,2025-04-23 14:33:31+00:00,60.0,3.0,2.1,2.4,1.05,53.84615,38.0,671.0,0.2919992675781249,1.0,REGULAR,USD,CPRT,1,2025-05-16,2025-04-23 13:02:02.401396,61.08000183105469
CPRT250516C00062500,2025-04-22 18:45:36+00:00,62.5,1.65,0.85,1.55,0.7,73.68421,13.0,1502.0,0.3461979443359374,0.0,REGULAR,USD,CPRT,1,2025-05-16,2025-04-23 13:02:02.401396,61.08000183105469
CPRT250516C00065000,2025-04-23 14:12:56+00:00,65.0,0.5,0.4,0.65,0.3,150.00002,23.0,246.0,0.3161689477539062,0.0,REGULAR,USD,CPRT,1,2025-05-16,2025-04-23 13:02:02.401396,61.08000183105469
CPRT250516C00067500,2025-04-23 14:02:27+00:00,67.5,0.16,0.05,0.35,0.019999996,14.285711,2.0,39.0,0.3398503515625,0.0,REGULAR,USD,CPRT,1,2025-05-16,2025-04-23 13:02:02.401396,61.08000183105469
CPRT250516C00070000,2025-04-22 17:29:58+00:00,70.0,0.03,0.0,0.1,0.0,0.0,25.0,291.0,0.3154365332031249,0.0,REGULAR,USD,CPRT,1,2025-05-16,2025-04-23 13:02:02.401396,61.08000183105469
CPRT250516C00075000,2025-04-22 17:29:58+00:00,75.0,0.02,0.0,0.75,0.0,0.0,25.0,40.0,0.57617611328125,0.0,REGULAR,USD,CPRT,1,2025-05-16,2025-04-23 13:02:02.401396,61.08000183105469
CPRT250516P00035000,2024-12-16 05:03:29+00:00,35.0,0.35,0.3,0.4,0.0,0.0,,10.0,1.3418001660156247,0.0,REGULAR,USD,CPRT,0,2025-05-16,2025-04-23 13:02:02.402379,61.08000183105469
CPRT250516P00037500,2025-01-10 15:02:16+00:00,37.5,0.26,0.0,2.25,0.0,0.0,5.0,5.0,1.6059590014648437,0.0,REGULAR,USD,CPRT,0,2025-05-16,2025-04-23 13:02:02.402379,61.08000183105469
CPRT250516P00040000,2025-04-04 14:40:58+00:00,40.0,0.15,0.0,0.75,0.0,0.0,3.0,4.0,1.0810592822265626,0.0,REGULAR,USD,CPRT,0,2025-05-16,2025-04-23 13:02:02.402379,61.08000183105469
