contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CPT250516C00090000,2024-12-16 05:03:40+00:00,90.0,25.13,29.0,33.5,0.0,0.0,1.0,1,1.5434593139648438,True,REGULAR,USD,CPT,1,2025-05-16,2025-04-23 13:01:18.359374,114.66999816894531
CPT250516C00095000,2025-03-25 16:06:53+00:00,95.0,27.25,19.0,21.7,0.0,0.0,2.0,0,0.5629926513671876,True,REGULAR,USD,CPT,1,2025-05-16,2025-04-23 13:01:18.359374,114.66999816894531
CPT250516C00100000,2024-12-16 05:03:39+00:00,100.0,22.95,22.1,25.9,0.0,0.0,,1,1.4289579333496092,True,REGULAR,USD,CPT,1,2025-05-16,2025-04-23 13:01:18.359374,114.66999816894531
CPT250516C00110000,2025-04-23 13:43:49+00:00,110.0,7.0,4.4,7.2,1.52,27.737226,18.0,5,0.39038695556640624,True,REGULAR,USD,CPT,1,2025-05-16,2025-04-23 13:01:18.359374,114.66999816894531
CPT250516C00115000,2025-04-21 18:28:57+00:00,115.0,1.8,1.95,4.6,0.0,0.0,29.0,43,0.4056455920410156,False,REGULAR,USD,CPT,1,2025-05-16,2025-04-23 13:01:18.359374,114.66999816894531
CPT250516C00120000,2025-04-21 17:54:16+00:00,120.0,0.6,0.0,1.45,0.0,0.0,2.0,202,0.29053443847656246,False,REGULAR,USD,CPT,1,2025-05-16,2025-04-23 13:01:18.359374,114.66999816894531
CPT250516C00125000,2025-04-16 17:58:35+00:00,125.0,0.3,0.0,2.65,0.0,0.0,3.0,53,0.5360153820800782,False,REGULAR,USD,CPT,1,2025-05-16,2025-04-23 13:01:18.359374,114.66999816894531
CPT250516C00130000,2025-04-17 18:12:32+00:00,130.0,0.3,0.0,0.7,0.0,0.0,1.0,15,0.405279384765625,False,REGULAR,USD,CPT,1,2025-05-16,2025-04-23 13:01:18.359374,114.66999816894531
CPT250516C00135000,2025-04-21 18:24:38+00:00,135.0,0.35,0.0,0.75,0.0,0.0,1.0,92,0.4968312036132813,False,REGULAR,USD,CPT,1,2025-05-16,2025-04-23 13:01:18.359374,114.66999816894531
CPT250516C00140000,2025-03-07 15:19:16+00:00,140.0,0.8,0.0,0.0,0.0,0.0,12.0,13,0.12500875,False,REGULAR,USD,CPT,1,2025-05-16,2025-04-23 13:01:18.359374,114.66999816894531
CPT250516C00150000,2024-12-16 05:03:40+00:00,150.0,1.6,0.0,0.0,0.0,0.0,,1,0.2500075,False,REGULAR,USD,CPT,1,2025-05-16,2025-04-23 13:01:18.359374,114.66999816894531
CPT250516C00155000,2025-02-24 15:09:46+00:00,155.0,0.15,0.0,0.75,0.0,0.0,,1,0.6728548339843752,False,REGULAR,USD,CPT,1,2025-05-16,2025-04-23 13:01:18.359374,114.66999816894531
CPT250516P00060000,2025-04-07 13:31:21+00:00,60.0,0.3,0.0,0.25,0.0,0.0,,6,1.15625421875,False,REGULAR,USD,CPT,0,2025-05-16,2025-04-23 13:01:18.361375,114.66999816894531
CPT250516P00070000,2024-12-16 05:03:41+00:00,70.0,0.5,0.0,4.2,0.0,0.0,,8,1.6181659716796877,False,REGULAR,USD,CPT,0,2025-05-16,2025-04-23 13:01:18.361375,114.66999816894531
CPT250516P00075000,2025-04-11 16:51:39+00:00,75.0,0.4,0.0,0.75,0.0,0.0,,16,0.9521489160156249,False,REGULAR,USD,CPT,0,2025-05-16,2025-04-23 13:01:18.361375,114.66999816894531
CPT250516P00080000,2025-04-09 14:28:13+00:00,80.0,0.7,0.0,0.75,0.0,0.0,,8,0.8281267187499999,False,REGULAR,USD,CPT,0,2025-05-16,2025-04-23 13:01:18.361375,114.66999816894531
CPT250516P00085000,2025-04-09 14:49:32+00:00,85.0,1.2,0.0,0.75,0.0,0.0,1.0,3,0.709963837890625,False,REGULAR,USD,CPT,0,2025-05-16,2025-04-23 13:01:18.361375,114.66999816894531
CPT250516P00090000,2025-03-03 19:44:28+00:00,90.0,0.4,0.0,0.0,0.0,0.0,2.0,7,0.2500075,False,REGULAR,USD,CPT,0,2025-05-16,2025-04-23 13:01:18.361375,114.66999816894531
CPT250516P00095000,2025-04-10 15:37:19+00:00,95.0,1.51,0.0,0.8,0.0,0.0,3.0,30,0.5883830224609375,False,REGULAR,USD,CPT,0,2025-05-16,2025-04-23 13:01:18.361375,114.66999816894531
CPT250516P00100000,2025-04-14 15:00:13+00:00,100.0,1.2,0.1,0.75,0.0,0.0,1.0,190,0.45703667968750006,False,REGULAR,USD,CPT,0,2025-05-16,2025-04-23 13:01:18.361375,114.66999816894531
CPT250516P00105000,2025-04-16 19:16:09+00:00,105.0,2.34,0.0,2.15,0.0,0.0,5.0,16,0.5109912182617188,False,REGULAR,USD,CPT,0,2025-05-16,2025-04-23 13:01:18.361375,114.66999816894531
CPT250516P00110000,2025-04-17 16:19:05+00:00,110.0,2.8,0.85,2.05,0.0,0.0,5.0,17,0.3442448388671875,False,REGULAR,USD,CPT,0,2025-05-16,2025-04-23 13:01:18.361375,114.66999816894531
