contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CRL250516C00075000,2025-04-11 14:48:52+00:00,75.0,25.33,32.0,35.5,0.0,0.0,,11,1.199711032714844,True,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00080000,2025-04-11 14:48:52+00:00,80.0,21.57,28.1,30.7,0.0,0.0,,11,0.747072841796875,True,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00085000,2025-04-21 16:33:50+00:00,85.0,18.8,22.8,26.1,0.0,0.0,2.0,2,0.6411168701171875,True,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00090000,2025-04-11 14:53:33+00:00,90.0,13.7,19.1,20.3,0.0,0.0,,1,0.5830119824218749,True,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00095000,2025-04-15 14:42:02+00:00,95.0,15.0,15.1,16.7,0.0,0.0,1.0,0,0.6435582519531251,True,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00100000,2025-04-23 14:11:06+00:00,100.0,15.77,11.6,12.9,6.17,64.27083,1.0,23,0.639652041015625,True,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00105000,2025-04-23 16:15:24+00:00,105.0,8.9,8.6,9.3,2.0999994,30.882343,4.0,603,0.6184120190429689,True,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00110000,2025-04-23 14:11:06+00:00,110.0,9.14,6.0,6.5,4.0400004,79.21569,2.0,1120,0.6020547607421877,False,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00115000,2025-04-22 17:37:05+00:00,115.0,5.58,3.9,4.1,3.33,148.0,2.0,198,0.5739788696289063,False,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00120000,2025-04-23 13:54:43+00:00,120.0,3.5,2.25,2.5,1.82,108.333336,370.0,574,0.5500533276367189,False,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00125000,2025-04-22 15:14:18+00:00,125.0,1.78,1.05,1.45,0.92999995,109.41175,4.0,2774,0.5229539892578124,False,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00130000,2025-04-22 19:52:31+00:00,130.0,0.49,0.5,0.85,0.0,0.0,513.0,177,0.5170946728515625,False,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00135000,2025-04-15 14:57:54+00:00,135.0,1.09,0.0,0.9,0.0,0.0,1.0,5,0.5419967675781252,False,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00140000,2025-04-22 19:16:21+00:00,140.0,0.28,0.0,0.75,0.0,0.0,1.0,19,0.58789474609375,False,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00145000,2025-04-09 14:24:59+00:00,145.0,3.35,0.0,0.75,0.0,0.0,1.0,2,0.6513706738281251,False,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00150000,2025-04-17 17:54:28+00:00,150.0,0.25,0.0,0.75,0.0,0.0,20.0,91,0.710940390625,False,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00155000,2025-04-10 19:58:29+00:00,155.0,0.88,0.0,0.75,0.0,0.0,1.0,13,0.7675804492187501,False,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00160000,2025-04-15 16:55:14+00:00,160.0,0.26,0.0,0.75,0.0,0.0,2.0,9,0.82226740234375,False,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00165000,2025-04-15 13:56:31+00:00,165.0,0.18,0.0,0.3,0.0,0.0,5.0,42,0.75586181640625,False,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00170000,2025-03-28 19:36:57+00:00,170.0,4.9,0.0,0.75,0.0,0.0,1.0,54,0.922852333984375,False,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00175000,2025-04-11 19:36:23+00:00,175.0,0.14,0.0,0.75,0.0,0.0,2.0,32,0.9707034179687499,False,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00180000,2025-04-11 18:19:02+00:00,180.0,0.15,0.0,0.75,0.0,0.0,1.0,18,1.015629921875,False,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00185000,2025-04-16 14:51:03+00:00,185.0,0.15,0.0,0.1,0.0,0.0,10.0,39,0.8085956640624999,False,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00190000,2025-04-22 19:26:47+00:00,190.0,0.05,0.0,0.75,0.0,0.0,1.0,23,1.1025435498046878,False,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00195000,2025-03-07 19:45:25+00:00,195.0,5.6,0.0,0.0,0.0,0.0,1.0,17,0.500005,False,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
CRL250516C00200000,2025-03-24 13:43:06+00:00,200.0,2.38,0.0,0.75,0.0,0.0,1.0,12,1.1826212744140623,False,REGULAR,USD,CRL,1,2025-05-16,2025-04-23 13:01:32.565161,109.0
