contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CRWD250425C00205000,2025-04-22 19:45:30+00:00,205.0,161.04,176.95,182.85,0.0,0.0,10.0,3,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
CRWD250425C00210000,2025-04-21 14:11:56+00:00,210.0,156.08,172.2,177.9,0.0,0.0,10.0,18,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
CRWD250425C00215000,2025-04-21 14:11:12+00:00,215.0,151.44,167.85,172.75,0.0,0.0,10.0,11,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
CRWD250425C00225000,2025-04-17 19:01:36+00:00,225.0,152.72,157.45,162.9,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
CRWD250425C00230000,2025-04-17 17:08:06+00:00,230.0,148.62,152.8,157.85,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
CRWD250425C00260000,2025-04-17 17:28:11+00:00,260.0,116.02,121.9,127.8,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
CRWD250425C00265000,2025-03-28 19:57:37+00:00,265.0,93.9,116.95,122.95,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
CRWD250425C00270000,2025-04-08 13:34:33+00:00,270.0,77.5,111.85,117.95,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
CRWD250425C00275000,2025-04-09 17:05:22+00:00,275.0,71.67,106.8,112.9,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
CRWD250425C00280000,2025-04-17 17:29:58+00:00,280.0,96.3,102.25,107.95,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
CRWD250425C00285000,2025-03-10 16:16:16+00:00,285.0,39.78,91.0,97.95,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
CRWD250425C00287500,2025-04-17 19:01:36+00:00,287.5,90.61,95.15,100.45,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
CRWD250425C00290000,2025-04-22 15:14:24+00:00,290.0,80.05,92.8,97.95,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
CRWD250425C00297500,2025-04-21 15:50:08+00:00,297.5,64.42,85.0,90.5,0.0,0.0,5.0,5,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
CRWD250425C00300000,2025-04-23 13:46:26+00:00,300.0,91.2,82.55,87.45,25.399994,38.601814,1.0,7,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
CRWD250425C00302500,2025-04-17 17:08:06+00:00,302.5,76.47,79.35,85.5,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
CRWD250425C00305000,2025-04-22 18:30:34+00:00,305.0,80.1,77.45,82.95,16.18,25.312891,1.0,3,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
CRWD250425C00307500,2025-04-11 15:45:09+00:00,307.5,65.27,74.2,80.5,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
CRWD250425C00310000,2025-04-22 14:07:53+00:00,310.0,75.13,72.15,77.9,19.899998,36.03114,1.0,22,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
CRWD250425C00312500,2025-04-11 18:14:47+00:00,312.5,67.35,69.35,75.5,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
CRWD250425C00315000,2025-04-22 14:07:53+00:00,315.0,50.35,67.35,73.0,0.0,0.0,2.0,8,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
CRWD250425C00317500,2025-04-07 17:29:21+00:00,317.5,28.25,65.25,70.45,0.0,0.0,,4,1.0000000000000003e-05,True,REGULAR,USD,CRWD,1,2025-04-25,2025-04-23 13:02:09.643412,388.76580810546875
