contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CSGP250516C00070000,2025-04-22 17:21:26+00:00,70.0,11.14,12.4,13.1,0.0,0.0,35.0,82,0.5839885351562499,True,REGULAR,USD,CSGP,1,2025-05-16,2025-04-23 13:02:05.799457,82.29000091552734
CSGP250516C00075000,2025-04-22 17:21:26+00:00,75.0,7.14,8.5,9.3,0.0,0.0,35.0,92,0.5363815893554689,True,REGULAR,USD,CSGP,1,2025-05-16,2025-04-23 13:02:05.799457,82.29000091552734
CSGP250516C00080000,2025-04-23 16:14:11+00:00,80.0,5.35,4.9,5.7,1.1999998,28.915659,23.0,2008,0.5378464184570313,True,REGULAR,USD,CSGP,1,2025-05-16,2025-04-23 13:02:05.799457,82.29000091552734
CSGP250516C00085000,2025-04-23 15:59:36+00:00,85.0,2.7,2.35,3.3,0.61000013,29.186611,49.0,1244,0.529423651123047,False,REGULAR,USD,CSGP,1,2025-05-16,2025-04-23 13:02:05.799457,82.29000091552734
CSGP250516C00090000,2025-04-23 14:38:44+00:00,90.0,1.55,0.95,1.5,0.79999995,106.66666,1.0,270,0.4885305053710938,False,REGULAR,USD,CSGP,1,2025-05-16,2025-04-23 13:02:05.799457,82.29000091552734
CSGP250516C00095000,2025-04-23 14:45:43+00:00,95.0,0.46,0.35,0.75,0.21000001,84.0,8.0,11,0.5007374145507812,False,REGULAR,USD,CSGP,1,2025-05-16,2025-04-23 13:02:05.799457,82.29000091552734
CSGP250516P00060000,2025-04-22 17:53:41+00:00,60.0,0.25,0.0,0.7,0.0,0.0,5.0,18,0.7841818457031251,False,REGULAR,USD,CSGP,0,2025-05-16,2025-04-23 13:02:05.800460,82.29000091552734
CSGP250516P00065000,2025-04-22 18:01:05+00:00,65.0,0.47,0.25,0.55,0.0,0.0,1.0,191,0.63867548828125,False,REGULAR,USD,CSGP,0,2025-05-16,2025-04-23 13:02:05.800460,82.29000091552734
CSGP250516P00070000,2025-04-23 15:59:36+00:00,70.0,0.77,0.55,1.0,-0.21000004,-21.428576,15.0,72,0.57617611328125,False,REGULAR,USD,CSGP,0,2025-05-16,2025-04-23 13:02:05.800460,82.29000091552734
CSGP250516P00075000,2025-04-23 15:13:03+00:00,75.0,1.5,1.1,2.1,-0.25,-14.285714,2.0,225,0.5349167602539062,False,REGULAR,USD,CSGP,0,2025-05-16,2025-04-23 13:02:05.800460,82.29000091552734
CSGP250516P00080000,2025-04-22 15:01:22+00:00,80.0,2.41,2.6,3.6,-1.3899999,-36.578945,2.0,339,0.561527822265625,False,REGULAR,USD,CSGP,0,2025-05-16,2025-04-23 13:02:05.800460,82.29000091552734
CSGP250516P00085000,2025-04-23 15:35:41+00:00,85.0,5.49,4.9,6.0,-1.5100002,-21.571432,551.0,3,0.5283250292968751,True,REGULAR,USD,CSGP,0,2025-05-16,2025-04-23 13:02:05.800460,82.29000091552734
CSGP250516P00090000,2025-04-08 18:35:59+00:00,90.0,15.9,8.1,9.9,0.0,0.0,,2,0.5856975024414062,True,REGULAR,USD,CSGP,0,2025-05-16,2025-04-23 13:02:05.800460,82.29000091552734
CSGP250620C00050000,2024-12-19 19:42:01+00:00,50.0,22.5,25.8,29.0,0.0,0.0,2.0,10,1.0000000000000003e-05,True,REGULAR,USD,CSGP,1,2025-06-20,2025-04-23 13:02:05.924015,82.29000091552734
CSGP250620C00055000,2025-02-19 15:21:17+00:00,55.0,24.2,22.9,26.4,0.0,0.0,6.0,12,1.0000000000000003e-05,True,REGULAR,USD,CSGP,1,2025-06-20,2025-04-23 13:02:05.924015,82.29000091552734
CSGP250620C00060000,2024-12-19 19:05:57+00:00,60.0,14.7,18.3,18.7,0.0,0.0,4.0,4,1.0000000000000003e-05,True,REGULAR,USD,CSGP,1,2025-06-20,2025-04-23 13:02:05.924015,82.29000091552734
CSGP250620C00065000,2025-04-04 18:21:15+00:00,65.0,12.0,17.7,19.8,0.0,0.0,1.0,2,0.5905802661132813,True,REGULAR,USD,CSGP,1,2025-06-20,2025-04-23 13:02:05.924015,82.29000091552734
CSGP250620C00070000,2025-04-23 16:26:40+00:00,70.0,13.8,13.9,14.2,1.5,12.195122,33.0,119,0.5107470800781251,True,REGULAR,USD,CSGP,1,2025-06-20,2025-04-23 13:02:05.924015,82.29000091552734
CSGP250620C00075000,2025-04-23 16:26:40+00:00,75.0,9.85,9.7,10.2,1.3500004,15.882357,42.0,1607,0.4643608251953125,True,REGULAR,USD,CSGP,1,2025-06-20,2025-04-23 13:02:05.924015,82.29000091552734
CSGP250620C00080000,2025-04-23 14:38:43+00:00,80.0,7.4,6.2,6.9,1.5,25.423729,11.0,3646,0.4370173486328125,True,REGULAR,USD,CSGP,1,2025-06-20,2025-04-23 13:02:05.924015,82.29000091552734
CSGP250620C00085000,2025-04-23 16:06:38+00:00,85.0,4.1,3.8,4.2,0.89999986,28.124994,32.0,6179,0.40650007568359375,False,REGULAR,USD,CSGP,1,2025-06-20,2025-04-23 13:02:05.924015,82.29000091552734
CSGP250620C00090000,2025-04-23 14:33:35+00:00,90.0,2.55,1.95,2.35,0.9599999,60.377354,139.0,4839,0.38733522827148437,False,REGULAR,USD,CSGP,1,2025-06-20,2025-04-23 13:02:05.924015,82.29000091552734
CSGP250620C00095000,2025-04-23 16:07:18+00:00,95.0,1.1,0.95,1.45,0.35000002,46.66667,20.0,338,0.40064075927734377,False,REGULAR,USD,CSGP,1,2025-06-20,2025-04-23 13:02:05.924015,82.29000091552734
CSGP250620C00100000,2025-04-22 18:48:43+00:00,100.0,0.3,0.35,0.6,0.0,0.0,2.0,226,0.370123486328125,False,REGULAR,USD,CSGP,1,2025-06-20,2025-04-23 13:02:05.924015,82.29000091552734
CSGP250620C00105000,2025-03-07 19:30:31+00:00,105.0,0.58,0.0,0.0,0.0,0.0,2.0,17,0.12500875,False,REGULAR,USD,CSGP,1,2025-06-20,2025-04-23 13:02:05.924015,82.29000091552734
CSGP250620C00110000,2025-03-10 13:53:30+00:00,110.0,0.5,0.0,0.9,0.0,0.0,1.0,6,0.5454147021484376,False,REGULAR,USD,CSGP,1,2025-06-20,2025-04-23 13:02:05.924015,82.29000091552734
CSGP250620P00040000,2025-02-28 14:30:07+00:00,40.0,0.25,0.0,0.0,0.0,0.0,3.0,198,0.500005,False,REGULAR,USD,CSGP,0,2025-06-20,2025-04-23 13:02:05.926021,82.29000091552734
CSGP250620P00045000,2025-04-15 13:30:14+00:00,45.0,0.35,0.0,0.5,0.0,0.0,13.0,452,0.813478427734375,False,REGULAR,USD,CSGP,0,2025-06-20,2025-04-23 13:02:05.926021,82.29000091552734
CSGP250620P00050000,2025-03-11 15:52:46+00:00,50.0,0.27,0.2,1.25,0.0,0.0,3.0,62,0.85742330078125,False,REGULAR,USD,CSGP,0,2025-06-20,2025-04-23 13:02:05.926021,82.29000091552734
CSGP250620P00055000,2025-02-21 20:57:17+00:00,55.0,0.47,0.0,0.0,0.0,0.0,1.0,37,0.2500075,False,REGULAR,USD,CSGP,0,2025-06-20,2025-04-23 13:02:05.926021,82.29000091552734
CSGP250620P00060000,2025-04-04 18:42:49+00:00,60.0,1.42,0.3,0.65,0.0,0.0,30.0,87,0.5351608984375,False,REGULAR,USD,CSGP,0,2025-06-20,2025-04-23 13:02:05.926021,82.29000091552734
CSGP250620P00065000,2025-04-23 15:23:19+00:00,65.0,0.7,0.6,0.9,-0.34999996,-33.333332,10.0,229,0.5053760400390624,False,REGULAR,USD,CSGP,0,2025-06-20,2025-04-23 13:02:05.926021,82.29000091552734
CSGP250620P00070000,2025-04-23 13:51:18+00:00,70.0,1.2,1.2,1.5,-1.05,-46.666664,25.0,3774,0.4633842724609375,False,REGULAR,USD,CSGP,0,2025-06-20,2025-04-23 13:02:05.926021,82.29000091552734
CSGP250620P00075000,2025-04-16 17:47:39+00:00,75.0,1.9,2.25,2.75,-1.3000001,-40.625,1.0,1188,0.44995667236328124,False,REGULAR,USD,CSGP,0,2025-06-20,2025-04-23 13:02:05.926021,82.29000091552734
CSGP250620P00080000,2025-04-23 13:50:30+00:00,80.0,3.68,3.7,4.4,-1.1200001,-23.333336,2.0,327,0.42078215942382813,False,REGULAR,USD,CSGP,0,2025-06-20,2025-04-23 13:02:05.926021,82.29000091552734
CSGP250620P00085000,2025-04-14 19:17:41+00:00,85.0,5.98,6.0,6.9,-1.7199998,-22.337662,1.0,235,0.4058897302246094,True,REGULAR,USD,CSGP,0,2025-06-20,2025-04-23 13:02:05.926021,82.29000091552734
CSGP250620P00090000,2025-04-03 15:26:03+00:00,90.0,13.3,9.4,10.1,0.0,0.0,1.0,72,0.39087523193359375,True,REGULAR,USD,CSGP,0,2025-06-20,2025-04-23 13:02:05.926021,82.29000091552734
CSGP250620P00095000,2024-12-16 05:08:30+00:00,95.0,19.0,17.4,20.9,0.0,0.0,1.0,1,0.8292253405761718,True,REGULAR,USD,CSGP,0,2025-06-20,2025-04-23 13:02:05.926021,82.29000091552734
CSGP250620P00100000,2025-04-22 16:41:35+00:00,100.0,19.65,16.6,19.0,0.0,0.0,1.0,1,0.46411668701171876,True,REGULAR,USD,CSGP,0,2025-06-20,2025-04-23 13:02:05.926021,82.29000091552734
MTTR250718C00001000,2025-02-19 14:56:49+00:00,1.0,4.31,0.0,0.0,0.0,0.0,100.0,50,1.0000000000000003e-05,True,REGULAR,USD,CSGP,1,2025-07-18,2025-04-23 13:02:06.022378,82.29000091552734
MTTR250718C00003000,2025-02-18 15:57:01+00:00,3.0,2.15,0.0,0.0,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,CSGP,1,2025-07-18,2025-04-23 13:02:06.022378,82.29000091552734
MTTR250718C00005000,2025-02-27 20:46:57+00:00,5.0,0.6,0.0,0.0,0.0,0.0,1.0,583,1.0000000000000003e-05,True,REGULAR,USD,CSGP,1,2025-07-18,2025-04-23 13:02:06.022378,82.29000091552734
MTTR250718C00005500,2025-02-19 16:21:38+00:00,5.5,0.5,0.0,0.0,0.0,0.0,91.0,579,1.0000000000000003e-05,True,REGULAR,USD,CSGP,1,2025-07-18,2025-04-23 13:02:06.022378,82.29000091552734
MTTR250718C00006000,2025-02-21 14:54:28+00:00,6.0,0.1,0.0,0.0,0.0,0.0,3.0,182,1.0000000000000003e-05,True,REGULAR,USD,CSGP,1,2025-07-18,2025-04-23 13:02:06.022378,82.29000091552734
MTTR250718C00008000,2025-02-19 16:21:02+00:00,8.0,0.15,0.0,0.0,0.0,0.0,10.0,39,1.0000000000000003e-05,True,REGULAR,USD,CSGP,1,2025-07-18,2025-04-23 13:02:06.022378,82.29000091552734
CSGP250718C00050000,2024-12-16 05:08:29+00:00,50.0,22.7,30.1,34.1,0.0,0.0,,2,0.9045419702148438,True,REGULAR,USD,CSGP,1,2025-07-18,2025-04-23 13:02:06.022378,82.29000091552734
