contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CSX250425C00025000,2025-04-17 16:09:50+00:00,25.0,2.77,2.55,2.65,0.0,0.0,27.0,35,1.0000000000000003e-05,True,REGULAR,USD,CSX,1,2025-04-25,2025-04-23 13:02:12.257546,27.670000076293945
CSX250425C00026000,2025-04-16 18:56:20+00:00,26.0,1.85,0.5,2.95,0.0,0.0,3.0,4,0.5195360546875,True,REGULAR,USD,CSX,1,2025-04-25,2025-04-23 13:02:12.257546,27.670000076293945
CSX250425C00026500,2025-04-22 16:08:00+00:00,26.5,1.39,1.05,1.2,0.0,0.0,1.0,1,0.335944140625,True,REGULAR,USD,CSX,1,2025-04-25,2025-04-23 13:02:12.257546,27.670000076293945
CSX250425C00027000,2025-04-23 15:34:10+00:00,27.0,0.78,0.6,0.7,-0.07000005,-8.2353,6.0,41,0.22266402343749997,True,REGULAR,USD,CSX,1,2025-04-25,2025-04-23 13:02:12.257546,27.670000076293945
CSX250425C00027500,2025-04-22 17:04:59+00:00,27.5,0.56,0.3,0.4,0.0,0.0,7.0,91,0.3086006640625,True,REGULAR,USD,CSX,1,2025-04-25,2025-04-23 13:02:12.257546,27.670000076293945
CSX250425C00028000,2025-04-23 16:29:50+00:00,28.0,0.2,0.1,0.2,0.0,0.0,18.0,127,0.33789724609375,False,REGULAR,USD,CSX,1,2025-04-25,2025-04-23 13:02:12.257546,27.670000076293945
CSX250425C00028500,2025-04-22 16:20:43+00:00,28.5,0.05,0.05,0.15,-0.09,-23.076921,6.0,101,0.4414118359375,False,REGULAR,USD,CSX,1,2025-04-25,2025-04-23 13:02:12.257546,27.670000076293945
CSX250425C00029000,2025-04-22 17:53:20+00:00,29.0,0.1,0.0,0.1,0.07,233.33333,1.0,166,0.500005,False,REGULAR,USD,CSX,1,2025-04-25,2025-04-23 13:02:12.257546,27.670000076293945
CSX250425C00029500,2025-04-16 19:47:49+00:00,29.5,0.1,0.0,0.1,0.0,0.0,32.0,53,0.507817421875,False,REGULAR,USD,CSX,1,2025-04-25,2025-04-23 13:02:12.257546,27.670000076293945
CSX250425C00030000,2025-04-17 14:21:26+00:00,30.0,0.05,0.0,0.2,0.0,0.0,11.0,117,0.726565234375,False,REGULAR,USD,CSX,1,2025-04-25,2025-04-23 13:02:12.257546,27.670000076293945
CSX250425C00031000,2025-04-17 14:07:11+00:00,31.0,0.08,0.0,0.4,0.0,0.0,2.0,99,1.125004375,False,REGULAR,USD,CSX,1,2025-04-25,2025-04-23 13:02:12.257546,27.670000076293945
CSX250425C00032000,2025-04-15 19:58:34+00:00,32.0,0.05,0.0,0.85,0.0,0.0,2.0,9,1.701173369140625,False,REGULAR,USD,CSX,1,2025-04-25,2025-04-23 13:02:12.257546,27.670000076293945
CSX250425C00033000,2025-03-31 16:43:36+00:00,33.0,0.05,0.0,0.85,0.0,0.0,5.0,13,1.9179691601562503,False,REGULAR,USD,CSX,1,2025-04-25,2025-04-23 13:02:12.257546,27.670000076293945
CSX250425C00034000,2025-03-19 14:44:27+00:00,34.0,0.1,0.0,1.1,0.0,0.0,1.0,44,2.3085979785156248,False,REGULAR,USD,CSX,1,2025-04-25,2025-04-23 13:02:12.257546,27.670000076293945
CSX250425C00035000,2025-03-28 17:51:47+00:00,35.0,0.1,0.0,1.05,0.0,0.0,2.0,4,2.468753828125,False,REGULAR,USD,CSX,1,2025-04-25,2025-04-23 13:02:12.257546,27.670000076293945
CSX250425P00019000,2025-04-15 13:30:01+00:00,19.0,0.05,0.0,0.4,0.0,0.0,,5,2.88281529296875,False,REGULAR,USD,CSX,0,2025-04-25,2025-04-23 13:02:12.258531,27.670000076293945
CSX250425P00020000,2025-04-16 14:00:48+00:00,20.0,0.05,0.0,0.2,0.0,0.0,5.0,6,2.1953170117187497,False,REGULAR,USD,CSX,0,2025-04-25,2025-04-23 13:02:12.258531,27.670000076293945
CSX250425P00021000,2025-04-04 13:30:02+00:00,21.0,0.05,0.0,0.05,0.0,0.0,1.0,1,1.5000025,False,REGULAR,USD,CSX,0,2025-04-25,2025-04-23 13:02:12.258531,27.670000076293945
CSX250425P00022000,2025-04-14 16:34:00+00:00,22.0,0.1,0.0,0.2,0.0,0.0,2.0,2,1.6484392578125,False,REGULAR,USD,CSX,0,2025-04-25,2025-04-23 13:02:12.258531,27.670000076293945
CSX250425P00024000,2025-04-16 19:54:06+00:00,24.0,0.16,0.0,0.05,0.0,0.0,3.0,5,0.8437515624999999,False,REGULAR,USD,CSX,0,2025-04-25,2025-04-23 13:02:12.258531,27.670000076293945
