contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CTSH250516C00065000,2025-04-22 16:40:05+00:00,65.0,8.09,6.9,7.1,2.23,38.054607,1.0,6,0.4331111376953125,True,REGULAR,USD,CTSH,1,2025-05-16,2025-04-23 13:01:52.379466,71.2300033569336
CTSH250516C00067500,2025-04-22 14:27:23+00:00,67.5,5.3,5.0,5.3,1.8000002,51.428577,1.0,299,0.43457596679687505,True,REGULAR,USD,CTSH,1,2025-05-16,2025-04-23 13:01:52.379466,71.2300033569336
CTSH250516C00070000,2025-04-23 15:34:22+00:00,70.0,3.8,3.4,3.6,1.2,46.15385,32.0,2009,0.40772076660156253,True,REGULAR,USD,CTSH,1,2025-05-16,2025-04-23 13:01:52.379466,71.2300033569336
CTSH250516C00072500,2025-04-23 16:02:02+00:00,72.5,2.15,2.0,2.15,0.7500001,53.57144,11.0,184,0.37256486816406253,False,REGULAR,USD,CTSH,1,2025-05-16,2025-04-23 13:01:52.379466,71.2300033569336
CTSH250516C00075000,2025-04-23 15:38:32+00:00,75.0,1.2,1.1,1.25,0.50000006,55.55557,12.0,278,0.36524072265625,False,REGULAR,USD,CTSH,1,2025-05-16,2025-04-23 13:01:52.379466,71.2300033569336
CTSH250516C00077500,2025-04-22 16:44:44+00:00,77.5,0.76,0.5,0.65,0.45999998,153.33331,1.0,816,0.3557193334960937,False,REGULAR,USD,CTSH,1,2025-05-16,2025-04-23 13:01:52.379466,71.2300033569336
CTSH250516C00080000,2025-04-23 15:22:46+00:00,80.0,0.2,0.2,0.3,0.1,100.0,250.0,130,0.3461979443359374,False,REGULAR,USD,CTSH,1,2025-05-16,2025-04-23 13:01:52.379466,71.2300033569336
CTSH250516C00082500,2025-04-15 16:55:11+00:00,82.5,0.15,0.0,0.25,0.0,0.0,36.0,154,0.393560751953125,False,REGULAR,USD,CTSH,1,2025-05-16,2025-04-23 13:01:52.379466,71.2300033569336
CTSH250516C00085000,2025-04-15 15:56:17+00:00,85.0,0.13,0.0,0.75,0.0,0.0,46.0,924,0.6015664843750002,False,REGULAR,USD,CTSH,1,2025-05-16,2025-04-23 13:01:52.379466,71.2300033569336
CTSH250516C00087500,2025-04-04 13:56:32+00:00,87.5,0.1,0.0,0.75,0.0,0.0,11.0,21,0.5561567822265626,False,REGULAR,USD,CTSH,1,2025-05-16,2025-04-23 13:01:52.379466,71.2300033569336
CTSH250516C00090000,2025-04-11 13:53:47+00:00,90.0,0.5,0.0,0.75,0.0,0.0,3.0,21,0.6118202880859377,False,REGULAR,USD,CTSH,1,2025-05-16,2025-04-23 13:01:52.379466,71.2300033569336
CTSH250516C00092500,2025-04-10 16:56:25+00:00,92.5,0.5,0.0,0.75,0.0,0.0,1.0,2,0.6650424121093752,False,REGULAR,USD,CTSH,1,2025-05-16,2025-04-23 13:01:52.379466,71.2300033569336
CTSH250516C00095000,2025-03-18 19:04:13+00:00,95.0,0.23,0.0,0.9,0.0,0.0,7.0,7,0.74414318359375,False,REGULAR,USD,CTSH,1,2025-05-16,2025-04-23 13:01:52.379466,71.2300033569336
CTSH250516P00055000,2025-04-22 13:30:07+00:00,55.0,0.91,0.0,0.25,0.0,0.0,2.0,24,0.5576216113281252,False,REGULAR,USD,CTSH,0,2025-05-16,2025-04-23 13:01:52.381472,71.2300033569336
CTSH250516P00060000,2025-04-22 14:45:57+00:00,60.0,0.48,0.0,0.35,0.0,0.0,4.0,138,0.4995167236328125,False,REGULAR,USD,CTSH,0,2025-05-16,2025-04-23 13:01:52.381472,71.2300033569336
CTSH250516P00062500,2025-04-15 14:04:37+00:00,62.5,0.65,0.4,0.55,0.0,0.0,,1,0.46533737792968755,False,REGULAR,USD,CTSH,0,2025-05-16,2025-04-23 13:01:52.381472,71.2300033569336
CTSH250516P00065000,2025-04-22 17:30:06+00:00,65.0,0.67,0.75,0.85,-0.62999994,-48.461533,10.0,1995,0.4292049267578125,False,REGULAR,USD,CTSH,0,2025-05-16,2025-04-23 13:01:52.381472,71.2300033569336
CTSH250516P00067500,2025-04-23 14:40:31+00:00,67.5,1.0,1.3,1.4,-1.05,-51.21951,26.0,121,0.40772076660156253,False,REGULAR,USD,CTSH,0,2025-05-16,2025-04-23 13:01:52.381472,71.2300033569336
CTSH250516P00070000,2025-04-23 16:11:33+00:00,70.0,2.14,2.15,2.3,-0.9599998,-30.967735,5.0,222,0.3979552392578125,False,REGULAR,USD,CTSH,0,2025-05-16,2025-04-23 13:01:52.381472,71.2300033569336
CTSH250516P00072500,2025-04-23 15:16:13+00:00,72.5,2.74,3.2,3.4,-1.8599999,-40.43478,5.0,231,0.3698793481445312,True,REGULAR,USD,CTSH,0,2025-05-16,2025-04-23 13:01:52.381472,71.2300033569336
