contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CTVA250516C00050000,2025-04-09 19:59:26+00:00,50.0,9.8,10.0,13.4,0.0,0.0,1.0,0,0.7075224560546876,True,REGULAR,USD,CTVA,1,2025-05-16,2025-04-23 13:02:05.373564,61.0099983215332
CTVA250516C00055000,2025-04-21 15:09:44+00:00,55.0,5.0,5.6,7.0,0.0,0.0,10.0,25,0.5258836474609375,True,REGULAR,USD,CTVA,1,2025-05-16,2025-04-23 13:02:05.373564,61.0099983215332
CTVA250516C00060000,2025-04-22 16:02:37+00:00,60.0,2.8,2.05,3.3,0.0,0.0,5.0,35,0.4470270141601562,True,REGULAR,USD,CTVA,1,2025-05-16,2025-04-23 13:02:05.373564,61.0099983215332
CTVA250516C00065000,2025-04-23 14:05:36+00:00,65.0,0.95,0.45,0.9,0.19999999,26.666664,10.0,2549,0.3698793481445312,False,REGULAR,USD,CTVA,1,2025-05-16,2025-04-23 13:02:05.373564,61.0099983215332
CTVA250516C00070000,2025-04-15 19:50:01+00:00,70.0,0.28,0.0,0.3,0.27,2700.0027,1.0,322,0.407232490234375,False,REGULAR,USD,CTVA,1,2025-05-16,2025-04-23 13:02:05.373564,61.0099983215332
CTVA250516C00075000,2025-04-09 18:02:43+00:00,75.0,0.07,0.0,0.25,0.0,0.0,1.0,24,0.526371923828125,False,REGULAR,USD,CTVA,1,2025-05-16,2025-04-23 13:02:05.373564,61.0099983215332
CTVA250516P00050000,2025-04-23 14:07:44+00:00,50.0,0.34,0.1,0.45,-0.7099999,-67.61904,1.0,5,0.5488326367187502,False,REGULAR,USD,CTVA,0,2025-05-16,2025-04-23 13:02:05.374568,61.0099983215332
CTVA250516P00055000,2025-04-21 19:46:25+00:00,55.0,1.08,0.4,0.85,0.0,0.0,37.0,109,0.4936574072265626,False,REGULAR,USD,CTVA,0,2025-05-16,2025-04-23 13:02:05.374568,61.0099983215332
CTVA250516P00060000,2025-04-23 15:00:36+00:00,60.0,1.7,1.5,2.45,-0.25,-12.820513,2.0,31,0.4731497998046875,False,REGULAR,USD,CTVA,0,2025-05-16,2025-04-23 13:02:05.374568,61.0099983215332
CTVA250516P00065000,2025-04-21 18:07:11+00:00,65.0,6.6,4.0,5.3,0.0,0.0,5.0,74,0.44653873779296877,True,REGULAR,USD,CTVA,0,2025-05-16,2025-04-23 13:02:05.374568,61.0099983215332
CTVA250620C00030000,2025-04-08 19:26:25+00:00,30.0,25.5,29.3,33.5,0.0,0.0,2.0,5,1.0791061669921875,True,REGULAR,USD,CTVA,1,2025-06-20,2025-04-23 13:02:05.449764,61.0099983215332
CTVA250620C00040000,2024-12-16 15:13:15+00:00,40.0,20.48,22.8,27.5,0.0,0.0,1.0,4,1.4985376635742185,True,REGULAR,USD,CTVA,1,2025-06-20,2025-04-23 13:02:05.449764,61.0099983215332
CTVA250620C00045000,2024-11-18 17:21:37+00:00,45.0,13.27,19.0,22.0,0.0,0.0,,2,1.2739294116210935,True,REGULAR,USD,CTVA,1,2025-06-20,2025-04-23 13:02:05.449764,61.0099983215332
CTVA250620C00050000,2025-04-09 18:01:40+00:00,50.0,10.1,11.1,13.2,0.0,0.0,5.0,7,0.5356491748046875,True,REGULAR,USD,CTVA,1,2025-06-20,2025-04-23 13:02:05.449764,61.0099983215332
CTVA250620C00055000,2025-04-09 16:21:57+00:00,55.0,8.0,6.8,7.4,3.6999998,86.0465,1.0,260,0.39087523193359375,True,REGULAR,USD,CTVA,1,2025-06-20,2025-04-23 13:02:05.449764,61.0099983215332
CTVA250620C00060000,2025-04-21 17:38:12+00:00,60.0,2.7,3.4,3.8,0.0,0.0,5.0,407,0.3371648315429688,True,REGULAR,USD,CTVA,1,2025-06-20,2025-04-23 13:02:05.449764,61.0099983215332
CTVA250620C00065000,2025-04-23 13:37:41+00:00,65.0,1.6,1.2,1.35,0.5,45.454544,9.0,2414,0.2893137475585937,False,REGULAR,USD,CTVA,1,2025-06-20,2025-04-23 13:02:05.449764,61.0099983215332
CTVA250620C00070000,2025-04-23 14:23:27+00:00,70.0,0.5,0.3,0.5,0.050000012,11.111114,3.0,1310,0.3002999658203125,False,REGULAR,USD,CTVA,1,2025-06-20,2025-04-23 13:02:05.449764,61.0099983215332
CTVA250620C00075000,2025-04-09 14:48:34+00:00,75.0,0.4,0.05,0.3,0.0,0.0,20.0,833,0.3501041552734374,False,REGULAR,USD,CTVA,1,2025-06-20,2025-04-23 13:02:05.449764,61.0099983215332
CTVA250620C00080000,2025-04-08 13:33:07+00:00,80.0,0.4,0.0,0.5,0.0,0.0,1.0,8,0.48291532714843755,False,REGULAR,USD,CTVA,1,2025-06-20,2025-04-23 13:02:05.449764,61.0099983215332
CTVA250620C00085000,2024-12-18 17:16:31+00:00,85.0,0.83,0.0,1.55,0.0,0.0,2.0,0,0.6225623681640625,False,REGULAR,USD,CTVA,1,2025-06-20,2025-04-23 13:02:05.449764,61.0099983215332
CTVA250620P00035000,2024-11-20 20:05:10+00:00,35.0,0.27,0.0,2.2,0.0,0.0,6.0,11,1.12891060546875,False,REGULAR,USD,CTVA,0,2025-06-20,2025-04-23 13:02:05.450767,61.0099983215332
CTVA250620P00040000,2025-01-22 18:52:59+00:00,40.0,0.5,0.0,1.25,0.0,0.0,1.0,12,0.7773459765625,False,REGULAR,USD,CTVA,0,2025-06-20,2025-04-23 13:02:05.450767,61.0099983215332
CTVA250620P00045000,2025-04-16 17:20:36+00:00,45.0,0.3,0.05,1.05,0.0,0.0,18.0,611,0.5805706005859376,False,REGULAR,USD,CTVA,0,2025-06-20,2025-04-23 13:02:05.450767,61.0099983215332
CTVA250620P00050000,2025-04-23 14:07:44+00:00,50.0,0.45,0.45,0.75,-1.6499999,-78.57143,1.0,928,0.4633842724609375,False,REGULAR,USD,CTVA,0,2025-06-20,2025-04-23 13:02:05.450767,61.0099983215332
CTVA250620P00055000,2025-04-22 17:45:01+00:00,55.0,1.5,1.0,1.35,0.0,0.0,18.0,3031,0.3857483300781249,False,REGULAR,USD,CTVA,0,2025-06-20,2025-04-23 13:02:05.450767,61.0099983215332
CTVA250620P00060000,2025-04-21 17:01:07+00:00,60.0,3.65,1.75,2.85,0.0,0.0,1.0,260,0.3435124243164062,False,REGULAR,USD,CTVA,0,2025-06-20,2025-04-23 13:02:05.450767,61.0099983215332
CTVA250620P00065000,2025-04-21 15:01:27+00:00,65.0,6.6,4.9,5.6,0.0,0.0,1.0,228,0.3189765368652343,True,REGULAR,USD,CTVA,0,2025-06-20,2025-04-23 13:02:05.450767,61.0099983215332
CTVA250620P00070000,2025-04-21 15:01:27+00:00,70.0,11.04,8.9,9.8,0.0,0.0,1.0,2,0.3518131225585937,True,REGULAR,USD,CTVA,0,2025-06-20,2025-04-23 13:02:05.450767,61.0099983215332
CTVA250620P00090000,2025-02-07 15:53:43+00:00,90.0,26.99,28.0,32.0,0.0,0.0,1.0,0,0.7458521508789062,True,REGULAR,USD,CTVA,0,2025-06-20,2025-04-23 13:02:05.450767,61.0099983215332
CTVA250919C00050000,2025-02-18 17:44:42+00:00,50.0,16.4,12.2,16.0,0.0,0.0,3.0,4,0.5192919165039063,True,REGULAR,USD,CTVA,1,2025-09-19,2025-04-23 13:02:05.524961,61.0099983215332
CTVA250919C00055000,2025-04-08 18:28:40+00:00,55.0,5.4,7.9,9.4,0.0,0.0,26.0,76,0.40015248291015626,True,REGULAR,USD,CTVA,1,2025-09-19,2025-04-23 13:02:05.524961,61.0099983215332
CTVA250919C00060000,2025-04-21 17:38:12+00:00,60.0,4.42,4.8,5.8,0.0,0.0,5.0,74,0.34180345703125,True,REGULAR,USD,CTVA,1,2025-09-19,2025-04-23 13:02:05.524961,61.0099983215332
CTVA250919C00065000,2025-04-23 15:05:59+00:00,65.0,3.3,2.9,4.0,0.39999986,13.7930975,16.0,359,0.35938140625,False,REGULAR,USD,CTVA,1,2025-09-19,2025-04-23 13:02:05.524961,61.0099983215332
CTVA250919C00070000,2025-04-23 14:22:03+00:00,70.0,1.75,0.9,2.35,0.35000002,25.000004,16.0,164,0.3452213916015625,False,REGULAR,USD,CTVA,1,2025-09-19,2025-04-23 13:02:05.524961,61.0099983215332
CTVA250919C00075000,2025-04-07 15:09:24+00:00,75.0,0.9,0.55,1.25,0.0,0.0,2.0,282,0.3305731005859375,False,REGULAR,USD,CTVA,1,2025-09-19,2025-04-23 13:02:05.524961,61.0099983215332
CTVA250919C00080000,2025-02-12 17:59:45+00:00,80.0,1.3,0.15,1.6,0.0,0.0,1.0,3,0.4255428540039063,False,REGULAR,USD,CTVA,1,2025-09-19,2025-04-23 13:02:05.524961,61.0099983215332
CTVA250919P00040000,2025-03-14 16:04:47+00:00,40.0,0.4,0.0,0.0,0.0,0.0,,1,0.12500875,False,REGULAR,USD,CTVA,0,2025-09-19,2025-04-23 13:02:05.525964,61.0099983215332
CTVA250919P00045000,2025-04-09 19:53:57+00:00,45.0,1.0,0.5,0.95,0.0,0.0,10.0,24,0.42627526855468756,False,REGULAR,USD,CTVA,0,2025-09-19,2025-04-23 13:02:05.525964,61.0099983215332
CTVA250919P00050000,2025-04-04 14:01:39+00:00,50.0,1.95,0.75,1.9,0.0,0.0,2.0,148,0.4128476684570312,False,REGULAR,USD,CTVA,0,2025-09-19,2025-04-23 13:02:05.525964,61.0099983215332
CTVA250919P00055000,2025-04-15 14:46:20+00:00,55.0,2.5,1.8,2.8,0.0,0.0,1.0,304,0.35632967895507806,False,REGULAR,USD,CTVA,0,2025-09-19,2025-04-23 13:02:05.525964,61.0099983215332
CTVA250919P00060000,2025-04-23 15:01:23+00:00,60.0,3.9,3.7,5.0,-0.2999997,-7.142851,19.0,347,0.3557193334960937,False,REGULAR,USD,CTVA,0,2025-09-19,2025-04-23 13:02:05.525964,61.0099983215332
CTVA250919P00065000,2025-04-22 19:09:18+00:00,65.0,6.9,5.9,7.3,0.0,0.0,2.0,44,0.3145820495605468,True,REGULAR,USD,CTVA,0,2025-09-19,2025-04-23 13:02:05.525964,61.0099983215332
CTVA251219C00035000,2025-04-07 14:58:05+00:00,35.0,22.98,24.7,29.0,0.0,0.0,,1,0.5185595019531251,True,REGULAR,USD,CTVA,1,2025-12-19,2025-04-23 13:02:05.581108,61.0099983215332
CTVA251219C00040000,2025-04-07 14:58:05+00:00,40.0,18.73,21.1,24.4,0.0,0.0,1.0,1,0.5222215747070311,True,REGULAR,USD,CTVA,1,2025-12-19,2025-04-23 13:02:05.581108,61.0099983215332
