contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CVS250425C00040000,2025-04-22 18:30:05+00:00,40.0,25.45,25.35,25.95,0.2800007,1.1124382,2.0,7,3.07031482421875,True,REGULAR,USD,CVS,1,2025-04-25,2025-04-23 13:02:14.439764,65.73999786376953
CVS250425C00045000,2025-04-21 19:31:43+00:00,45.0,19.95,20.6,21.0,0.0,0.0,2.0,0,1.9765626171875001,True,REGULAR,USD,CVS,1,2025-04-25,2025-04-23 13:02:14.439764,65.73999786376953
CVS250425C00050000,2025-04-22 14:03:39+00:00,50.0,15.23,15.6,17.0,0.0,0.0,2.0,2,2.3359416601562493,True,REGULAR,USD,CVS,1,2025-04-25,2025-04-23 13:02:14.439764,65.73999786376953
CVS250425C00053000,2025-04-21 18:46:55+00:00,53.0,12.05,12.7,13.1,0.0,0.0,6.0,0,1.44140904296875,True,REGULAR,USD,CVS,1,2025-04-25,2025-04-23 13:02:14.439764,65.73999786376953
CVS250425C00054000,2025-04-22 14:02:58+00:00,54.0,11.51,11.55,11.8,0.0,0.0,2.0,2,1.1171919140625,True,REGULAR,USD,CVS,1,2025-04-25,2025-04-23 13:02:14.439764,65.73999786376953
CVS250425C00056000,2025-04-22 14:03:10+00:00,56.0,10.2,9.6,9.9,1.3599997,15.384612,1.0,3,0.73437765625,True,REGULAR,USD,CVS,1,2025-04-25,2025-04-23 13:02:14.439764,65.73999786376953
CVS250425C00057000,2025-04-22 14:03:10+00:00,57.0,7.85,8.6,8.95,0.0,0.0,3.0,3,0.7812521875,True,REGULAR,USD,CVS,1,2025-04-25,2025-04-23 13:02:14.439764,65.73999786376953
CVS250425C00058000,2025-04-22 18:20:22+00:00,58.0,7.08,7.05,7.9,0.0,0.0,9.0,9,0.9335944140625,True,REGULAR,USD,CVS,1,2025-04-25,2025-04-23 13:02:14.439764,65.73999786376953
CVS250425C00059000,2025-04-22 15:13:30+00:00,59.0,6.58,6.2,6.8,0.0,0.0,12.0,12,0.6757844921875001,True,REGULAR,USD,CVS,1,2025-04-25,2025-04-23 13:02:14.439764,65.73999786376953
CVS250425C00060000,2025-04-22 19:02:54+00:00,60.0,5.85,5.55,6.3,0.3499999,6.363635,4.0,26,0.7578149218750001,True,REGULAR,USD,CVS,1,2025-04-25,2025-04-23 13:02:14.439764,65.73999786376953
CVS250425C00061000,2025-04-22 15:16:42+00:00,61.0,4.85,4.3,4.85,0.059999943,1.2526084,1.0,19,0.5722699023437501,True,REGULAR,USD,CVS,1,2025-04-25,2025-04-23 13:02:14.439764,65.73999786376953
CVS250425C00062000,2025-04-22 16:24:53+00:00,62.0,3.78,2.62,5.1,0.0,0.0,13.0,13,1.2334022705078125,True,REGULAR,USD,CVS,1,2025-04-25,2025-04-23 13:02:14.439764,65.73999786376953
CVS250425C00063000,2025-04-23 14:39:51+00:00,63.0,3.32,2.78,2.97,0.70000005,26.717562,1.0,117,0.47070841796875,True,REGULAR,USD,CVS,1,2025-04-25,2025-04-23 13:02:14.439764,65.73999786376953
CVS250425C00064000,2025-04-22 16:37:03+00:00,64.0,2.26,1.93,2.08,0.28999996,14.72081,1.0,90,0.414068359375,True,REGULAR,USD,CVS,1,2025-04-25,2025-04-23 13:02:14.439764,65.73999786376953
CVS250425C00065000,2025-04-23 16:03:46+00:00,65.0,1.2,1.13,1.31,-0.00999999,-0.82644546,144.0,406,0.37695935546875,True,REGULAR,USD,CVS,1,2025-04-25,2025-04-23 13:02:14.439764,65.73999786376953
CVS250425C00066000,2025-04-23 15:29:52+00:00,66.0,0.5,0.63,0.82,-0.17000002,-25.373137,197.0,1036,0.39649041015625003,False,REGULAR,USD,CVS,1,2025-04-25,2025-04-23 13:02:14.439764,65.73999786376953
