contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CVX250425C00075000,2025-04-17 13:58:52+00:00,75.0,63.28,58.75,62.3,0.0,0.0,26.0,9,4.350590499267577,True,REGULAR,USD,CVX,1,2025-04-25,2025-04-23 13:01:35.619627,136.17999267578125
CVX250425C00080000,2025-04-17 13:58:52+00:00,80.0,58.3,53.75,57.3,0.0,0.0,26.0,5,3.951171997070312,True,REGULAR,USD,CVX,1,2025-04-25,2025-04-23 13:01:35.619627,136.17999267578125
CVX250425C00085000,2025-04-16 18:50:22+00:00,85.0,51.2,48.75,52.35,0.0,0.0,,4,3.6093759765625,True,REGULAR,USD,CVX,1,2025-04-25,2025-04-23 13:01:35.619627,136.17999267578125
CVX250425C00095000,2025-04-16 15:02:35+00:00,95.0,41.29,39.45,42.1,-0.5099983,-1.2200917,3.0,7,2.7382844042968753,True,REGULAR,USD,CVX,1,2025-04-25,2025-04-23 13:01:35.619627,136.17999267578125
CVX250425C00096000,2025-04-16 18:51:31+00:00,96.0,39.74,38.45,41.1,0.0,0.0,,16,2.673831440429688,True,REGULAR,USD,CVX,1,2025-04-25,2025-04-23 13:01:35.619627,136.17999267578125
CVX250425C00097000,2025-04-16 18:51:31+00:00,97.0,38.77,36.75,40.3,0.0,0.0,,16,2.7382844042968753,True,REGULAR,USD,CVX,1,2025-04-25,2025-04-23 13:01:35.619627,136.17999267578125
CVX250425C00099000,2025-04-17 14:01:20+00:00,99.0,39.92,34.75,38.1,0.0,0.0,16.0,8,2.4824256689453126,True,REGULAR,USD,CVX,1,2025-04-25,2025-04-23 13:01:35.619627,136.17999267578125
CVX250425C00100000,2025-04-22 17:31:04+00:00,100.0,37.09,34.55,36.6,0.0,0.0,2.0,103,2.037114282226563,True,REGULAR,USD,CVX,1,2025-04-25,2025-04-23 13:01:35.619627,136.17999267578125
CVX250425C00101000,2025-04-16 18:52:51+00:00,101.0,35.21,32.45,36.35,0.0,0.0,,8,2.506839670410156,True,REGULAR,USD,CVX,1,2025-04-25,2025-04-23 13:01:35.619627,136.17999267578125
CVX250425C00102000,2025-04-16 18:52:51+00:00,102.0,34.24,31.55,35.35,0.0,0.0,,8,2.442386706542969,True,REGULAR,USD,CVX,1,2025-04-25,2025-04-23 13:01:35.619627,136.17999267578125
CVX250425C00104000,2025-04-17 14:02:42+00:00,104.0,34.68,30.35,33.2,0.0,0.0,16.0,8,2.232426293945312,True,REGULAR,USD,CVX,1,2025-04-25,2025-04-23 13:01:35.619627,136.17999267578125
CVX250425C00105000,2025-04-17 14:02:42+00:00,105.0,33.7,28.95,32.05,0.0,0.0,16.0,8,2.0839891650390623,True,REGULAR,USD,CVX,1,2025-04-25,2025-04-23 13:01:35.619627,136.17999267578125
CVX250425C00107000,2025-04-14 15:16:21+00:00,107.0,29.0,26.8,30.3,0.0,0.0,,1,2.100590686035156,True,REGULAR,USD,CVX,1,2025-04-25,2025-04-23 13:01:35.619627,136.17999267578125
CVX250425C00114000,2025-04-17 13:34:35+00:00,114.0,24.4,20.9,21.65,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,CVX,1,2025-04-25,2025-04-23 13:01:35.619627,136.17999267578125
CVX250425C00116000,2025-04-17 16:43:21+00:00,116.0,23.6,19.45,20.65,0.0,0.0,2.0,2,1.228519482421875,True,REGULAR,USD,CVX,1,2025-04-25,2025-04-23 13:01:35.619627,136.17999267578125
CVX250425C00117000,2025-04-17 16:43:21+00:00,117.0,22.65,18.3,19.5,0.0,0.0,1.0,1,1.0781296093750001,True,REGULAR,USD,CVX,1,2025-04-25,2025-04-23 13:01:35.619627,136.17999267578125
CVX250425C00118000,2025-04-17 16:43:21+00:00,118.0,21.65,16.95,18.65,0.0,0.0,1.0,1,1.1259809326171877,True,REGULAR,USD,CVX,1,2025-04-25,2025-04-23 13:01:35.619627,136.17999267578125
