contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
C250425C00042000,2025-04-15 18:27:34+00:00,42.0,23.3,24.45,25.95,0.0,0.0,,1,2.847659130859375,True,REGULAR,USD,C,1,2025-04-25,2025-04-23 13:01:46.508980,67.01000213623047
C250425C00042500,2025-04-17 16:07:00+00:00,42.5,20.59,24.15,25.45,0.0,0.0,8.0,8,3.0195337011718753,True,REGULAR,USD,C,1,2025-04-25,2025-04-23 13:01:46.508980,67.01000213623047
C250425C00043000,2025-04-16 19:07:35+00:00,43.0,18.55,23.4,24.95,0.0,0.0,1.0,2,2.6562533593750004,True,REGULAR,USD,C,1,2025-04-25,2025-04-23 13:01:46.508980,67.01000213623047
C250425C00043500,2025-04-17 18:52:10+00:00,43.5,20.04,23.25,24.55,0.0,0.0,2.0,2,3.0742210644531247,True,REGULAR,USD,C,1,2025-04-25,2025-04-23 13:01:46.508980,67.01000213623047
C250425C00044000,2025-04-21 14:13:29+00:00,44.0,18.54,22.65,23.95,0.0,0.0,1.0,2,2.824221689453125,True,REGULAR,USD,C,1,2025-04-25,2025-04-23 13:01:46.508980,67.01000213623047
C250425C00044500,2025-04-16 17:47:22+00:00,44.5,17.56,21.9,23.45,0.0,0.0,1.0,2,2.47656630859375,True,REGULAR,USD,C,1,2025-04-25,2025-04-23 13:01:46.508980,67.01000213623047
C250425C00045000,2025-04-21 14:13:29+00:00,45.0,17.61,21.35,22.95,0.0,0.0,1.0,113,2.3515666210937494,True,REGULAR,USD,C,1,2025-04-25,2025-04-23 13:01:46.508980,67.01000213623047
C250425C00045500,2025-04-15 18:27:34+00:00,45.5,19.8,20.9,22.45,0.0,0.0,,1,2.3632853417968747,True,REGULAR,USD,C,1,2025-04-25,2025-04-23 13:01:46.508980,67.01000213623047
C250425C00046500,2025-04-17 19:27:57+00:00,46.5,16.93,19.95,21.45,0.0,0.0,1.0,3,2.3085979785156248,True,REGULAR,USD,C,1,2025-04-25,2025-04-23 13:01:46.508980,67.01000213623047
C250425C00048000,2025-04-22 18:50:18+00:00,48.0,16.68,18.6,19.95,0.0,0.0,1.0,6,2.285160537109375,True,REGULAR,USD,C,1,2025-04-25,2025-04-23 13:01:46.508980,67.01000213623047
C250425C00049000,2025-04-21 13:34:51+00:00,49.0,14.05,17.65,18.95,0.0,0.0,1.0,12,2.208988852539062,True,REGULAR,USD,C,1,2025-04-25,2025-04-23 13:01:46.508980,67.01000213623047
C250425C00050000,2025-04-23 15:07:51+00:00,50.0,18.0,16.7,17.95,3.3999996,23.287668,2.0,28,2.1308640478515626,True,REGULAR,USD,C,1,2025-04-25,2025-04-23 13:01:46.508980,67.01000213623047
C250425C00051000,2025-04-22 13:50:23+00:00,51.0,16.62,15.5,16.95,3.4000006,25.718613,1.0,16,1.85546947265625,True,REGULAR,USD,C,1,2025-04-25,2025-04-23 13:01:46.508980,67.01000213623047
C250425C00052000,2025-04-22 16:39:06+00:00,52.0,12.63,14.45,16.0,0.0,0.0,7.0,92,1.74609501953125,True,REGULAR,USD,C,1,2025-04-25,2025-04-23 13:01:46.508980,67.01000213623047
C250425C00053000,2025-04-22 16:39:06+00:00,53.0,11.7,13.65,13.95,0.0,0.0,1.0,28,1.0000000000000003e-05,True,REGULAR,USD,C,1,2025-04-25,2025-04-23 13:01:46.508980,67.01000213623047
