contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
DAL250425C00020000,2025-04-16 16:41:33+00:00,20.0,23.15,21.15,21.45,1.8999996,8.941175,1.0,5,1.0000000000000003e-05,True,REGULAR,USD,DAL,1,2025-04-25,2025-04-23 13:02:23.126375,41.88999938964844
DAL250425C00024000,2025-04-22 16:37:15+00:00,24.0,17.98,17.1,17.65,1.8400002,11.4002495,1.0,4,1.0000000000000003e-05,True,REGULAR,USD,DAL,1,2025-04-25,2025-04-23 13:02:23.126375,41.88999938964844
DAL250425C00025000,2025-04-22 16:37:17+00:00,25.0,17.95,16.25,16.6,2.6500006,17.320265,2.0,4,1.0000000000000003e-05,True,REGULAR,USD,DAL,1,2025-04-25,2025-04-23 13:02:23.126375,41.88999938964844
DAL250425C00027000,2025-04-22 16:30:01+00:00,27.0,16.6,14.2,14.65,3.2000008,23.880602,1.0,9,1.0000000000000003e-05,True,REGULAR,USD,DAL,1,2025-04-25,2025-04-23 13:02:23.126375,41.88999938964844
DAL250425C00028500,2025-04-17 18:50:20+00:00,28.5,12.3,12.65,12.95,0.0,0.0,10.0,10,1.0000000000000003e-05,True,REGULAR,USD,DAL,1,2025-04-25,2025-04-23 13:02:23.126375,41.88999938964844
DAL250425C00029000,2025-04-22 19:26:11+00:00,29.0,11.4,12.25,12.55,0.0,0.0,2.0,11,1.0000000000000003e-05,True,REGULAR,USD,DAL,1,2025-04-25,2025-04-23 13:02:23.126375,41.88999938964844
DAL250425C00029500,2025-04-16 16:21:44+00:00,29.5,11.9,11.6,11.95,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,DAL,1,2025-04-25,2025-04-23 13:02:23.126375,41.88999938964844
DAL250425C00030000,2025-04-21 14:32:10+00:00,30.0,9.05,11.3,11.65,0.0,0.0,15.0,15,1.0000000000000003e-05,True,REGULAR,USD,DAL,1,2025-04-25,2025-04-23 13:02:23.126375,41.88999938964844
DAL250425C00030500,2025-04-16 17:00:02+00:00,30.5,11.6,10.85,11.05,1.0,9.433962,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,DAL,1,2025-04-25,2025-04-23 13:02:23.126375,41.88999938964844
DAL250425C00031000,2025-04-22 16:09:21+00:00,31.0,9.25,10.25,10.75,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD,DAL,1,2025-04-25,2025-04-23 13:02:23.126375,41.88999938964844
DAL250425C00032000,2025-04-21 18:45:59+00:00,32.0,10.36,9.2,9.4,3.0099998,40.952377,2.0,5,1.0000000000000003e-05,True,REGULAR,USD,DAL,1,2025-04-25,2025-04-23 13:02:23.126375,41.88999938964844
DAL250425C00032500,2025-04-14 15:38:42+00:00,32.5,7.75,8.7,8.95,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,DAL,1,2025-04-25,2025-04-23 13:02:23.126375,41.88999938964844
DAL250425C00033000,2025-04-11 16:35:22+00:00,33.0,7.1,8.4,8.55,0.0,0.0,9.0,15,1.0000000000000003e-05,True,REGULAR,USD,DAL,1,2025-04-25,2025-04-23 13:02:23.126375,41.88999938964844
DAL250425C00033500,2025-04-10 19:26:00+00:00,33.5,7.05,7.7,7.95,0.0,0.0,,14,1.0000000000000003e-05,True,REGULAR,USD,DAL,1,2025-04-25,2025-04-23 13:02:23.126375,41.88999938964844
DAL250425C00034000,2025-04-14 17:13:25+00:00,34.0,6.42,7.35,7.65,0.0,0.0,1.0,5,1.0000000000000003e-05,True,REGULAR,USD,DAL,1,2025-04-25,2025-04-23 13:02:23.126375,41.88999938964844
DAL250425C00034500,2025-04-10 19:11:24+00:00,34.5,7.9,6.35,7.2,1.5999999,25.396822,3.0,2,1.0000000000000003e-05,True,REGULAR,USD,DAL,1,2025-04-25,2025-04-23 13:02:23.126375,41.88999938964844
DAL250425C00035000,2025-04-22 14:56:27+00:00,35.0,4.6,6.1,7.4,0.0,0.0,1.0,30,1.9062504687500001,True,REGULAR,USD,DAL,1,2025-04-25,2025-04-23 13:02:23.126375,41.88999938964844
DAL250425C00035500,2025-04-21 18:45:24+00:00,35.5,3.9,5.65,7.1,0.0,0.0,1.0,2,2.0273486816406248,True,REGULAR,USD,DAL,1,2025-04-25,2025-04-23 13:02:23.126375,41.88999938964844
DAL250425C00036000,2025-04-23 13:30:01+00:00,36.0,6.2,5.1,5.6,2.9499998,90.76922,2.0,21,1.0000000000000003e-05,True,REGULAR,USD,DAL,1,2025-04-25,2025-04-23 13:02:23.126375,41.88999938964844
DAL250425C00036500,2025-04-22 15:35:06+00:00,36.5,7.0,4.35,6.5,3.5,100.0,1.0,27,0.8125018749999999,True,REGULAR,USD,DAL,1,2025-04-25,2025-04-23 13:02:23.126375,41.88999938964844
DAL250425C00037000,2025-04-23 15:23:06+00:00,37.0,5.0,4.45,4.6,1.8499999,58.730152,1.0,45,1.0000000000000003e-05,True,REGULAR,USD,DAL,1,2025-04-25,2025-04-23 13:02:23.126375,41.88999938964844
