contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
DASH250425C00100000,2025-04-14 19:25:16+00:00,100.0,82.47,81.7,84.45,0.0,0.0,4.0,7,3.55468861328125,True,REGULAR,USD,DASH,1,2025-04-25,2025-04-23 13:02:35.299551,183.9600067138672
DASH250425C00110000,2025-04-14 19:38:16+00:00,110.0,72.53,71.35,74.45,0.0,0.0,6.0,6,3.06250234375,True,REGULAR,USD,DASH,1,2025-04-25,2025-04-23 13:02:35.299551,183.9600067138672
DASH250425C00125000,2025-03-20 15:22:28+00:00,125.0,69.7,54.65,58.15,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD,DASH,1,2025-04-25,2025-04-23 13:02:35.299551,183.9600067138672
DASH250425C00140000,2025-04-07 16:35:31+00:00,140.0,29.85,41.7,44.2,0.0,0.0,,3,1.5703146484375,True,REGULAR,USD,DASH,1,2025-04-25,2025-04-23 13:02:35.299551,183.9600067138672
DASH250425C00141000,2025-04-16 19:20:15+00:00,141.0,36.41,40.65,43.5,0.0,0.0,,1,1.78125109375,True,REGULAR,USD,DASH,1,2025-04-25,2025-04-23 13:02:35.299551,183.9600067138672
DASH250425C00145000,2025-04-07 15:14:34+00:00,145.0,23.55,36.85,39.5,0.0,0.0,,1,1.6259784326171873,True,REGULAR,USD,DASH,1,2025-04-25,2025-04-23 13:02:35.299551,183.9600067138672
DASH250425C00150000,2025-04-02 14:04:31+00:00,150.0,40.2,31.85,34.45,0.0,0.0,1.0,3,1.40625296875,True,REGULAR,USD,DASH,1,2025-04-25,2025-04-23 13:02:35.299551,183.9600067138672
DASH250425C00155000,2025-04-02 16:08:22+00:00,155.0,35.8,26.5,29.1,0.0,0.0,,4,0.9648441015625,True,REGULAR,USD,DASH,1,2025-04-25,2025-04-23 13:02:35.299551,183.9600067138672
DASH250425C00157500,2025-04-22 14:00:38+00:00,157.5,20.35,23.85,26.6,0.0,0.0,2.0,2,0.8867198828124999,True,REGULAR,USD,DASH,1,2025-04-25,2025-04-23 13:02:35.299551,183.9600067138672
DASH250425C00160000,2025-04-21 16:51:54+00:00,160.0,13.84,21.85,24.7,0.0,0.0,100.0,100,1.1464886425781249,True,REGULAR,USD,DASH,1,2025-04-25,2025-04-23 13:02:35.299551,183.9600067138672
DASH250425C00162500,2025-04-08 15:58:13+00:00,162.5,15.4,18.8,22.15,0.0,0.0,,2,1.0293017285156252,True,REGULAR,USD,DASH,1,2025-04-25,2025-04-23 13:02:35.299551,183.9600067138672
DASH250425C00165000,2025-04-21 17:57:18+00:00,165.0,7.46,16.4,19.65,0.0,0.0,8.0,13,0.9326178613281251,True,REGULAR,USD,DASH,1,2025-04-25,2025-04-23 13:02:35.299551,183.9600067138672
DASH250425C00167500,2025-04-22 18:26:26+00:00,167.5,11.0,14.15,17.25,0.0,0.0,15.0,47,0.868165380859375,True,REGULAR,USD,DASH,1,2025-04-25,2025-04-23 13:02:35.299551,183.9600067138672
