contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
DD250425C00056000,2025-04-16 18:00:06+00:00,56.0,3.9,7.0,9.2,0.0,0.0,,0,1.0253954980468751,True,REGULAR,USD,DD,1,2025-04-25,2025-04-23 13:02:41.742074,63.904998779296875
DD250425C00056500,2025-04-11 17:38:18+00:00,56.5,3.5,6.6,8.4,0.0,0.0,,6,0.8281267187499999,True,REGULAR,USD,DD,1,2025-04-25,2025-04-23 13:02:41.742074,63.904998779296875
DD250425C00057000,2025-04-16 19:53:13+00:00,57.0,7.78,6.1,7.7,4.36,127.485374,1.0,3,1.4189482177734376,True,REGULAR,USD,DD,1,2025-04-25,2025-04-23 13:02:41.742074,63.904998779296875
DD250425C00058000,2025-04-22 16:08:49+00:00,58.0,6.1,5.3,5.7,1.9000001,45.238102,2.0,3,1.0000000000000003e-05,True,REGULAR,USD,DD,1,2025-04-25,2025-04-23 13:02:41.742074,63.904998779296875
DD250425C00060000,2025-04-23 15:00:35+00:00,60.0,4.16,2.8,4.0,1.9599998,89.0909,16.0,828,0.48828636718750007,True,REGULAR,USD,DD,1,2025-04-25,2025-04-23 13:02:41.742074,63.904998779296875
DD250425C00061000,2025-04-22 18:54:23+00:00,61.0,4.3,2.45,3.2,2.8000002,186.66669,5.0,70,0.5507857421875001,True,REGULAR,USD,DD,1,2025-04-25,2025-04-23 13:02:41.742074,63.904998779296875
DD250425C00062000,2025-04-23 15:28:35+00:00,62.0,2.38,1.4,2.35,1.2400001,108.77194,29.0,174,0.507817421875,True,REGULAR,USD,DD,1,2025-04-25,2025-04-23 13:02:41.742074,63.904998779296875
DD250425C00063000,2025-04-23 15:23:54+00:00,63.0,2.07,0.75,1.7,1.5699999,314.0,10.0,2085,0.5200243310546875,True,REGULAR,USD,DD,1,2025-04-25,2025-04-23 13:02:41.742074,63.904998779296875
DD250425C00064000,2025-04-23 15:21:00+00:00,64.0,2.7,0.25,1.05,2.44,217.85715,2.0,161,0.47461462890625,False,REGULAR,USD,DD,1,2025-04-25,2025-04-23 13:02:41.742074,63.904998779296875
DD250425C00065000,2025-04-23 16:27:14+00:00,65.0,0.35,0.25,0.7,0.21,150.0,5552.0,7369,0.5004932763671875,False,REGULAR,USD,DD,1,2025-04-25,2025-04-23 13:02:41.742074,63.904998779296875
DD250425C00066000,2025-04-23 15:23:09+00:00,66.0,0.45,0.0,0.6,0.35,350.00003,4.0,20,0.5986368261718751,False,REGULAR,USD,DD,1,2025-04-25,2025-04-23 13:02:41.742074,63.904998779296875
DD250425C00067000,2025-04-23 14:44:27+00:00,67.0,0.28,0.0,0.65,0.13,86.666664,4.0,7,0.5664105859375,False,REGULAR,USD,DD,1,2025-04-25,2025-04-23 13:02:41.742074,63.904998779296875
DD250425C00074000,2025-04-07 15:33:37+00:00,74.0,0.39,0.0,1.35,0.0,0.0,1.0,1,1.5048852880859376,False,REGULAR,USD,DD,1,2025-04-25,2025-04-23 13:02:41.742074,63.904998779296875
DD250425C00075000,2025-04-04 19:38:55+00:00,75.0,0.1,0.0,1.3,0.0,0.0,3.0,15,1.5761739941406248,False,REGULAR,USD,DD,1,2025-04-25,2025-04-23 13:02:41.742074,63.904998779296875
DD250425C00076000,2025-03-21 15:18:44+00:00,76.0,1.67,0.0,0.0,0.0,0.0,4.0,0,0.500005,False,REGULAR,USD,DD,1,2025-04-25,2025-04-23 13:02:41.742074,63.904998779296875
DD250425C00077000,2025-04-07 19:22:37+00:00,77.0,0.1,0.0,1.3,0.0,0.0,12.0,13,1.74609501953125,False,REGULAR,USD,DD,1,2025-04-25,2025-04-23 13:02:41.742074,63.904998779296875
DD250425C00078000,2025-03-27 19:02:24+00:00,78.0,1.0,0.0,1.5,0.0,0.0,2.0,7,1.9062504687500001,False,REGULAR,USD,DD,1,2025-04-25,2025-04-23 13:02:41.742074,63.904998779296875
DD250425C00079000,2025-03-27 17:48:01+00:00,79.0,0.61,0.0,0.7,0.0,0.0,2.0,181,1.623048759765625,False,REGULAR,USD,DD,1,2025-04-25,2025-04-23 13:02:41.742074,63.904998779296875
DD250425C00080000,2025-04-14 16:29:32+00:00,80.0,0.1,0.0,1.3,0.0,0.0,2.0,11,1.984375078125,False,REGULAR,USD,DD,1,2025-04-25,2025-04-23 13:02:41.742074,63.904998779296875
