contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
DECK250425C00060000,2025-04-09 19:01:07+00:00,60.0,53.01,45.8,51.4,0.0,0.0,1.0,1,4.496098129882812,True,REGULAR,USD,DECK,1,2025-04-25,2025-04-23 13:02:19.144265,107.49500274658203
DECK250425C00070000,2025-03-13 17:14:35+00:00,70.0,46.0,35.2,43.3,0.0,0.0,,0,3.9648438378906246,True,REGULAR,USD,DECK,1,2025-04-25,2025-04-23 13:02:19.144265,107.49500274658203
DECK250425C00090000,2025-04-14 18:44:40+00:00,90.0,18.45,16.9,21.4,0.0,0.0,,1,2.0517626831054683,True,REGULAR,USD,DECK,1,2025-04-25,2025-04-23 13:02:19.144265,107.49500274658203
DECK250425C00093000,2025-04-17 13:44:43+00:00,93.0,11.4,13.6,18.4,0.0,0.0,1.0,1,1.7294935400390625,True,REGULAR,USD,DECK,1,2025-04-25,2025-04-23 13:02:19.144265,107.49500274658203
DECK250425C00095000,2025-04-22 15:08:21+00:00,95.0,13.65,11.8,16.4,3.0499992,21.107262,5.0,32,1.6005879345703122,True,REGULAR,USD,DECK,1,2025-04-25,2025-04-23 13:02:19.144265,107.49500274658203
DECK250425C00097000,2025-04-04 14:34:34+00:00,97.0,6.7,10.1,14.4,0.0,0.0,2.0,2,1.4829127416992187,True,REGULAR,USD,DECK,1,2025-04-25,2025-04-23 13:02:19.144265,107.49500274658203
DECK250425C00098000,2025-04-04 14:34:34+00:00,98.0,6.2,7.5,13.4,0.0,0.0,1.0,1,1.0908248583984377,True,REGULAR,USD,DECK,1,2025-04-25,2025-04-23 13:02:19.144265,107.49500274658203
DECK250425C00099000,2025-04-17 19:21:42+00:00,99.0,7.2,8.1,10.9,0.0,0.0,1.0,14,1.0322314013671878,True,REGULAR,USD,DECK,1,2025-04-25,2025-04-23 13:02:19.144265,107.49500274658203
DECK250425C00100000,2025-04-23 15:38:53+00:00,100.0,8.15,7.2,8.0,2.0499997,33.606552,10.0,78,0.743166630859375,True,REGULAR,USD,DECK,1,2025-04-25,2025-04-23 13:02:19.144265,107.49500274658203
DECK250425C00101000,2025-04-22 14:37:36+00:00,101.0,5.45,6.1,9.3,0.0,0.0,15.0,26,0.9409185595703125,True,REGULAR,USD,DECK,1,2025-04-25,2025-04-23 13:02:19.144265,107.49500274658203
