contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
DELL250425C00040000,2025-04-22 18:27:20+00:00,40.0,50.6,48.85,50.1,6.199997,13.963957,1.0,3,1.0000000000000003e-05,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00055000,2025-04-21 18:47:16+00:00,55.0,26.45,33.55,35.1,0.0,0.0,35.0,0,1.0000000000000003e-05,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00057000,2025-04-22 17:40:28+00:00,57.0,26.92,31.6,32.95,0.0,0.0,7.0,0,1.0000000000000003e-05,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00060000,2025-04-21 18:47:16+00:00,60.0,21.65,28.75,30.3,0.0,0.0,50.0,15,2.3437541406249993,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00065000,2025-04-21 18:47:16+00:00,65.0,16.7,23.85,25.05,0.0,0.0,50.0,0,1.0000000000000003e-05,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00066000,2025-04-11 19:45:47+00:00,66.0,16.46,23.35,23.95,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00067000,2025-04-21 18:47:16+00:00,67.0,23.5,22.25,23.1,8.9,60.958897,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00068000,2025-04-21 18:47:16+00:00,68.0,13.6,21.25,22.1,0.0,0.0,85.0,0,1.0000000000000003e-05,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00068500,2025-04-21 18:47:16+00:00,68.5,13.05,20.45,21.25,0.0,0.0,330.0,0,1.0000000000000003e-05,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00069000,2025-04-10 19:50:00+00:00,69.0,11.05,20.3,21.05,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00070000,2025-04-23 15:34:48+00:00,70.0,19.6,18.95,20.0,5.1000004,35.172417,4.0,6,1.0000000000000003e-05,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00071000,2025-04-21 18:47:16+00:00,71.0,10.75,18.25,19.05,0.0,0.0,10.0,0,1.0000000000000003e-05,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00072000,2025-04-21 18:47:16+00:00,72.0,9.75,17.1,17.8,0.0,0.0,40.0,0,1.0000000000000003e-05,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00073000,2025-04-16 17:57:34+00:00,73.0,10.03,16.25,17.2,0.0,0.0,3.0,0,1.140629296875,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00074000,2025-04-22 13:33:09+00:00,74.0,9.35,15.35,16.1,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00075000,2025-04-23 13:34:01+00:00,75.0,14.5,14.25,14.9,5.6899996,64.585686,8.0,110,1.0000000000000003e-05,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00076000,2025-04-21 14:20:07+00:00,76.0,7.55,12.85,13.95,0.0,0.0,5.0,33,1.0000000000000003e-05,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00077000,2025-04-22 14:17:53+00:00,77.0,12.6,12.4,13.0,5.0000005,65.78948,218.0,61,1.0000000000000003e-05,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00078000,2025-04-22 14:19:20+00:00,78.0,6.67,10.7,12.9,0.0,0.0,4.0,27,1.4560574072265624,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00079000,2025-04-23 15:26:50+00:00,79.0,10.84,9.9,12.05,5.34,97.09091,2.0,40,1.4482449462890625,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00080000,2025-04-23 15:37:27+00:00,80.0,9.35,9.2,9.9,4.7000003,101.07527,45.0,182,1.0000000000000003e-05,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00081000,2025-04-22 17:01:12+00:00,81.0,8.6,8.55,9.1,4.1500006,93.258446,3.0,335,1.0000000000000003e-05,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00082000,2025-04-23 15:33:16+00:00,82.0,7.6,7.2,8.3,4.35,133.84616,3.0,106,0.70117486328125,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00083000,2025-04-23 16:11:17+00:00,83.0,6.98,6.8,7.15,4.44,174.80315,32.0,384,0.4101621484375,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00084000,2025-04-23 16:12:39+00:00,84.0,5.8,5.9,6.45,3.5100002,153.27513,40.0,540,0.6660189648437502,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00085000,2025-04-23 16:22:28+00:00,85.0,4.8,4.65,5.5,3.2500002,209.67744,264.0,1025,0.6132851171875001,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00086000,2025-04-23 16:20:17+00:00,86.0,4.2,4.2,4.35,3.06,268.42108,89.0,781,0.445318046875,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00087000,2025-04-23 16:06:51+00:00,87.0,3.51,3.45,3.65,2.8,394.36618,176.0,633,0.506840869140625,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00088000,2025-04-23 16:06:45+00:00,88.0,2.82,2.75,3.0,2.25,394.73688,177.0,464,0.5361374511718751,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00089000,2025-04-23 15:58:32+00:00,89.0,2.31,2.21,2.5,1.92,492.3077,262.0,753,0.5336960693359375,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00090000,2025-04-23 16:28:21+00:00,90.0,1.7,1.71,1.81,1.44,553.8462,529.0,1955,0.5195360546875,True,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00091000,2025-04-23 16:06:38+00:00,91.0,1.26,1.16,1.37,1.0799999,599.99976,186.0,611,0.5073291455078125,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00092000,2025-04-23 16:14:12+00:00,92.0,0.89,0.88,1.15,0.76,584.6154,278.0,495,0.5449264257812501,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00093000,2025-04-23 16:28:03+00:00,93.0,0.58,0.63,0.75,0.48,480.00003,136.0,378,0.53320779296875,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00094000,2025-04-23 16:05:46+00:00,94.0,0.44,0.42,0.48,0.34,340.00003,76.0,134,0.5229539892578124,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00095000,2025-04-23 16:15:59+00:00,95.0,0.3,0.28,0.34,0.24000001,399.99997,483.0,617,0.5312546875,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00096000,2025-04-23 15:51:01+00:00,96.0,0.18,0.19,0.23,0.14000002,350.00012,225.0,198,0.5380905566406251,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00097000,2025-04-23 16:29:03+00:00,97.0,0.15,0.13,0.18,0.120000005,399.99997,101.0,119,0.5585981640625001,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00098000,2025-04-23 16:28:35+00:00,98.0,0.11,0.0,0.23,0.009999998,9.999997,19.0,105,0.57812921875,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00099000,2025-04-23 14:03:48+00:00,99.0,0.12,0.05,0.22,-0.22,-64.70588,34.0,59,0.6523472265625001,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00100000,2025-04-23 14:39:17+00:00,100.0,0.03,0.03,0.1,0.01,50.0,25.0,353,0.6171913281250001,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00101000,2025-04-23 15:17:35+00:00,101.0,0.11,0.0,0.11,0.08,266.66666,1.0,186,0.6445348046875,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00102000,2025-04-17 14:33:35+00:00,102.0,0.06,0.0,0.4,0.009999998,19.999994,6.0,121,0.8808605664062499,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00103000,2025-04-22 18:41:55+00:00,103.0,0.04,0.01,0.07,0.01,33.333336,4.0,216,0.70312796875,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00104000,2025-04-22 19:34:13+00:00,104.0,0.01,0.0,0.36,0.0,0.0,5.0,50,0.9648441015625,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00105000,2025-04-23 13:49:39+00:00,105.0,0.03,0.0,0.05,0.01,50.0,11.0,205,0.73437765625,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00106000,2025-04-22 19:33:47+00:00,106.0,0.03,0.0,0.1,0.0,0.0,2.0,1042,0.8554701953125,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00107000,2025-04-17 17:25:35+00:00,107.0,0.1,0.0,1.05,0.0,0.0,10.0,26,1.4121123144531251,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00108000,2025-04-22 15:38:42+00:00,108.0,0.19,0.0,0.2,0.0,0.0,1.0,55,1.0429735351562504,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00109000,2025-04-07 17:28:30+00:00,109.0,0.17,0.0,0.95,0.0,0.0,2.0,219,1.484377578125,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00110000,2025-04-23 15:06:04+00:00,110.0,0.01,0.0,0.1,-0.01,-50.0,102.0,464,1.015629921875,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00115000,2025-04-22 16:46:10+00:00,115.0,0.03,0.0,0.05,-0.099999994,-76.92307,10.0,164,1.1015669921875002,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
DELL250425C00120000,2025-04-16 15:07:17+00:00,120.0,0.33,0.0,0.1,0.0,0.0,3.0,61,1.3828155859374998,False,REGULAR,USD,DELL,1,2025-04-25,2025-04-23 13:02:21.674987,90.13500213623047
