contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
DHI250425C00110000,2025-04-16 18:07:04+00:00,110.0,9.4,14.4,15.8,0.0,0.0,1.0,0,0.99023447265625,True,REGULAR,USD,DHI,1,2025-04-25,2025-04-23 13:02:38.593723,125.46499633789062
DHI250425C00114000,2025-04-17 13:31:32+00:00,114.0,14.2,10.4,12.3,5.5999994,65.11627,5.0,20,1.0107471337890623,True,REGULAR,USD,DHI,1,2025-04-25,2025-04-23 13:02:38.593723,125.46499633789062
DHI250425C00115000,2025-04-17 14:29:59+00:00,115.0,7.0,8.6,12.1,0.0,0.0,1.0,1,1.2211953002929685,True,REGULAR,USD,DHI,1,2025-04-25,2025-04-23 13:02:38.593723,125.46499633789062
DHI250425C00116000,2025-04-22 17:06:37+00:00,116.0,8.95,7.8,9.9,0.0,0.0,2.0,4,0.717776259765625,True,REGULAR,USD,DHI,1,2025-04-25,2025-04-23 13:02:38.593723,125.46499633789062
DHI250425C00117000,2025-04-22 14:24:11+00:00,117.0,6.3,7.7,9.3,0.0,0.0,1.0,34,0.8183611914062499,True,REGULAR,USD,DHI,1,2025-04-25,2025-04-23 13:02:38.593723,125.46499633789062
DHI250425C00118000,2025-04-21 19:06:35+00:00,118.0,4.2,5.8,8.4,0.0,0.0,1.0,1,0.7861349511718749,True,REGULAR,USD,DHI,1,2025-04-25,2025-04-23 13:02:38.593723,125.46499633789062
DHI250425C00119000,2025-04-22 13:45:26+00:00,119.0,5.38,4.4,7.9,0.0,0.0,1.0,49,0.8667005517578125,True,REGULAR,USD,DHI,1,2025-04-25,2025-04-23 13:02:38.593723,125.46499633789062
DHI250425C00120000,2025-04-22 18:58:50+00:00,120.0,5.76,5.2,5.8,0.0,0.0,5.0,32,0.44434149414062496,True,REGULAR,USD,DHI,1,2025-04-25,2025-04-23 13:02:38.593723,125.46499633789062
DHI250425C00121000,2025-04-23 14:40:01+00:00,121.0,6.75,4.4,5.0,2.6999998,66.66666,2.0,66,0.45606012695312503,True,REGULAR,USD,DHI,1,2025-04-25,2025-04-23 13:02:38.593723,125.46499633789062
DHI250425C00122000,2025-04-22 19:42:07+00:00,122.0,3.93,3.6,4.3,0.0,0.0,12.0,39,0.4770560107421875,True,REGULAR,USD,DHI,1,2025-04-25,2025-04-23 13:02:38.593723,125.46499633789062
