contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
DHR250425C00170000,2025-04-22 13:30:53+00:00,170.0,27.2,27.0,30.0,0.0,0.0,1.0,6.0,1.0390673046875003,1.0,REGULAR,USD,DHR,1,2025-04-25,2025-04-23 13:02:15.855122,199.69000244140625
DHR250425C00172500,2025-04-21 19:56:05+00:00,172.5,13.83,24.6,27.6,0.0,0.0,2.0,3.0,1.017583037109375,1.0,REGULAR,USD,DHR,1,2025-04-25,2025-04-23 13:02:15.855122,199.69000244140625
DHR250425C00175000,2025-04-21 19:56:05+00:00,175.0,11.9,22.4,25.0,0.0,0.0,2.0,13.0,0.8828136718749999,1.0,REGULAR,USD,DHR,1,2025-04-25,2025-04-23 13:02:15.855122,199.69000244140625
DHR250425C00177500,2025-04-17 19:58:30+00:00,177.5,11.8,19.4,22.6,0.0,0.0,3.0,3.0,0.8554701953125,1.0,REGULAR,USD,DHR,1,2025-04-25,2025-04-23 13:02:15.855122,199.69000244140625
DHR250425C00180000,2025-04-22 15:20:47+00:00,180.0,16.95,17.8,20.1,0.0,0.0,30.0,34.0,0.7744163183593751,1.0,REGULAR,USD,DHR,1,2025-04-25,2025-04-23 13:02:15.855122,199.69000244140625
DHR250425C00182500,2025-04-22 19:45:54+00:00,182.5,11.2,15.2,17.6,0.0,0.0,45.0,60.0,0.69336244140625,1.0,REGULAR,USD,DHR,1,2025-04-25,2025-04-23 13:02:15.855122,199.69000244140625
DHR250425C00185000,2025-04-23 13:57:12+00:00,185.0,16.6,12.1,14.4,7.46,81.619255,13.0,1695.0,1.0000000000000003e-05,1.0,REGULAR,USD,DHR,1,2025-04-25,2025-04-23 13:02:15.855122,199.69000244140625
DHR250425C00187500,2025-04-22 17:11:16+00:00,187.5,13.15,9.6,12.1,4.45,51.14942,5.0,52.0,1.0000000000000003e-05,1.0,REGULAR,USD,DHR,1,2025-04-25,2025-04-23 13:02:15.855122,199.69000244140625
DHR250425C00190000,2025-04-23 13:32:47+00:00,190.0,11.31,8.4,9.7,6.4400005,132.2382,10.0,267.0,0.22657023437499998,1.0,REGULAR,USD,DHR,1,2025-04-25,2025-04-23 13:02:15.855122,199.69000244140625
DHR250425C00192500,2025-04-23 16:21:29+00:00,192.5,6.71,6.7,8.2,0.46000004,7.3600006,4.0,85.0,0.49170430175781255,1.0,REGULAR,USD,DHR,1,2025-04-25,2025-04-23 13:02:15.855122,199.69000244140625
DHR250425C00195000,2025-04-23 16:29:52+00:00,195.0,4.8,4.8,5.8,3.0000002,166.66669,23.0,111.0,0.401373173828125,1.0,REGULAR,USD,DHR,1,2025-04-25,2025-04-23 13:02:15.855122,199.69000244140625
DHR250425C00197500,2025-04-23 14:39:47+00:00,197.5,4.19,3.1,3.8,2.64,170.32259,31.0,108.0,0.35596347167968745,1.0,REGULAR,USD,DHR,1,2025-04-25,2025-04-23 13:02:15.855122,199.69000244140625
DHR250425C00200000,2025-04-23 16:13:16+00:00,200.0,2.04,1.9,2.3,1.49,270.90912,41.0,195.0,0.3391179370117187,0.0,REGULAR,USD,DHR,1,2025-04-25,2025-04-23 13:02:15.855122,199.69000244140625
DHR250425C00202500,2025-04-23 15:43:44+00:00,202.5,1.22,0.9,1.25,0.82000005,205.00003,22.0,672.0,0.32959654785156245,0.0,REGULAR,USD,DHR,1,2025-04-25,2025-04-23 13:02:15.855122,199.69000244140625
DHR250425C00205000,2025-04-23 14:27:54+00:00,205.0,0.99,0.4,0.9,0.84000003,560.00006,60.0,348.0,0.38086556640624997,0.0,REGULAR,USD,DHR,1,2025-04-25,2025-04-23 13:02:15.855122,199.69000244140625
DHR250425C00207500,2025-04-23 14:45:15+00:00,207.5,0.6,0.0,0.3,0.45000002,300.0,200.0,71.0,0.33399103515625,0.0,REGULAR,USD,DHR,1,2025-04-25,2025-04-23 13:02:15.855122,199.69000244140625
DHR250425C00210000,2025-04-23 15:12:44+00:00,210.0,0.25,0.05,0.1,0.19,316.66666,75.0,329.0,0.32031929687499994,0.0,REGULAR,USD,DHR,1,2025-04-25,2025-04-23 13:02:15.855122,199.69000244140625
DHR250425C00212500,2025-04-23 14:24:55+00:00,212.5,0.13,0.0,0.3,0.029999994,29.999992,20.0,71.0,0.476567734375,0.0,REGULAR,USD,DHR,1,2025-04-25,2025-04-23 13:02:15.855122,199.69000244140625
DHR250425C00215000,2025-04-23 16:18:08+00:00,215.0,0.05,0.0,0.05,-0.040000003,-44.444447,5.0,216.0,0.39063109375,0.0,REGULAR,USD,DHR,1,2025-04-25,2025-04-23 13:02:15.855122,199.69000244140625
