contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
DLR250425C00135000,2025-04-14 16:07:32+00:00,135.0,13.72,16.2,18.4,0.0,0.0,1.0,4,1.1591838916015624,True,REGULAR,USD,DLR,1,2025-04-25,2025-04-23 13:02:28.388153,152.47999572753906
DLR250425C00136000,2025-04-07 19:45:34+00:00,136.0,8.0,14.6,18.0,0.0,0.0,,100,1.308108928222656,True,REGULAR,USD,DLR,1,2025-04-25,2025-04-23 13:02:28.388153,152.47999572753906
DLR250425C00137000,2025-04-08 16:17:25+00:00,137.0,8.5,14.6,16.2,0.0,0.0,,1,0.9829103271484375,True,REGULAR,USD,DLR,1,2025-04-25,2025-04-23 13:02:28.388153,152.47999572753906
DLR250425C00138000,2025-04-03 18:31:16+00:00,138.0,7.8,13.5,15.8,0.0,0.0,6.0,4,0.65820654296875,True,REGULAR,USD,DLR,1,2025-04-25,2025-04-23 13:02:28.388153,152.47999572753906
DLR250425C00140000,2025-04-17 16:30:39+00:00,140.0,11.86,11.2,14.1,0.0,0.0,2.0,7,0.5810588769531251,True,REGULAR,USD,DLR,1,2025-04-25,2025-04-23 13:02:28.388153,152.47999572753906
DLR250425C00141000,2025-04-21 17:46:37+00:00,141.0,5.9,10.7,13.0,0.0,0.0,1.0,2,0.649417568359375,True,REGULAR,USD,DLR,1,2025-04-25,2025-04-23 13:02:28.388153,152.47999572753906
DLR250425C00143000,2025-04-07 15:09:27+00:00,143.0,4.81,9.1,11.4,0.0,0.0,,2,0.702151416015625,True,REGULAR,USD,DLR,1,2025-04-25,2025-04-23 13:02:28.388153,152.47999572753906
DLR250425C00145000,2025-04-23 15:00:40+00:00,145.0,9.4,7.5,9.1,5.6699996,152.01071,66.0,218,0.6123085644531252,True,REGULAR,USD,DLR,1,2025-04-25,2025-04-23 13:02:28.388153,152.47999572753906
DLR250425C00146000,2025-04-16 13:52:34+00:00,146.0,5.1,5.8,8.6,0.0,0.0,1.0,1,0.5312546875,True,REGULAR,USD,DLR,1,2025-04-25,2025-04-23 13:02:28.388153,152.47999572753906
DLR250425C00147000,2025-04-22 18:11:20+00:00,147.0,4.6,5.7,8.2,0.0,0.0,1.0,31,0.657229990234375,True,REGULAR,USD,DLR,1,2025-04-25,2025-04-23 13:02:28.388153,152.47999572753906
DLR250425C00148000,2025-04-22 17:01:19+00:00,148.0,4.1,5.7,7.8,0.0,0.0,1.0,91,0.7602563037109377,True,REGULAR,USD,DLR,1,2025-04-25,2025-04-23 13:02:28.388153,152.47999572753906
DLR250425C00149000,2025-04-23 13:58:45+00:00,149.0,7.0,5.0,6.8,3.37,92.83746,3.0,174,0.7185086743164062,True,REGULAR,USD,DLR,1,2025-04-25,2025-04-23 13:02:28.388153,152.47999572753906
