contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
DLTR250425C00055000,2025-03-19 17:23:36+00:00,55.0,11.25,22.2,25.0,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00062000,2025-03-25 17:22:29+00:00,62.0,8.41,19.35,21.9,0.0,0.0,,1,2.4277383056640627,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00064000,2025-03-27 14:45:32+00:00,64.0,11.75,17.35,19.0,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00065000,2025-04-08 18:07:37+00:00,65.0,7.8,17.25,18.1,0.0,0.0,9.0,223,1.0000000000000003e-05,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00066000,2025-03-26 13:55:57+00:00,66.0,16.65,15.95,17.0,10.5,170.73172,19.0,3,1.0000000000000003e-05,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00067000,2025-04-21 15:36:57+00:00,67.0,11.49,14.95,16.05,0.0,0.0,9.0,90,1.0000000000000003e-05,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00068000,2025-04-17 17:19:13+00:00,68.0,10.34,13.45,15.1,0.0,0.0,2.0,46,1.0000000000000003e-05,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00069000,2025-04-21 19:26:05+00:00,69.0,10.75,13.3,13.95,0.0,0.0,1.0,131,1.0000000000000003e-05,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00070000,2025-04-23 13:30:21+00:00,70.0,15.0,12.0,13.5,3.8900003,35.013504,1.0,95,1.2753942480468747,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00071000,2025-04-21 19:11:44+00:00,71.0,8.98,11.0,12.0,0.0,0.0,11.0,66,1.0000000000000003e-05,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00072000,2025-04-23 15:11:11+00:00,72.0,11.0,10.25,11.05,2.1000004,23.59551,5.0,215,1.0000000000000003e-05,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00073000,2025-04-23 16:29:44+00:00,73.0,10.12,9.35,10.15,4.16,69.79866,14.0,676,1.0000000000000003e-05,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00074000,2025-04-23 15:09:50+00:00,74.0,9.17,7.45,10.05,1.2200003,15.345916,4.0,195,1.3222690136718749,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00075000,2025-04-23 16:11:23+00:00,75.0,7.67,6.5,9.45,0.96000004,14.307004,14.0,241,1.4248075634765625,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00076000,2025-04-23 13:30:02+00:00,76.0,8.88,5.55,8.45,2.31,35.159817,2.0,232,1.3129917163085936,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00077000,2025-04-22 18:53:49+00:00,77.0,5.07,4.75,7.45,0.0,0.0,35.0,212,1.2001993115234375,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00078000,2025-04-23 14:11:01+00:00,78.0,7.45,4.5,5.4,2.8599997,62.30936,7.0,177,0.532231240234375,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00079000,2025-04-23 15:30:09+00:00,79.0,3.65,3.7,4.65,-0.19999981,-5.1948004,12.0,183,0.6074258007812501,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00080000,2025-04-23 15:32:37+00:00,80.0,2.57,2.82,3.45,-0.53,-17.096773,55.0,1116,0.4023497265625,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00081000,2025-04-23 16:01:59+00:00,81.0,2.29,2.14,2.88,-0.059999943,-2.553189,38.0,848,0.50586431640625,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00082000,2025-04-23 15:56:54+00:00,82.0,1.78,1.79,2.35,-0.22000003,-11.000002,66.0,467,0.5546919531250001,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00083000,2025-04-23 16:19:29+00:00,83.0,1.33,1.06,1.56,-0.01999998,-1.48148,222.0,315,0.47803256347656253,True,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00084000,2025-04-23 16:21:56+00:00,84.0,0.9,0.62,1.11,-0.120000005,-11.764706,113.0,449,0.48242705078125003,False,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00085000,2025-04-23 16:28:01+00:00,85.0,0.7,0.5,0.84,-0.19999999,-22.222221,478.0,1341,0.514653291015625,False,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00086000,2025-04-23 16:21:41+00:00,86.0,0.38,0.0,0.57,-0.120000005,-24.0,110.0,476,0.516606396484375,False,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00087000,2025-04-23 15:39:25+00:00,87.0,0.37,0.0,0.4,-0.049999982,-11.9047575,206.0,2920,0.532231240234375,False,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00088000,2025-04-23 15:12:42+00:00,88.0,0.27,0.0,0.35,-0.00999999,-3.5714252,111.0,719,0.58789474609375,False,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00089000,2025-04-23 15:54:18+00:00,89.0,0.2,0.0,0.25,0.049999997,33.33333,367.0,532,0.5039112109375,False,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00090000,2025-04-23 16:31:34+00:00,90.0,0.13,0.12,0.15,0.0,0.0,33740.0,345,0.57617611328125,False,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00092000,2025-04-22 19:15:29+00:00,92.0,0.11,0.0,0.39,0.0,0.0,5.0,91,0.7578149218750001,False,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00095000,2025-04-23 15:28:56+00:00,95.0,0.02,0.0,0.1,0.0,0.0,8.0,234,0.7304714453125,False,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425C00100000,2025-04-21 16:49:04+00:00,100.0,0.21,0.0,0.37,0.16,320.00003,1.0,21,1.197269638671875,False,REGULAR,USD,DLTR,1,2025-04-25,2025-04-23 13:02:31.969409,83.23999786376953
DLTR250425P00045000,2025-03-19 17:48:59+00:00,45.0,0.42,0.0,0.68,0.0,0.0,,32,3.86718783203125,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00047500,2025-04-17 17:23:30+00:00,47.5,0.19,0.0,0.05,0.0,0.0,1.0,1,2.43750390625,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00050000,2025-04-14 18:20:11+00:00,50.0,0.05,0.0,1.02,0.0,0.0,1.0,71,3.57031357421875,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00052000,2025-04-21 18:34:25+00:00,52.0,0.14,0.0,1.02,0.0,0.0,1.0,23,3.3378922802734365,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00053000,2025-04-10 15:59:47+00:00,53.0,0.28,0.0,1.02,0.0,0.0,10.0,116,3.2246113134765624,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00054000,2025-03-26 15:14:35+00:00,54.0,0.17,0.0,1.02,0.0,0.0,2.0,24,3.113283466796875,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00055000,2025-04-23 13:30:09+00:00,55.0,0.23,0.0,0.22,-0.28999996,-55.769226,17.0,65,2.2578168554687497,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00056000,2025-03-25 15:03:27+00:00,56.0,0.92,0.0,1.02,0.0,0.0,20.0,22,2.8945340136718753,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00057000,2025-04-10 14:38:49+00:00,57.0,0.6,0.0,1.03,0.0,0.0,3.0,32,2.7949248876953128,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00058000,2025-04-22 13:41:15+00:00,58.0,0.01,0.0,0.02,0.0,0.0,11.0,35,1.46875265625,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00059000,2025-04-21 18:23:57+00:00,59.0,0.02,0.0,1.13,0.0,0.0,1.0,7,2.642581518554688,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00060000,2025-04-21 18:23:57+00:00,60.0,0.04,0.0,0.04,0.0,0.0,2.0,78,1.453127734375,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00061000,2025-04-22 15:58:59+00:00,61.0,0.01,0.0,1.15,0.0,0.0,1.0,16,2.447269506835937,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00062000,2025-04-22 17:41:23+00:00,62.0,0.27,0.0,0.03,0.0,0.0,2.0,67,1.2812535937499998,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00063000,2025-04-22 18:14:01+00:00,63.0,0.01,0.01,0.02,0.0,0.0,31.0,67,1.21875390625,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00064000,2025-04-17 17:19:37+00:00,64.0,0.06,0.0,1.27,0.0,0.0,72.0,83,2.1992232519531245,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00065000,2025-04-17 16:27:45+00:00,65.0,0.07,0.0,1.42,0.0,0.0,24.0,56,2.162113969726563,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00066000,2025-04-16 19:59:49+00:00,66.0,0.5,0.0,1.27,0.0,0.0,87.0,111,1.998046884765625,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00067000,2025-04-22 19:13:54+00:00,67.0,0.03,0.0,0.05,0.0,0.0,3.0,103,1.0390673046875003,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00068000,2025-04-17 17:52:29+00:00,68.0,0.54,0.0,0.03,0.38000003,237.50003,2.0,137,0.914063359375,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00069000,2025-04-23 15:17:48+00:00,69.0,0.05,0.0,2.14,-0.26999998,-84.37499,47.0,362,2.0009815600585936,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00070000,2025-04-22 16:14:31+00:00,70.0,0.56,0.0,0.37,0.51,1019.99976,2.0,206,1.185550947265625,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00071000,2025-04-23 15:26:19+00:00,71.0,0.04,0.01,0.17,-0.11000001,-73.333336,16.0,231,0.9609378906249999,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00072000,2025-04-22 16:19:11+00:00,72.0,0.02,0.02,0.75,0.0,0.0,1.0,618,1.224613251953125,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00073000,2025-04-22 18:59:33+00:00,73.0,0.1,0.0,0.65,-0.04,-28.571428,5.0,84,1.0859420703125,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00074000,2025-04-22 17:42:20+00:00,74.0,0.29,0.0,0.59,0.0,0.0,46.0,1623,0.97460962890625,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00075000,2025-04-23 15:23:57+00:00,75.0,0.09,0.0,0.34,-0.18,-66.666664,24.0,578,0.7753928710937501,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00076000,2025-04-22 19:30:38+00:00,76.0,0.17,0.0,0.38,-0.17999999,-51.428574,5.0,82,0.71679970703125,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00077000,2025-04-23 15:32:55+00:00,77.0,0.26,0.0,0.27,-0.23000002,-46.938778,34.0,238,0.585941640625,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00078000,2025-04-23 16:23:13+00:00,78.0,0.37,0.2,0.39,-0.48000002,-56.470585,222.0,191,0.631839619140625,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00079000,2025-04-23 16:01:39+00:00,79.0,0.61,0.0,0.49,-0.28999996,-32.222218,67.0,131,0.5117236328125,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
DLTR250425P00080000,2025-04-23 15:15:18+00:00,80.0,0.48,0.21,0.83,-0.51,-51.515152,22.0,168,0.5625043750000001,False,REGULAR,USD,DLTR,0,2025-04-25,2025-04-23 13:02:31.971414,83.23999786376953
