contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
DOV250516C00120000,2025-03-05 19:52:21+00:00,120.0,71.0,34.1,37.9,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,DOV,1,2025-05-16,2025-04-23 13:02:36.597532,167.1300048828125
DOV250516C00135000,2025-04-08 17:22:47+00:00,135.0,21.83,31.5,34.1,0.0,0.0,,1,0.5637250659179689,True,REGULAR,USD,DOV,1,2025-05-16,2025-04-23 13:02:36.597532,167.1300048828125
DOV250516C00140000,2025-03-21 16:12:15+00:00,140.0,39.83,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,DOV,1,2025-05-16,2025-04-23 13:02:36.597532,167.1300048828125
DOV250516C00145000,2025-03-21 16:12:15+00:00,145.0,34.88,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,DOV,1,2025-05-16,2025-04-23 13:02:36.597532,167.1300048828125
DOV250516C00150000,2025-04-14 14:28:06+00:00,150.0,20.0,16.9,20.4,2.0,11.111111,1.0,8,0.584965087890625,True,REGULAR,USD,DOV,1,2025-05-16,2025-04-23 13:02:36.597532,167.1300048828125
DOV250516C00155000,2025-04-23 14:47:19+00:00,155.0,17.4,13.3,15.2,5.6099997,47.58269,617.0,632,0.46497117065429694,True,REGULAR,USD,DOV,1,2025-05-16,2025-04-23 13:02:36.597532,167.1300048828125
DOV250516C00160000,2025-04-23 15:38:39+00:00,160.0,11.5,10.0,11.4,2.5299997,28.205124,304.0,597,0.43579665771484377,True,REGULAR,USD,DOV,1,2025-05-16,2025-04-23 13:02:36.597532,167.1300048828125
DOV250516C00165000,2025-04-22 17:43:55+00:00,165.0,9.81,7.1,7.9,4.5900006,87.93105,7.0,157,0.39929799926757814,True,REGULAR,USD,DOV,1,2025-05-16,2025-04-23 13:02:36.597532,167.1300048828125
DOV250516C00170000,2025-04-23 16:11:09+00:00,170.0,4.9,4.5,5.4,1.3000002,36.111115,17.0,43,0.39087523193359375,False,REGULAR,USD,DOV,1,2025-05-16,2025-04-23 13:02:36.597532,167.1300048828125
DOV250516C00175000,2025-04-23 14:07:50+00:00,175.0,3.2,2.35,3.4,1.0699999,50.234737,48.0,18,0.37744763183593744,False,REGULAR,USD,DOV,1,2025-05-16,2025-04-23 13:02:36.597532,167.1300048828125
DOV250516C00180000,2025-04-23 14:30:38+00:00,180.0,2.28,1.15,1.6,1.28,128.0,15.0,65,0.33521172607421873,False,REGULAR,USD,DOV,1,2025-05-16,2025-04-23 13:02:36.597532,167.1300048828125
DOV250516C00185000,2025-04-23 15:45:25+00:00,185.0,1.0,0.75,0.95,0.35000002,53.84616,15.0,162,0.3430241479492187,False,REGULAR,USD,DOV,1,2025-05-16,2025-04-23 13:02:36.597532,167.1300048828125
