contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
DOW250425C00019000,2025-04-07 18:10:52+00:00,19.0,8.65,9.95,10.25,0.0,0.0,,46.0,2.593753515625,1.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00021000,2025-04-22 14:56:43+00:00,21.0,7.88,7.95,8.15,0.0,0.0,1.0,8.0,1.0000000000000003e-05,1.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00022000,2025-04-15 19:41:50+00:00,22.0,5.93,6.9,7.15,0.0,0.0,,2.0,1.0000000000000003e-05,1.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00024000,2025-04-10 19:53:58+00:00,24.0,3.79,4.7,5.95,0.0,0.0,2.0,3.0,1.5781271093749998,1.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00025000,2025-04-22 13:32:50+00:00,25.0,4.51,3.8,4.25,0.6900003,18.062836,2.0,15.0,1.1171919140625,1.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00025500,2025-04-22 14:00:25+00:00,25.5,3.54,3.35,3.7,0.0,0.0,1.0,11.0,0.804689453125,1.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00026000,2025-04-23 15:19:47+00:00,26.0,3.8,3.0,3.3,0.79999995,26.666664,1.0,26.0,1.0078174609375,1.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00026500,2025-04-21 17:21:30+00:00,26.5,1.95,2.6,2.83,0.0,0.0,2.0,34.0,0.6640658593750002,1.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00027000,2025-04-23 13:38:03+00:00,27.0,3.65,2.05,2.43,1.3200002,56.65237,1.0,170.0,0.632816171875,1.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00027500,2025-04-22 13:41:05+00:00,27.5,3.2,1.69,1.94,1.4000001,77.77779,140.0,256.0,0.6523472265625001,1.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00028000,2025-04-23 16:08:38+00:00,28.0,1.48,1.34,1.53,0.07000005,4.964543,98.0,258.0,0.6718782812500002,1.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00028500,2025-04-23 15:51:49+00:00,28.5,1.01,1.09,1.26,-0.22000003,-17.88618,68.0,285.0,0.7597680273437502,1.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00029000,2025-04-23 16:04:47+00:00,29.0,0.85,0.8,0.86,-0.099999964,-10.526312,268.0,505.0,0.70312796875,1.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00029500,2025-04-23 15:23:55+00:00,29.5,0.73,0.56,0.62,0.030000031,4.285719,66.0,329.0,0.6992217578125001,0.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00030000,2025-04-23 16:17:10+00:00,30.0,0.38,0.35,0.42,-0.06999999,-15.555553,292.0,1194.0,0.6757844921875001,0.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00030500,2025-04-23 16:06:02+00:00,30.5,0.23,0.22,0.29,-0.10000001,-30.303032,67.0,398.0,0.6816438085937502,0.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00031000,2025-04-23 15:48:18+00:00,31.0,0.15,0.13,0.23,-0.049999997,-24.999998,110.0,1863.0,0.710940390625,0.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00031500,2025-04-23 16:25:54+00:00,31.5,0.09,0.01,0.12,-0.019999996,-18.181814,37.0,261.0,0.6132851171875001,0.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00032000,2025-04-23 16:09:18+00:00,32.0,0.06,0.03,0.06,-0.030000005,-33.333336,167.0,259.0,0.648441015625,0.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00032500,2025-04-23 14:51:14+00:00,32.5,0.1,0.02,0.04,0.040000003,66.66668,32.0,113.0,0.6796907031250001,0.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00033000,2025-04-23 15:00:35+00:00,33.0,0.05,0.0,0.06,0.020000001,66.66668,27.0,153.0,0.7500025,0.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00033500,2025-04-23 15:26:39+00:00,33.5,0.01,0.01,0.03,-0.01,-50.0,12.0,112.0,0.773439765625,0.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00034000,2025-04-22 16:30:02+00:00,34.0,0.04,0.0,0.06,0.02,100.0,1.0,662.0,0.8984385156249999,0.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00034500,2025-04-23 13:56:45+00:00,34.5,0.01,0.0,0.06,-0.07,-87.5,19.0,10.0,0.9687503125,0.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00035000,2025-04-14 14:57:01+00:00,35.0,0.04,0.0,0.05,-0.010000002,-20.000002,2.0,855.0,1.000005,0.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00036000,2025-04-22 17:05:54+00:00,36.0,0.03,0.0,0.05,0.0,0.0,1.0,95.0,1.1328168359375002,0.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00036500,2025-04-14 13:40:38+00:00,36.5,0.28,0.0,0.06,0.0,0.0,,1.0,1.2343788281249999,0.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00037000,2025-04-14 17:00:02+00:00,37.0,0.05,0.0,0.01,0.04,399.99994,1.0,199.0,1.000005,0.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00038000,2025-04-22 19:55:15+00:00,38.0,0.01,0.0,0.01,0.0,0.0,200.0,339.0,1.125004375,0.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00039000,2025-04-22 14:33:03+00:00,39.0,0.01,0.0,0.01,0.0,0.0,2.0,172.0,1.21875390625,0.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
DOW250425C00040000,2025-04-17 13:30:12+00:00,40.0,0.01,0.0,0.01,0.0,0.0,1.0,263.0,1.3125034374999998,0.0,REGULAR,USD,DOW,1,2025-04-25,2025-04-23 13:02:37.051494,29.174999237060547
