contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
DPZ250425C00270000,2025-04-07 14:28:38+00:00,270.0,171.0,210.4,216.9,0.0,0.0,,1,3.75634826538086,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00280000,2025-04-07 15:14:38+00:00,280.0,163.8,200.4,206.7,0.0,0.0,,2,3.486817689208985,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00285000,2025-04-07 15:14:38+00:00,285.0,158.9,195.3,201.7,0.0,0.0,,2,3.389649963378906,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00295000,2025-04-07 14:28:38+00:00,295.0,146.0,185.4,190.3,0.0,0.0,,1,2.5781285546875,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00355000,2025-03-07 17:03:24+00:00,355.0,113.2,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00360000,2025-04-14 13:37:15+00:00,360.0,110.3,120.6,126.8,0.0,0.0,,1,2.1044969262695306,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00410000,2025-04-14 13:50:44+00:00,410.0,63.23,70.6,75.5,0.0,0.0,2.0,2,1.0673874755859378,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00415000,2025-04-14 13:30:19+00:00,415.0,54.78,65.6,70.5,0.0,0.0,1.0,1,1.0029346728515625,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00425000,2025-03-31 14:59:39+00:00,425.0,39.5,55.8,61.9,0.0,0.0,2.0,2,1.1220747021484376,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00435000,2025-04-10 18:12:40+00:00,435.0,28.6,45.6,51.9,0.0,0.0,,4,0.9711916943359374,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00440000,2025-04-22 18:13:07+00:00,440.0,48.6,41.2,47.0,7.1299973,17.193146,2.0,10,0.9074716284179687,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00445000,2025-04-22 16:17:55+00:00,445.0,39.4,36.4,40.9,0.0,0.0,7.0,12,0.6882355395507813,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00450000,2025-04-22 13:37:23+00:00,450.0,38.0,31.3,35.9,10.24,36.887608,1.0,29,0.6191444335937502,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00452500,2025-04-17 14:54:47+00:00,452.5,16.45,28.8,34.8,0.0,0.0,1.0,4,0.7443873217773438,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00455000,2025-04-16 18:20:06+00:00,455.0,14.3,26.8,32.4,0.0,0.0,2.0,2,0.7136259106445313,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00457500,2025-04-17 14:54:47+00:00,457.5,12.65,23.9,29.3,0.0,0.0,1.0,0,0.6147499462890625,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00460000,2025-04-22 17:21:35+00:00,460.0,25.55,21.6,27.4,0.0,0.0,2.0,19,0.6309851354980469,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00462500,2025-04-21 16:15:43+00:00,462.5,10.5,19.2,23.9,0.0,0.0,1.0,7,0.49658706542968756,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00465000,2025-04-22 13:31:54+00:00,465.0,23.75,17.5,21.7,11.63,95.9571,1.0,26,0.4857229162597656,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00467500,2025-04-23 15:05:08+00:00,467.5,21.04,15.1,19.4,0.460001,2.2351847,2.0,13,0.46191944335937507,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00470000,2025-04-22 19:17:42+00:00,470.0,19.4,13.2,18.3,0.39999962,2.105261,1.0,43,0.5250291638183593,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00475000,2025-04-22 16:14:23+00:00,475.0,18.0,8.7,12.6,5.6000004,45.161297,3.0,33,0.3800110827636719,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00480000,2025-04-22 16:29:41+00:00,480.0,9.5,6.6,9.1,0.0,0.0,10.0,42,0.36890279541015625,True,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00485000,2025-04-23 14:54:25+00:00,485.0,5.9,3.4,6.6,-2.7999997,-30.939226,9.0,35,0.38281867187499996,False,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00490000,2025-04-23 15:56:55+00:00,490.0,3.07,2.2,4.1,-1.6299999,-34.68085,8.0,64,0.3617007189941406,False,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00495000,2025-04-23 15:18:00+00:00,495.0,1.5,0.4,2.0,-1.55,-50.81967,5.0,23,0.3227606787109374,False,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00500000,2025-04-23 15:59:14+00:00,500.0,0.55,0.0,1.6,-1.2,-68.571434,15.0,21,0.3706117626953125,False,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00505000,2025-04-23 15:59:48+00:00,505.0,0.4,0.2,3.0,-0.6,-60.000004,1.0,14,0.5606733386230469,False,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00510000,2025-04-22 17:32:02+00:00,510.0,0.55,0.05,2.9,0.0,0.0,2.0,18,0.6289099609375001,False,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00520000,2025-04-23 15:01:12+00:00,520.0,0.15,0.0,1.9,-0.15,-50.0,1.0,7,0.5566450585937501,False,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00530000,2025-03-24 16:47:13+00:00,530.0,0.85,0.0,2.6,0.0,0.0,,1,0.7192410888671875,False,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00535000,2025-03-06 14:30:01+00:00,535.0,2.95,0.0,3.5,0.0,0.0,,1,0.8354508642578123,False,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00545000,2025-03-31 14:14:02+00:00,545.0,0.75,0.0,0.5,0.0,0.0,1.0,1,0.6435582519531251,False,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
DPZ250425C00550000,2025-04-14 19:55:08+00:00,550.0,0.15,0.0,0.05,0.0,0.0,,1,0.51562984375,False,REGULAR,USD,DPZ,1,2025-04-25,2025-04-23 13:02:34.252788,484.7699890136719
