contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
DUK250516C00090000,2025-04-09 17:40:31+00:00,90.0,26.1,29.1,31.7,0.0,0.0,,1,0.9184578466796876,True,REGULAR,USD,DUK,1,2025-05-16,2025-04-23 13:02:40.766535,120.43000030517578
DUK250516C00095000,2025-04-04 13:30:16+00:00,95.0,30.83,25.0,26.4,0.0,0.0,1.0,1,0.5429733203125001,True,REGULAR,USD,DUK,1,2025-05-16,2025-04-23 13:02:40.766535,120.43000030517578
DUK250516C00100000,2025-04-17 19:11:37+00:00,100.0,22.8,19.9,20.9,0.0,0.0,1.0,10,0.5019581054687501,True,REGULAR,USD,DUK,1,2025-05-16,2025-04-23 13:02:40.766535,120.43000030517578
DUK250516C00105000,2025-04-17 16:25:35+00:00,105.0,18.45,15.4,15.7,0.0,0.0,4.0,19,0.34766277343749996,True,REGULAR,USD,DUK,1,2025-05-16,2025-04-23 13:02:40.766535,120.43000030517578
DUK250516C00110000,2025-04-21 17:50:39+00:00,110.0,10.3,10.6,12.0,0.0,0.0,21.0,188,0.44214425048828127,True,REGULAR,USD,DUK,1,2025-05-16,2025-04-23 13:02:40.766535,120.43000030517578
DUK250516C00115000,2025-04-23 15:37:41+00:00,115.0,6.65,6.3,6.8,-1.4500003,-17.901237,5.0,296,0.2841868457031249,True,REGULAR,USD,DUK,1,2025-05-16,2025-04-23 13:02:40.766535,120.43000030517578
DUK250516C00120000,2025-04-23 16:25:03+00:00,120.0,2.65,2.65,2.85,-1.56,-37.05463,67.0,1018,0.213875048828125,True,REGULAR,USD,DUK,1,2025-05-16,2025-04-23 13:02:40.766535,120.43000030517578
DUK250516C00125000,2025-04-23 16:30:13+00:00,125.0,0.74,0.6,0.8,-0.68999994,-49.640285,426.0,3408,0.19373364868164064,False,REGULAR,USD,DUK,1,2025-05-16,2025-04-23 13:02:40.766535,120.43000030517578
DUK250516C00130000,2025-04-23 16:30:13+00:00,130.0,0.1,0.05,0.15,-0.10999999,-45.833332,121.0,2360,0.18946123046875002,False,REGULAR,USD,DUK,1,2025-05-16,2025-04-23 13:02:40.766535,120.43000030517578
DUK250516C00135000,2025-04-23 16:23:13+00:00,135.0,0.03,0.0,0.1,-0.01,-16.666666,11.0,5697,0.241218525390625,False,REGULAR,USD,DUK,1,2025-05-16,2025-04-23 13:02:40.766535,120.43000030517578
DUK250516P00085000,2025-04-09 15:00:24+00:00,85.0,0.35,0.0,0.3,0.0,0.0,,6,0.6796907031250001,False,REGULAR,USD,DUK,0,2025-05-16,2025-04-23 13:02:40.767537,120.43000030517578
DUK250516P00090000,2025-04-16 19:12:47+00:00,90.0,0.09,0.0,0.25,0.0,0.0,1.0,1,0.5654340332031251,False,REGULAR,USD,DUK,0,2025-05-16,2025-04-23 13:02:40.767537,120.43000030517578
DUK250516P00095000,2025-04-22 18:17:29+00:00,95.0,0.09,0.0,0.35,0.0,0.0,1.0,19,0.5009815527343751,False,REGULAR,USD,DUK,0,2025-05-16,2025-04-23 13:02:40.767537,120.43000030517578
DUK250516P00100000,2025-04-21 13:30:11+00:00,100.0,0.1,0.0,0.5,0.0,0.0,1.0,80,0.5097705273437501,False,REGULAR,USD,DUK,0,2025-05-16,2025-04-23 13:02:40.767537,120.43000030517578
DUK250516P00105000,2025-04-23 16:17:28+00:00,105.0,0.19,0.15,0.25,0.030000001,17.647058,410.0,3237,0.34229173339843744,False,REGULAR,USD,DUK,0,2025-05-16,2025-04-23 13:02:40.767537,120.43000030517578
