contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
DVA250516C00090000,2025-04-07 14:03:45+00:00,90.0,57.75,47.7,50.5,0.0,0.0,,2.0,1.2231484155273438,1.0,REGULAR,USD,DVA,1,2025-05-16,2025-04-23 13:02:18.061382,139.19500732421875
DVA250516C00100000,2025-04-15 13:50:00+00:00,100.0,50.82,38.2,40.6,0.0,0.0,,5.0,0.6669955175781253,1.0,REGULAR,USD,DVA,1,2025-05-16,2025-04-23 13:02:18.061382,139.19500732421875
DVA250516C00105000,2025-04-15 13:50:46+00:00,105.0,45.93,33.1,35.2,0.0,0.0,,5.0,0.8095722167968749,1.0,REGULAR,USD,DVA,1,2025-05-16,2025-04-23 13:02:18.061382,139.19500732421875
DVA250516C00110000,2025-04-21 19:06:13+00:00,110.0,25.5,28.3,30.7,0.0,0.0,1.0,1.0,0.5371140039062501,1.0,REGULAR,USD,DVA,1,2025-05-16,2025-04-23 13:02:18.061382,139.19500732421875
DVA250516C00115000,2025-04-21 18:45:12+00:00,115.0,21.3,23.4,26.4,0.0,0.0,1.0,11.0,0.5463912548828126,1.0,REGULAR,USD,DVA,1,2025-05-16,2025-04-23 13:02:18.061382,139.19500732421875
DVA250516C00120000,2025-04-07 14:14:29+00:00,120.0,32.47,19.5,22.1,0.0,0.0,,3.0,0.5798381860351562,1.0,REGULAR,USD,DVA,1,2025-05-16,2025-04-23 13:02:18.061382,139.19500732421875
DVA250516C00125000,2025-02-20 16:04:18+00:00,125.0,23.3,24.6,26.5,0.0,0.0,,1.0,1.3056675341796873,1.0,REGULAR,USD,DVA,1,2025-05-16,2025-04-23 13:02:18.061382,139.19500732421875
DVA250516C00130000,2025-04-22 16:14:44+00:00,130.0,10.6,12.1,13.5,0.0,0.0,3.0,114.0,0.5307664111328125,1.0,REGULAR,USD,DVA,1,2025-05-16,2025-04-23 13:02:18.061382,139.19500732421875
DVA250516C00135000,2025-04-21 15:09:17+00:00,135.0,9.0,9.1,9.9,1.0,12.5,1.0,7.0,0.5144091528320311,1.0,REGULAR,USD,DVA,1,2025-05-16,2025-04-23 13:02:18.061382,139.19500732421875
DVA250516C00140000,2025-04-23 14:45:00+00:00,140.0,7.1,6.3,7.0,2.3600001,49.789036,3.0,38.0,0.5181932946777343,0.0,REGULAR,USD,DVA,1,2025-05-16,2025-04-23 13:02:18.061382,139.19500732421875
DVA250516C00145000,2025-04-23 15:08:49+00:00,145.0,5.3,4.2,4.8,2.0300002,62.079517,100.0,232.0,0.5053760400390624,0.0,REGULAR,USD,DVA,1,2025-05-16,2025-04-23 13:02:18.061382,139.19500732421875
DVA250516C00150000,2025-04-22 19:10:52+00:00,150.0,1.95,2.6,3.1,0.0,0.0,29.0,143.0,0.49121602539062503,0.0,REGULAR,USD,DVA,1,2025-05-16,2025-04-23 13:02:18.061382,139.19500732421875
DVA250516C00155000,2025-04-22 18:56:53+00:00,155.0,1.25,1.5,1.95,0.0,0.0,7.0,219.0,0.4846242944335938,0.0,REGULAR,USD,DVA,1,2025-05-16,2025-04-23 13:02:18.061382,139.19500732421875
DVA250516C00160000,2025-04-22 14:41:02+00:00,160.0,0.65,0.85,1.2,0.0,0.0,4.0,312.0,0.4821829125976563,0.0,REGULAR,USD,DVA,1,2025-05-16,2025-04-23 13:02:18.061382,139.19500732421875
DVA250516C00165000,2025-04-21 13:30:03+00:00,165.0,0.85,0.4,0.7,0.0,0.0,2.0,83.0,0.47803256347656253,0.0,REGULAR,USD,DVA,1,2025-05-16,2025-04-23 13:02:18.061382,139.19500732421875
DVA250516C00170000,2025-04-22 19:46:22+00:00,170.0,0.27,0.0,0.45,0.0,0.0,1.0,545.0,0.48828636718750007,0.0,REGULAR,USD,DVA,1,2025-05-16,2025-04-23 13:02:18.061382,139.19500732421875
DVA250516C00175000,2025-04-15 15:46:54+00:00,175.0,0.85,0.0,1.4,0.0,0.0,15.0,43.0,0.59570716796875,0.0,REGULAR,USD,DVA,1,2025-05-16,2025-04-23 13:02:18.061382,139.19500732421875
DVA250516C00180000,2025-04-09 17:21:39+00:00,180.0,1.95,0.0,0.75,0.0,0.0,2.0,9.0,0.5727581787109376,0.0,REGULAR,USD,DVA,1,2025-05-16,2025-04-23 13:02:18.061382,139.19500732421875
DVA250516C00185000,2025-03-07 18:05:31+00:00,185.0,0.9,0.0,0.0,0.0,0.0,1.0,14.0,0.2500075,0.0,REGULAR,USD,DVA,1,2025-05-16,2025-04-23 13:02:18.061382,139.19500732421875
DVA250516C00190000,2025-03-31 14:13:17+00:00,190.0,0.64,0.0,0.75,0.0,0.0,2.0,6.0,0.6660189648437502,0.0,REGULAR,USD,DVA,1,2025-05-16,2025-04-23 13:02:18.061382,139.19500732421875
DVA250516C00195000,2025-04-09 17:21:39+00:00,195.0,0.65,0.0,0.75,0.0,0.0,1.0,18.0,0.709963837890625,0.0,REGULAR,USD,DVA,1,2025-05-16,2025-04-23 13:02:18.061382,139.19500732421875
