contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
DXCM250425C00050000,2025-04-21 19:48:41+00:00,50.0,15.87,16.6,17.2,0.0,0.0,16.0,9.0,1.0000000000000003e-05,1.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00056000,2025-04-14 15:50:40+00:00,56.0,11.4,10.9,11.7,0.0,0.0,,4.0,1.0078174609375,1.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00061000,2025-04-09 17:38:52+00:00,61.0,5.65,5.0,7.5,0.0,0.0,,3.0,1.3320345898437496,1.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00062000,2025-04-23 15:42:28+00:00,62.0,6.0,4.5,6.9,2.02,50.75377,1.0,16.0,0.523442265625,1.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00063000,2025-04-22 17:26:05+00:00,63.0,3.6,3.9,5.5,0.0,0.0,22.0,26.0,1.0634812451171878,1.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00064000,2025-04-22 17:26:05+00:00,64.0,2.75,3.2,3.6,0.0,0.0,13.0,22.0,1.0000000000000003e-05,1.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00065000,2025-04-22 15:46:47+00:00,65.0,1.85,1.9,2.75,0.0,0.0,8.0,64.0,0.33789724609375,1.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00066000,2025-04-23 14:38:40+00:00,66.0,2.9,1.65,1.95,1.2,70.58824,5.0,110.0,0.36524072265625,1.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00067000,2025-04-22 17:22:54+00:00,67.0,0.9,1.1,1.25,0.0,0.0,79.0,80.0,0.36133451171875,1.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00068000,2025-04-23 15:42:39+00:00,68.0,0.85,0.55,0.8,0.35000002,70.00001,4.0,2075.0,0.39160764648437496,0.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00069000,2025-04-23 16:27:23+00:00,69.0,0.3,0.2,0.4,0.0,0.0,47.0,789.0,0.372076591796875,0.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00070000,2025-04-23 16:02:49+00:00,70.0,0.15,0.05,0.15,-0.08999999,-37.499996,21.0,132.0,0.3437565625,0.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00071000,2025-04-22 19:54:33+00:00,71.0,0.1,0.0,0.1,0.0,0.0,2.0,79.0,0.39258419921875,0.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00072000,2025-04-23 14:47:20+00:00,72.0,0.09,0.0,0.1,0.020000003,28.571432,15.0,578.0,0.47461462890625,0.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00073000,2025-04-23 13:30:03+00:00,73.0,0.05,0.0,0.1,0.0,0.0,1.0,397.0,0.55273884765625,0.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00074000,2025-04-21 19:57:54+00:00,74.0,0.05,0.0,0.5,0.0,0.0,5.0,7.0,0.7851583984375,0.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00075000,2025-04-22 15:42:19+00:00,75.0,0.03,0.0,0.1,0.0,0.0,2.0,230.0,0.6132851171875001,0.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00076000,2025-04-21 13:51:37+00:00,76.0,0.02,0.0,0.75,0.0,0.0,1.0,7.0,1.056645341796875,0.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00077000,2025-04-10 17:35:18+00:00,77.0,0.4,0.0,0.75,0.0,0.0,1.0,2.0,1.138676181640625,0.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00078000,2025-04-11 16:34:46+00:00,78.0,0.05,0.0,0.75,0.0,0.0,1.0,5.0,1.21875390625,0.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00079000,2025-04-21 13:33:13+00:00,79.0,0.01,0.0,0.25,0.0,0.0,6.0,12.0,1.01172369140625,0.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00080000,2025-04-22 14:10:02+00:00,80.0,0.05,0.0,0.05,0.0,0.0,1.0,16.0,0.8281267187499999,0.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00081000,2025-04-11 19:04:52+00:00,81.0,0.06,0.0,0.75,0.0,0.0,1.0,8.0,1.443362158203125,0.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00082000,2025-04-10 13:30:06+00:00,82.0,0.94,0.0,0.75,0.0,0.0,1.0,2.0,1.5156274218749999,0.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00083000,2025-04-10 14:49:04+00:00,83.0,0.13,0.0,0.75,0.0,0.0,2.0,2.0,1.5839864550781246,0.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00084000,2025-04-22 16:56:44+00:00,84.0,0.03,0.0,0.75,0.0,0.0,1.0,16.0,1.65234548828125,0.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00085000,2025-03-07 20:22:07+00:00,85.0,2.45,0.0,0.0,0.0,0.0,3.0,3.0,0.500005,0.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00086000,2025-03-24 18:47:41+00:00,86.0,0.55,0.0,0.75,0.0,0.0,,2.0,1.783204208984375,0.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425C00090000,2025-03-13 13:51:05+00:00,90.0,0.05,0.0,1.35,0.0,0.0,1.0,0.0,2.333988540039062,0.0,REGULAR,USD,DXCM,1,2025-04-25,2025-04-23 13:02:25.922702,67.66000366210938
DXCM250425P00050000,2025-04-14 15:56:35+00:00,50.0,0.1,0.0,0.75,0.0,0.0,5.0,56.0,2.2714886962890626,0.0,REGULAR,USD,DXCM,0,2025-04-25,2025-04-23 13:02:25.924707,67.66000366210938
DXCM250425P00051000,2025-04-07 14:24:19+00:00,51.0,0.8,0.0,0.75,0.0,0.0,,1.0,2.150395249023437,0.0,REGULAR,USD,DXCM,0,2025-04-25,2025-04-23 13:02:25.924707,67.66000366210938
DXCM250425P00055000,2025-04-22 19:53:29+00:00,55.0,0.16,0.0,0.75,0.0,0.0,1.0,101.0,1.68359533203125,0.0,REGULAR,USD,DXCM,0,2025-04-25,2025-04-23 13:02:25.924707,67.66000366210938
