contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
D250516C00040000,2025-04-07 14:34:52+00:00,40.0,11.34,11.4,14.2,0.0,0.0,,15,1.0605515722656251,True,REGULAR,USD,D,1,2025-05-16,2025-04-23 13:02:33.429192,53.2599983215332
D250516C00045000,2025-04-22 17:58:16+00:00,45.0,7.9,8.1,9.0,0.0,0.0,3.0,4,0.50586431640625,True,REGULAR,USD,D,1,2025-05-16,2025-04-23 13:02:33.429192,53.2599983215332
D250516C00047500,2025-04-09 15:01:20+00:00,47.5,3.1,5.9,6.3,0.0,0.0,,48,0.46533737792968755,True,REGULAR,USD,D,1,2025-05-16,2025-04-23 13:02:33.429192,53.2599983215332
D250516C00050000,2025-04-23 14:16:30+00:00,50.0,4.8,3.7,4.2,1.5500002,47.692314,76.0,141,0.41602146484374997,True,REGULAR,USD,D,1,2025-05-16,2025-04-23 13:02:33.429192,53.2599983215332
D250516C00052500,2025-04-23 16:04:44+00:00,52.5,2.25,1.8,2.25,0.25,12.5,9.0,893,0.3413151806640625,True,REGULAR,USD,D,1,2025-05-16,2025-04-23 13:02:33.429192,53.2599983215332
D250516C00055000,2025-04-23 16:26:49+00:00,55.0,0.8,0.7,1.05,-0.050000012,-5.882354,100.0,2253,0.3227606787109374,False,REGULAR,USD,D,1,2025-05-16,2025-04-23 13:02:33.429192,53.2599983215332
D250516C00057500,2025-04-23 15:07:42+00:00,57.5,0.23,0.15,0.3,-0.00999999,-4.1666627,45.0,2662,0.2827220166015625,False,REGULAR,USD,D,1,2025-05-16,2025-04-23 13:02:33.429192,53.2599983215332
D250516C00060000,2025-04-23 13:56:33+00:00,60.0,0.08,0.0,0.1,0.009999998,14.285711,4.0,265,0.2919992675781249,False,REGULAR,USD,D,1,2025-05-16,2025-04-23 13:02:33.429192,53.2599983215332
D250516C00062500,2025-04-17 17:04:13+00:00,62.5,0.05,0.0,0.05,0.0,0.0,11.0,42,0.3242255078124999,False,REGULAR,USD,D,1,2025-05-16,2025-04-23 13:02:33.429192,53.2599983215332
D250516P00037500,2025-04-09 15:50:42+00:00,37.5,0.3,0.0,0.15,0.0,0.0,,1,0.6972686523437501,False,REGULAR,USD,D,0,2025-05-16,2025-04-23 13:02:33.431197,53.2599983215332
D250516P00040000,2025-04-15 16:28:16+00:00,40.0,0.05,0.0,0.2,0.0,0.0,4.0,4,0.6152382226562501,False,REGULAR,USD,D,0,2025-05-16,2025-04-23 13:02:33.431197,53.2599983215332
D250516P00042500,2025-04-22 19:30:49+00:00,42.5,0.08,0.0,0.2,0.0,0.0,2.0,2,0.5039112109375,False,REGULAR,USD,D,0,2025-05-16,2025-04-23 13:02:33.431197,53.2599983215332
D250516P00045000,2025-04-23 14:30:51+00:00,45.0,0.14,0.0,0.3,-0.060000002,-30.0,14.0,66,0.5107470800781251,False,REGULAR,USD,D,0,2025-05-16,2025-04-23 13:02:33.431197,53.2599983215332
D250516P00047500,2025-04-21 17:55:06+00:00,47.5,0.2,0.15,0.35,-0.3,-60.000004,4.0,83,0.4023497265625,False,REGULAR,USD,D,0,2025-05-16,2025-04-23 13:02:33.431197,53.2599983215332
D250516P00050000,2025-04-23 16:13:09+00:00,50.0,0.55,0.45,0.65,-0.14999998,-21.42857,12.0,5075,0.3481510498046875,False,REGULAR,USD,D,0,2025-05-16,2025-04-23 13:02:33.431197,53.2599983215332
D250516P00052500,2025-04-22 17:40:46+00:00,52.5,1.15,1.15,1.45,-0.35000002,-23.333336,13.0,6464,0.33374689697265625,False,REGULAR,USD,D,0,2025-05-16,2025-04-23 13:02:33.431197,53.2599983215332
D250516P00055000,2025-04-23 15:55:42+00:00,55.0,2.3,2.5,2.7,-0.29999995,-11.538461,2.0,209,0.3051827294921875,True,REGULAR,USD,D,0,2025-05-16,2025-04-23 13:02:33.431197,53.2599983215332
D250516P00057500,2025-04-23 15:23:05+00:00,57.5,3.9,4.3,4.5,-1.5999999,-29.090906,5.0,44,0.270515107421875,True,REGULAR,USD,D,0,2025-05-16,2025-04-23 13:02:33.431197,53.2599983215332
D250516P00060000,2025-04-09 17:16:30+00:00,60.0,10.95,6.1,7.1,0.0,0.0,2.0,1,0.40332627929687503,True,REGULAR,USD,D,0,2025-05-16,2025-04-23 13:02:33.431197,53.2599983215332
D250516P00062500,2025-04-09 14:03:41+00:00,62.5,13.3,7.8,9.9,0.0,0.0,,0,0.5932657861328126,True,REGULAR,USD,D,0,2025-05-16,2025-04-23 13:02:33.431197,53.2599983215332
D250620C00035000,2024-12-16 05:00:45+00:00,35.0,17.6,18.5,23.5,0.0,0.0,2.0,3,1.319827619628906,True,REGULAR,USD,D,1,2025-06-20,2025-04-23 13:02:33.492844,53.2599983215332
D250620C00037500,2024-12-16 05:00:45+00:00,37.5,15.58,10.6,15.0,0.0,0.0,4.0,5,1.0000000000000003e-05,True,REGULAR,USD,D,1,2025-06-20,2025-04-23 13:02:33.492844,53.2599983215332
