contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
EA250516C00095000,2025-04-07 17:45:21+00:00,95.0,41.9,48.3,49.9,0.0,0.0,,4,0.9965820654296875,True,REGULAR,USD,EA,1,2025-05-16,2025-04-23 13:02:48.175003,143.42999267578125
EA250516C00100000,2025-03-10 17:50:12+00:00,100.0,42.3,42.4,46.3,0.0,0.0,2.0,3,0.9575199560546874,True,REGULAR,USD,EA,1,2025-05-16,2025-04-23 13:02:48.175003,143.42999267578125
EA250516C00110000,2025-04-21 13:30:02+00:00,110.0,36.0,33.5,36.0,0.0,0.0,1.0,2,0.8237322314453124,True,REGULAR,USD,EA,1,2025-05-16,2025-04-23 13:02:48.175003,143.42999267578125
EA250516C00115000,2025-03-07 16:25:36+00:00,115.0,26.3,0.0,0.0,0.0,0.0,5.0,5,1.0000000000000003e-05,True,REGULAR,USD,EA,1,2025-05-16,2025-04-23 13:02:48.175003,143.42999267578125
EA250516C00125000,2025-04-17 13:45:49+00:00,125.0,20.62,19.4,21.8,0.0,0.0,3.0,54,0.6088906298828126,True,REGULAR,USD,EA,1,2025-05-16,2025-04-23 13:02:48.175003,143.42999267578125
EA250516C00130000,2025-04-22 17:34:04+00:00,130.0,17.5,15.2,17.6,0.0,0.0,1.0,160,0.5688519677734375,True,REGULAR,USD,EA,1,2025-05-16,2025-04-23 13:02:48.175003,143.42999267578125
EA250516C00135000,2025-04-17 19:52:23+00:00,135.0,13.46,11.3,11.7,0.0,0.0,2.0,1091,0.46753462158203124,True,REGULAR,USD,EA,1,2025-05-16,2025-04-23 13:02:48.175003,143.42999267578125
EA250516C00140000,2025-04-22 16:25:22+00:00,140.0,10.16,7.8,8.0,0.0,0.0,6.0,621,0.4232235412597656,True,REGULAR,USD,EA,1,2025-05-16,2025-04-23 13:02:48.175003,143.42999267578125
EA250516C00145000,2025-04-23 16:20:11+00:00,145.0,5.0,4.8,5.0,-1.6999998,-25.373133,35.0,4257,0.3898986791992188,False,REGULAR,USD,EA,1,2025-05-16,2025-04-23 13:02:48.175003,143.42999267578125
EA250516C00150000,2025-04-23 15:24:03+00:00,150.0,3.2,2.6,2.85,-0.93000007,-22.518162,15.0,8928,0.36829244995117194,False,REGULAR,USD,EA,1,2025-05-16,2025-04-23 13:02:48.175003,143.42999267578125
EA250516C00155000,2025-04-23 16:25:19+00:00,155.0,1.35,1.25,1.45,-0.8000001,-37.209305,20.0,839,0.35156898437499995,False,REGULAR,USD,EA,1,2025-05-16,2025-04-23 13:02:48.175003,143.42999267578125
EA250516C00160000,2025-04-23 16:27:01+00:00,160.0,0.63,0.55,0.7,-0.57000005,-45.967743,11.0,6571,0.3452213916015625,False,REGULAR,USD,EA,1,2025-05-16,2025-04-23 13:02:48.175003,143.42999267578125
EA250516C00165000,2025-04-22 18:40:03+00:00,165.0,0.4,0.2,0.35,0.0,0.0,14.0,84,0.34961587890624996,False,REGULAR,USD,EA,1,2025-05-16,2025-04-23 13:02:48.175003,143.42999267578125
EA250516C00170000,2025-04-15 14:44:51+00:00,170.0,0.45,0.0,0.65,0.0,0.0,1.0,8,0.46582565429687506,False,REGULAR,USD,EA,1,2025-05-16,2025-04-23 13:02:48.175003,143.42999267578125
EA250516C00175000,2025-03-26 16:37:02+00:00,175.0,0.29,0.0,0.45,0.0,0.0,,1,0.48340360351562506,False,REGULAR,USD,EA,1,2025-05-16,2025-04-23 13:02:48.175003,143.42999267578125
EA250516C00185000,2025-04-11 15:00:10+00:00,185.0,0.1,0.0,0.25,0.0,0.0,2.0,2,0.52539537109375,False,REGULAR,USD,EA,1,2025-05-16,2025-04-23 13:02:48.175003,143.42999267578125
EA250516P00085000,2025-04-15 18:45:12+00:00,85.0,0.41,0.0,0.65,0.0,0.0,,2,1.0693405908203126,False,REGULAR,USD,EA,0,2025-05-16,2025-04-23 13:02:48.176005,143.42999267578125
EA250516P00090000,2025-03-28 16:38:11+00:00,90.0,0.2,0.0,1.1,0.0,0.0,1.0,1,1.0634812451171878,False,REGULAR,USD,EA,0,2025-05-16,2025-04-23 13:02:48.176005,143.42999267578125
EA250516P00095000,2025-03-26 16:37:09+00:00,95.0,0.2,0.0,0.85,0.0,0.0,1.0,4,0.911133701171875,False,REGULAR,USD,EA,0,2025-05-16,2025-04-23 13:02:48.176005,143.42999267578125
EA250516P00100000,2025-04-22 14:20:39+00:00,100.0,0.25,0.0,0.95,0.0,0.0,1.0,204,0.8315446533203124,False,REGULAR,USD,EA,0,2025-05-16,2025-04-23 13:02:48.176005,143.42999267578125
EA250516P00105000,2025-04-22 15:08:38+00:00,105.0,0.25,0.0,0.85,0.0,0.0,100.0,109,0.7202176416015625,False,REGULAR,USD,EA,0,2025-05-16,2025-04-23 13:02:48.176005,143.42999267578125
EA250516P00110000,2025-04-21 15:01:19+00:00,110.0,0.7,0.0,1.4,0.0,0.0,3.0,321,0.7016631396484375,False,REGULAR,USD,EA,0,2025-05-16,2025-04-23 13:02:48.176005,143.42999267578125
EA250516P00115000,2025-04-22 15:50:39+00:00,115.0,0.4,0.5,0.85,-0.20000002,-33.333336,2.0,4111,0.6015664843750002,False,REGULAR,USD,EA,0,2025-05-16,2025-04-23 13:02:48.176005,143.42999267578125
EA250516P00120000,2025-04-22 18:36:34+00:00,120.0,0.85,0.7,1.25,-0.049999952,-5.5555506,1.0,1747,0.5612836840820312,False,REGULAR,USD,EA,0,2025-05-16,2025-04-23 13:02:48.176005,143.42999267578125
EA250516P00125000,2025-04-23 15:23:15+00:00,125.0,1.25,1.15,1.6,-0.049999952,-3.8461504,16.0,263,0.5170946728515625,False,REGULAR,USD,EA,0,2025-05-16,2025-04-23 13:02:48.176005,143.42999267578125
EA250516P00130000,2025-04-23 15:14:03+00:00,130.0,1.84,1.8,2.05,0.13,7.602339,10.0,2726,0.4826711889648438,False,REGULAR,USD,EA,0,2025-05-16,2025-04-23 13:02:48.176005,143.42999267578125
EA250516P00135000,2025-04-23 15:18:42+00:00,135.0,2.7,2.75,2.95,0.17000008,6.719371,11.0,6029,0.4417780432128906,False,REGULAR,USD,EA,0,2025-05-16,2025-04-23 13:02:48.176005,143.42999267578125
EA250516P00140000,2025-04-23 14:26:51+00:00,140.0,4.0,4.2,4.5,0.20000005,5.263159,9.0,1711,0.41834077758789057,False,REGULAR,USD,EA,0,2025-05-16,2025-04-23 13:02:48.176005,143.42999267578125
EA250516P00145000,2025-04-23 16:04:08+00:00,145.0,6.1,6.2,6.3,0.4000001,7.017545,14.0,1548,0.3715883154296875,True,REGULAR,USD,EA,0,2025-05-16,2025-04-23 13:02:48.176005,143.42999267578125
EA250516P00150000,2025-04-22 19:11:19+00:00,150.0,8.1,8.9,9.6,0.0,0.0,18.0,139,0.38172005004882803,True,REGULAR,USD,EA,0,2025-05-16,2025-04-23 13:02:48.176005,143.42999267578125
EA250516P00155000,2025-04-21 19:10:53+00:00,155.0,14.4,12.3,13.0,0.0,0.0,5.0,30,0.3498600170898437,True,REGULAR,USD,EA,0,2025-05-16,2025-04-23 13:02:48.176005,143.42999267578125
EA250516P00160000,2025-03-28 13:32:29+00:00,160.0,15.9,16.2,17.3,0.0,0.0,1.0,1,0.34961587890624996,True,REGULAR,USD,EA,0,2025-05-16,2025-04-23 13:02:48.176005,143.42999267578125
EA250620C00065000,2025-01-31 15:44:49+00:00,65.0,58.4,67.5,70.1,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,EA,1,2025-06-20,2025-04-23 13:02:48.268133,143.42999267578125
EA250620C00070000,2024-12-16 05:06:03+00:00,70.0,77.75,75.2,79.0,0.0,0.0,3.0,0,1.5400413623046876,True,REGULAR,USD,EA,1,2025-06-20,2025-04-23 13:02:48.268133,143.42999267578125
EA250620C00080000,2025-03-11 17:47:47+00:00,80.0,60.25,62.7,65.4,0.0,0.0,1.0,2,0.8422867333984375,True,REGULAR,USD,EA,1,2025-06-20,2025-04-23 13:02:48.268133,143.42999267578125
EA250620C00085000,2025-02-04 16:37:53+00:00,85.0,37.86,50.8,54.4,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,EA,1,2025-06-20,2025-04-23 13:02:48.268133,143.42999267578125
EA250620C00090000,2025-03-04 14:42:20+00:00,90.0,41.7,0.0,0.0,0.0,0.0,40.0,2,1.0000000000000003e-05,True,REGULAR,USD,EA,1,2025-06-20,2025-04-23 13:02:48.268133,143.42999267578125
EA250620C00095000,2025-02-05 19:45:12+00:00,95.0,36.5,44.9,48.6,0.0,0.0,1.0,2,0.49805189453125004,True,REGULAR,USD,EA,1,2025-06-20,2025-04-23 13:02:48.268133,143.42999267578125
EA250620C00100000,2025-03-28 16:06:31+00:00,100.0,46.75,44.1,45.8,0.0,0.0,1.0,29,0.6918976123046876,True,REGULAR,USD,EA,1,2025-06-20,2025-04-23 13:02:48.268133,143.42999267578125
EA250620C00105000,2025-03-17 19:44:47+00:00,105.0,40.0,0.0,0.0,0.0,0.0,6.0,28,1.0000000000000003e-05,True,REGULAR,USD,EA,1,2025-06-20,2025-04-23 13:02:48.268133,143.42999267578125
EA250620C00110000,2025-03-24 15:32:27+00:00,110.0,36.28,34.4,36.8,0.0,0.0,1.0,85,0.6090126989746094,True,REGULAR,USD,EA,1,2025-06-20,2025-04-23 13:02:48.268133,143.42999267578125
EA250620C00115000,2025-04-17 18:12:22+00:00,115.0,32.7,29.6,31.5,0.0,0.0,1.0,245,0.5300339965820313,True,REGULAR,USD,EA,1,2025-06-20,2025-04-23 13:02:48.268133,143.42999267578125
EA250620C00120000,2025-04-23 14:24:11+00:00,120.0,26.87,25.3,26.2,-0.72999954,-2.6449258,5.0,1122,0.5046436254882812,True,REGULAR,USD,EA,1,2025-06-20,2025-04-23 13:02:48.268133,143.42999267578125
EA250620C00125000,2025-04-14 17:44:23+00:00,125.0,23.4,21.0,21.8,0.0,0.0,7.0,1615,0.46570358520507815,True,REGULAR,USD,EA,1,2025-06-20,2025-04-23 13:02:48.268133,143.42999267578125
EA250620C00130000,2025-04-23 13:46:47+00:00,130.0,18.0,16.8,17.8,-1.0,-5.263158,5.0,662,0.44006907592773437,True,REGULAR,USD,EA,1,2025-06-20,2025-04-23 13:02:48.268133,143.42999267578125
EA250620C00135000,2025-04-21 14:11:12+00:00,135.0,14.15,13.0,14.0,0.0,0.0,1.0,2143,0.41144387390136716,True,REGULAR,USD,EA,1,2025-06-20,2025-04-23 13:02:48.268133,143.42999267578125
EA250620C00140000,2025-04-22 18:09:16+00:00,140.0,12.3,9.4,9.9,1.0,8.849557,1.0,1694,0.3552310571289062,True,REGULAR,USD,EA,1,2025-06-20,2025-04-23 13:02:48.268133,143.42999267578125
EA250620C00145000,2025-04-23 16:20:28+00:00,145.0,6.7,6.6,6.9,-1.5,-18.292683,38.0,2178,0.33130551513671874,False,REGULAR,USD,EA,1,2025-06-20,2025-04-23 13:02:48.268133,143.42999267578125
EA250620C00150000,2025-04-23 15:06:56+00:00,150.0,4.4,4.1,4.3,-1.9499998,-28.057552,12.0,1124,0.30225307128906254,False,REGULAR,USD,EA,1,2025-06-20,2025-04-23 13:02:48.268133,143.42999267578125
EA250620C00155000,2025-04-23 16:28:25+00:00,155.0,2.55,2.4,2.65,-1.6499999,-39.285713,17.0,953,0.2910227148437499,False,REGULAR,USD,EA,1,2025-06-20,2025-04-23 13:02:48.268133,143.42999267578125
EA250620C00160000,2025-04-23 16:10:45+00:00,160.0,1.6,1.25,1.6,-0.51999986,-24.528296,59.0,1147,0.2866282275390625,False,REGULAR,USD,EA,1,2025-06-20,2025-04-23 13:02:48.268133,143.42999267578125
EA250620C00165000,2025-04-22 14:54:50+00:00,165.0,1.15,0.7,1.1,0.0,0.0,36.0,658,0.29798065307617183,False,REGULAR,USD,EA,1,2025-06-20,2025-04-23 13:02:48.268133,143.42999267578125
EA250620C00170000,2025-04-11 16:04:13+00:00,170.0,0.75,0.35,0.65,0.0,0.0,3.0,374,0.2971261694335937,False,REGULAR,USD,EA,1,2025-06-20,2025-04-23 13:02:48.268133,143.42999267578125
