contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
EBAY250425C00045000,2025-04-23 13:52:54+00:00,45.0,21.15,21.35,21.65,-0.8900013,-4.0381184,10.0,9,1.0000000000000003e-05,True,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425C00050000,2025-04-22 14:48:15+00:00,50.0,17.07,16.45,16.7,0.0,0.0,16.0,2,1.0000000000000003e-05,True,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425C00057000,2025-04-22 17:37:45+00:00,57.0,10.05,9.15,9.75,0.0,0.0,3.0,0,0.8632826171875,True,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425C00058000,2025-04-21 15:34:05+00:00,58.0,7.7,7.1,9.6,0.0,0.0,2.0,2,1.6611345068359378,True,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425C00059000,2025-04-14 14:16:53+00:00,59.0,6.94,6.15,8.25,0.17000008,2.5110793,1.0,2,1.2793004785156248,True,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425C00060000,2025-04-22 17:26:06+00:00,60.0,7.2,5.6,7.6,0.0,0.0,1.0,8,1.3906280468749999,True,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425C00061000,2025-04-15 14:36:47+00:00,61.0,5.75,4.95,6.6,0.0,0.0,1.0,6,0.585941640625,True,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425C00062000,2025-04-07 19:20:25+00:00,62.0,2.45,4.5,4.95,0.0,0.0,,50,0.6894562304687502,True,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425C00063000,2025-04-14 15:12:30+00:00,63.0,3.74,3.15,4.65,0.0,0.0,1.0,7,0.5410202148437502,True,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425C00064000,2025-04-22 18:00:47+00:00,64.0,3.05,2.35,3.05,0.14999986,5.1724086,2.0,26,0.5312546875,True,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425C00065000,2025-04-23 15:11:05+00:00,65.0,2.05,1.68,2.14,-0.47000003,-18.650795,5.0,131,0.45117736328125,True,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425C00066000,2025-04-23 15:47:16+00:00,66.0,0.91,0.91,1.5,-0.6399999,-41.290318,38.0,93,0.46191944335937507,True,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425C00067000,2025-04-23 16:28:21+00:00,67.0,0.54,0.48,0.69,-0.46999997,-46.53465,66.0,146,0.34180345703125,False,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425C00068000,2025-04-23 16:01:43+00:00,68.0,0.3,0.2,0.38,-0.119999975,-28.571423,519.0,168,0.36035795898437495,False,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425C00069000,2025-04-22 18:03:46+00:00,69.0,0.2,0.08,0.27,-0.019999996,-9.090907,1.0,82,0.42188078125,False,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425C00070000,2025-04-23 16:27:19+00:00,70.0,0.06,0.05,0.08,-0.06999999,-58.333332,10.0,1505,0.37305314453125,False,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425C00071000,2025-04-22 19:58:49+00:00,71.0,0.01,0.0,0.56,-0.080000006,-88.88889,4.0,36,0.6347692773437501,False,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425C00072000,2025-04-23 13:55:24+00:00,72.0,0.02,0.01,0.23,0.0,0.0,10.0,33,0.5800823242187501,False,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425C00073000,2025-04-03 15:05:46+00:00,73.0,0.53,0.0,0.75,0.0,0.0,2.0,8,0.8906260937499999,False,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425C00074000,2025-03-13 15:39:24+00:00,74.0,0.68,0.0,1.54,0.0,0.0,,1,1.2460975195312498,False,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425C00075000,2025-04-08 13:57:49+00:00,75.0,0.07,0.0,0.75,0.0,0.0,3.0,9,1.0664109179687502,False,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425C00076000,2025-04-21 18:38:12+00:00,76.0,0.01,0.0,0.75,0.0,0.0,1.0,2,1.150394873046875,False,REGULAR,USD,EBAY,1,2025-04-25,2025-04-23 13:02:44.822938,66.70999908447266
EBAY250425P00055000,2025-04-08 18:26:47+00:00,55.0,0.94,0.0,0.75,0.0,0.0,,36,1.6015644921874999,False,REGULAR,USD,EBAY,0,2025-04-25,2025-04-23 13:02:44.823941,66.70999908447266
EBAY250425P00056000,2025-04-08 19:15:26+00:00,56.0,1.59,0.0,0.75,0.0,0.0,,55,1.486330693359375,False,REGULAR,USD,EBAY,0,2025-04-25,2025-04-23 13:02:44.823941,66.70999908447266
