contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ECL250516C00200000,2025-04-08 19:51:39+00:00,200.0,29.5,35.6,39.5,0.0,0.0,1.0,2,0.5600629931640625,True,REGULAR,USD,ECL,1,2025-05-16,2025-04-23 13:02:46.168028,237.75999450683594
ECL250516C00220000,2025-04-21 19:55:32+00:00,220.0,15.7,17.4,21.1,0.0,0.0,238.0,104,0.4169369830322265,True,REGULAR,USD,ECL,1,2025-05-16,2025-04-23 13:02:46.168028,237.75999450683594
ECL250516C00230000,2025-04-09 15:37:03+00:00,230.0,9.6,10.7,12.2,0.0,0.0,,11,0.3221503332519531,True,REGULAR,USD,ECL,1,2025-05-16,2025-04-23 13:02:46.168028,237.75999450683594
ECL250516C00240000,2025-04-23 15:19:21+00:00,240.0,6.04,4.6,6.4,0.34000015,5.9649153,3.0,451,0.30560997131347656,False,REGULAR,USD,ECL,1,2025-05-16,2025-04-23 13:02:46.168028,237.75999450683594
ECL250516C00250000,2025-04-22 19:05:54+00:00,250.0,2.3,1.05,2.85,0.0,0.0,18.0,1424,0.2974923767089843,False,REGULAR,USD,ECL,1,2025-05-16,2025-04-23 13:02:46.168028,237.75999450683594
ECL250516C00260000,2025-04-21 17:50:05+00:00,260.0,0.55,0.05,2.2,0.0,0.0,8.0,209,0.3707338317871094,False,REGULAR,USD,ECL,1,2025-05-16,2025-04-23 13:02:46.168028,237.75999450683594
ECL250516C00270000,2025-04-21 15:46:01+00:00,270.0,0.2,0.0,1.65,0.0,0.0,2.0,64,0.42456630126953127,False,REGULAR,USD,ECL,1,2025-05-16,2025-04-23 13:02:46.168028,237.75999450683594
ECL250516C00280000,2025-04-04 15:35:29+00:00,280.0,1.04,0.0,1.45,0.0,0.0,1.0,175,0.48828636718750007,False,REGULAR,USD,ECL,1,2025-05-16,2025-04-23 13:02:46.168028,237.75999450683594
ECL250516C00290000,2025-04-15 15:29:36+00:00,290.0,1.4,0.0,1.35,0.0,0.0,10.0,13,0.5518843640136719,False,REGULAR,USD,ECL,1,2025-05-16,2025-04-23 13:02:46.168028,237.75999450683594
ECL250516P00135000,2025-04-08 18:38:52+00:00,135.0,0.75,0.0,0.6,0.0,0.0,,1,1.0459032080078128,False,REGULAR,USD,ECL,0,2025-05-16,2025-04-23 13:02:46.171036,237.75999450683594
ECL250516P00140000,2025-04-08 17:27:12+00:00,140.0,0.35,0.0,1.4,0.0,0.0,,2,1.1308637207031251,False,REGULAR,USD,ECL,0,2025-05-16,2025-04-23 13:02:46.171036,237.75999450683594
ECL250516P00190000,2025-04-08 14:37:20+00:00,190.0,1.45,0.0,1.75,0.0,0.0,,2,0.5751995605468749,False,REGULAR,USD,ECL,0,2025-05-16,2025-04-23 13:02:46.171036,237.75999450683594
