contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ED250516C00050000,2025-01-13 19:25:40+00:00,50.0,38.3,43.3,47.2,0.0,0.0,,15,1.0000000000000003e-05,True,REGULAR,USD,ED,1,2025-05-16,2025-04-23 13:01:58.887528,111.87249755859375
ED250516C00080000,2025-03-28 17:17:53+00:00,80.0,29.71,31.3,34.1,0.0,0.0,1.0,2,0.9340826904296875,True,REGULAR,USD,ED,1,2025-05-16,2025-04-23 13:01:58.887528,111.87249755859375
ED250516C00082500,2025-01-06 19:08:07+00:00,82.5,8.2,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,ED,1,2025-05-16,2025-04-23 13:01:58.887528,111.87249755859375
ED250516C00085000,2025-02-18 19:32:23+00:00,85.0,11.43,21.3,25.9,0.0,0.0,3.0,16,1.0000000000000003e-05,True,REGULAR,USD,ED,1,2025-05-16,2025-04-23 13:01:58.887528,111.87249755859375
ED250516C00087500,2025-03-03 20:26:50+00:00,87.5,17.48,0.0,0.0,0.0,0.0,4.0,17,1.0000000000000003e-05,True,REGULAR,USD,ED,1,2025-05-16,2025-04-23 13:01:58.887528,111.87249755859375
ED250516C00090000,2025-03-19 15:18:43+00:00,90.0,17.8,20.6,24.3,0.0,0.0,6.0,113,0.6074258007812501,True,REGULAR,USD,ED,1,2025-05-16,2025-04-23 13:01:58.887528,111.87249755859375
ED250516C00092500,2025-04-14 18:02:41+00:00,92.5,20.2,18.8,21.3,0.0,0.0,2.0,53,0.5708050732421875,True,REGULAR,USD,ED,1,2025-05-16,2025-04-23 13:01:58.887528,111.87249755859375
ED250516C00095000,2025-04-22 17:08:40+00:00,95.0,17.94,16.9,18.8,0.0,0.0,2.0,1006,0.5668988623046876,True,REGULAR,USD,ED,1,2025-05-16,2025-04-23 13:01:58.887528,111.87249755859375
ED250516C00097500,2025-04-22 19:02:07+00:00,97.5,15.7,14.6,16.0,0.0,0.0,4.0,220,0.5996133789062501,True,REGULAR,USD,ED,1,2025-05-16,2025-04-23 13:01:58.887528,111.87249755859375
ED250516C00100000,2025-04-22 17:44:41+00:00,100.0,12.6,12.1,13.3,0.0,0.0,10.0,565,0.5004932763671875,True,REGULAR,USD,ED,1,2025-05-16,2025-04-23 13:01:58.887528,111.87249755859375
ED250516C00105000,2025-04-22 16:57:47+00:00,105.0,7.8,7.0,8.0,-0.5799999,-6.92124,84.0,1497,0.32080757324218745,True,REGULAR,USD,ED,1,2025-05-16,2025-04-23 13:01:58.887528,111.87249755859375
