contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
EFX250516C00160000,2025-04-07 13:31:28+00:00,160.0,48.0,87.2,90.4,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,EFX,1,2025-05-16,2025-04-23 13:02:56.360857,251.1999969482422
EFX250516C00165000,2025-04-07 14:10:50+00:00,165.0,50.0,82.3,85.4,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,EFX,1,2025-05-16,2025-04-23 13:02:56.360857,251.1999969482422
EFX250516C00185000,2025-04-04 13:36:20+00:00,185.0,40.0,62.8,65.2,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,EFX,1,2025-05-16,2025-04-23 13:02:56.360857,251.1999969482422
EFX250516C00200000,2025-04-15 14:15:45+00:00,200.0,31.13,48.0,50.5,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,EFX,1,2025-05-16,2025-04-23 13:02:56.360857,251.1999969482422
EFX250516C00210000,2025-04-22 13:39:01+00:00,210.0,32.0,38.4,41.2,0.0,0.0,1.0,53,1.0000000000000003e-05,True,REGULAR,USD,EFX,1,2025-05-16,2025-04-23 13:02:56.360857,251.1999969482422
EFX250516C00220000,2025-04-22 17:29:08+00:00,220.0,25.8,28.3,31.4,0.0,0.0,8.0,35,0.27637442382812494,True,REGULAR,USD,EFX,1,2025-05-16,2025-04-23 13:02:56.360857,251.1999969482422
EFX250516C00230000,2025-04-22 16:50:50+00:00,230.0,24.1,20.6,22.4,3.6000004,17.560978,2.0,29,0.30322962402343745,True,REGULAR,USD,EFX,1,2025-05-16,2025-04-23 13:02:56.360857,251.1999969482422
EFX250516C00240000,2025-04-23 14:16:08+00:00,240.0,16.97,13.0,14.2,4.5199995,36.305218,5.0,70,0.2893137475585937,True,REGULAR,USD,EFX,1,2025-05-16,2025-04-23 13:02:56.360857,251.1999969482422
EFX250516C00250000,2025-04-23 16:32:21+00:00,250.0,7.75,7.1,8.4,0.6500001,9.923666,21.0,76,0.30371790039062496,True,REGULAR,USD,EFX,1,2025-05-16,2025-04-23 13:02:56.360857,251.1999969482422
EFX250516C00260000,2025-04-23 16:31:06+00:00,260.0,3.4,3.2,3.7,0.0,0.0,17.0,120,0.27802235656738283,False,REGULAR,USD,EFX,1,2025-05-16,2025-04-23 13:02:56.360857,251.1999969482422
EFX250516C00270000,2025-04-22 18:38:31+00:00,270.0,1.8,1.1,1.6,0.39999998,28.571426,2.0,27,0.28357650024414055,False,REGULAR,USD,EFX,1,2025-05-16,2025-04-23 13:02:56.360857,251.1999969482422
EFX250516C00280000,2025-04-23 14:46:03+00:00,280.0,0.75,0.3,0.7,0.19,33.92857,6.0,30,0.29688203124999996,False,REGULAR,USD,EFX,1,2025-05-16,2025-04-23 13:02:56.360857,251.1999969482422
EFX250516P00145000,2025-04-21 19:58:07+00:00,145.0,0.05,0.0,0.5,0.0,0.0,11.0,12,0.98437515625,False,REGULAR,USD,EFX,0,2025-05-16,2025-04-23 13:02:56.361859,251.1999969482422
EFX250516P00150000,2025-04-21 19:28:10+00:00,150.0,0.45,0.0,0.1,0.0,0.0,2.0,7,0.76367423828125,False,REGULAR,USD,EFX,0,2025-05-16,2025-04-23 13:02:56.361859,251.1999969482422
EFX250516P00155000,2025-04-21 19:29:27+00:00,155.0,0.5,0.0,0.5,0.0,0.0,1.0,12,0.87695435546875,False,REGULAR,USD,EFX,0,2025-05-16,2025-04-23 13:02:56.361859,251.1999969482422
EFX250516P00160000,2025-04-23 16:24:34+00:00,160.0,0.1,0.0,0.2,-0.7,-87.5,2.0,10,0.7304714453125,False,REGULAR,USD,EFX,0,2025-05-16,2025-04-23 13:02:56.361859,251.1999969482422
EFX250516P00170000,2025-04-22 16:12:10+00:00,170.0,0.21,0.0,1.15,0.0,0.0,63.0,53,0.8305681005859374,False,REGULAR,USD,EFX,0,2025-05-16,2025-04-23 13:02:56.361859,251.1999969482422
EFX250516P00175000,2025-04-21 19:30:38+00:00,175.0,1.77,0.0,0.9,0.0,0.0,15.0,34,0.745119736328125,False,REGULAR,USD,EFX,0,2025-05-16,2025-04-23 13:02:56.361859,251.1999969482422
EFX250516P00185000,2025-04-23 13:52:59+00:00,185.0,0.32,0.15,0.7,0.01999998,6.66666,2.0,37,0.6391637646484375,False,REGULAR,USD,EFX,0,2025-05-16,2025-04-23 13:02:56.361859,251.1999969482422
EFX250516P00190000,2025-04-22 13:40:26+00:00,190.0,0.1,0.0,0.75,-1.11,-91.735535,1.0,56,0.5786174951171875,False,REGULAR,USD,EFX,0,2025-05-16,2025-04-23 13:02:56.361859,251.1999969482422
EFX250516P00195000,2025-04-22 18:14:27+00:00,195.0,0.9,0.0,0.75,0.0,0.0,13.0,13,0.5327195166015625,False,REGULAR,USD,EFX,0,2025-05-16,2025-04-23 13:02:56.361859,251.1999969482422
EFX250516P00200000,2025-04-23 13:42:54+00:00,200.0,0.4,0.05,0.7,-0.48999998,-55.056175,2.0,126,0.549076774902344,False,REGULAR,USD,EFX,0,2025-05-16,2025-04-23 13:02:56.361859,251.1999969482422
EFX250516P00210000,2025-04-23 13:47:17+00:00,210.0,0.56,0.55,0.8,-0.59,-51.304344,21.0,1671,0.46533737792968755,False,REGULAR,USD,EFX,0,2025-05-16,2025-04-23 13:02:56.361859,251.1999969482422
EFX250516P00220000,2025-04-23 16:25:20+00:00,220.0,1.3,1.05,1.4,-0.70000005,-35.000004,61.0,155,0.42615319946289065,False,REGULAR,USD,EFX,0,2025-05-16,2025-04-23 13:02:56.361859,251.1999969482422
EFX250516P00230000,2025-04-23 15:50:03+00:00,230.0,2.53,2.25,2.6,-0.6700001,-20.937502,21.0,1196,0.3963683410644532,False,REGULAR,USD,EFX,0,2025-05-16,2025-04-23 13:02:56.361859,251.1999969482422
EFX250516P00240000,2025-04-23 16:14:10+00:00,240.0,4.3,3.8,4.6,-1.7999997,-29.508192,112.0,76,0.3635317553710938,False,REGULAR,USD,EFX,0,2025-05-16,2025-04-23 13:02:56.361859,251.1999969482422
EFX250516P00250000,2025-04-23 16:30:49+00:00,250.0,8.4,8.0,8.4,-1.9100008,-18.087128,56.0,1003,0.35071450073242183,False,REGULAR,USD,EFX,0,2025-05-16,2025-04-23 13:02:56.361859,251.1999969482422
EFX250516P00260000,2025-04-22 16:29:12+00:00,260.0,15.06,13.3,15.1,0.0,0.0,2.0,2,0.38635867553710934,True,REGULAR,USD,EFX,0,2025-05-16,2025-04-23 13:02:56.361859,251.1999969482422
EFX250718C00145000,2025-02-06 20:13:11+00:00,145.0,106.91,109.9,114.5,0.0,0.0,,2,1.001958115234375,True,REGULAR,USD,EFX,1,2025-07-18,2025-04-23 13:02:56.432043,251.1999969482422
EFX250718C00170000,2024-11-20 20:35:19+00:00,170.0,82.7,108.0,112.2,0.0,0.0,,1,1.5443748367309569,True,REGULAR,USD,EFX,1,2025-07-18,2025-04-23 13:02:56.432043,251.1999969482422
EFX250718C00195000,2024-12-13 17:19:08+00:00,195.0,75.0,85.4,87.8,0.0,0.0,2.0,2,1.2669714385986326,True,REGULAR,USD,EFX,1,2025-07-18,2025-04-23 13:02:56.432043,251.1999969482422
EFX250718C00210000,2025-03-03 15:02:25+00:00,210.0,42.5,0.0,0.0,0.0,0.0,1.0,5,1.0000000000000003e-05,True,REGULAR,USD,EFX,1,2025-07-18,2025-04-23 13:02:56.432043,251.1999969482422
EFX250718C00220000,2025-04-23 13:30:09+00:00,220.0,36.66,34.1,37.1,21.26,138.05196,1.0,5,0.37531142272949214,True,REGULAR,USD,EFX,1,2025-07-18,2025-04-23 13:02:56.432043,251.1999969482422
