contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
EG250516C00250000,2025-04-10 17:02:12+00:00,250.0,94.2,104.5,107.2,0.0,0.0,,1,0.7778342529296876,True,REGULAR,USD,EG,1,2025-05-16,2025-04-23 13:03:00.802022,356.29998779296875
EG250516C00260000,2025-04-09 17:20:41+00:00,260.0,77.9,94.1,97.4,0.0,0.0,,1,0.7321804125976561,True,REGULAR,USD,EG,1,2025-05-16,2025-04-23 13:03:00.802022,356.29998779296875
EG250516C00300000,2025-03-20 15:53:55+00:00,300.0,60.4,52.0,55.3,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,EG,1,2025-05-16,2025-04-23 13:03:00.802022,356.29998779296875
EG250516C00320000,2025-04-01 17:43:19+00:00,320.0,47.58,37.5,40.6,0.0,0.0,,1,0.476567734375,True,REGULAR,USD,EG,1,2025-05-16,2025-04-23 13:03:00.802022,356.29998779296875
EG250516C00340000,2025-04-16 15:35:31+00:00,340.0,22.45,21.5,24.5,0.0,0.0,1.0,3,0.42023284851074216,True,REGULAR,USD,EG,1,2025-05-16,2025-04-23 13:03:00.802022,356.29998779296875
EG250516C00350000,2025-04-22 17:05:00+00:00,350.0,15.99,15.1,17.8,0.0,0.0,1.0,10,0.3996031719970704,True,REGULAR,USD,EG,1,2025-05-16,2025-04-23 13:03:00.802022,356.29998779296875
EG250516C00360000,2025-04-23 14:53:52+00:00,360.0,12.4,9.1,12.3,1.4200001,12.932606,1.0,21,0.38422246643066404,False,REGULAR,USD,EG,1,2025-05-16,2025-04-23 13:03:00.802022,356.29998779296875
EG250516C00370000,2025-04-22 15:57:03+00:00,370.0,5.4,5.1,7.8,0.0,0.0,5.0,26,0.36524072265625,False,REGULAR,USD,EG,1,2025-05-16,2025-04-23 13:03:00.802022,356.29998779296875
EG250516C00380000,2025-04-22 18:36:17+00:00,380.0,2.92,1.75,4.6,0.0,0.0,9.0,21,0.3507755352783203,False,REGULAR,USD,EG,1,2025-05-16,2025-04-23 13:03:00.802022,356.29998779296875
EG250516C00390000,2025-04-22 16:02:35+00:00,390.0,1.5,0.15,2.85,0.0,0.0,10.0,23,0.354376573486328,False,REGULAR,USD,EG,1,2025-05-16,2025-04-23 13:03:00.802022,356.29998779296875
EG250516C00400000,2025-04-22 19:43:59+00:00,400.0,0.75,0.0,1.25,0.0,0.0,6.0,7,0.32947447875976554,False,REGULAR,USD,EG,1,2025-05-16,2025-04-23 13:03:00.802022,356.29998779296875
EG250516C00410000,2025-04-16 18:14:30+00:00,410.0,0.4,0.0,0.75,0.0,0.0,1.0,7,0.3394841442871094,False,REGULAR,USD,EG,1,2025-05-16,2025-04-23 13:03:00.802022,356.29998779296875
EG250516P00230000,2025-04-09 17:21:48+00:00,230.0,1.0,0.0,1.45,0.0,0.0,,1,0.8984385156249999,False,REGULAR,USD,EG,0,2025-05-16,2025-04-23 13:03:00.803025,356.29998779296875
EG250516P00250000,2025-04-09 13:30:03+00:00,250.0,2.65,0.05,0.75,0.0,0.0,,1,0.6787141503906251,False,REGULAR,USD,EG,0,2025-05-16,2025-04-23 13:03:00.803025,356.29998779296875
EG250516P00280000,2025-04-07 19:30:13+00:00,280.0,4.2,0.5,2.3,0.0,0.0,1.0,1,0.6184120190429689,False,REGULAR,USD,EG,0,2025-05-16,2025-04-23 13:03:00.803025,356.29998779296875
EG250516P00290000,2025-04-21 18:31:53+00:00,290.0,2.49,0.15,2.4,0.0,0.0,1.0,3,0.5338181384277343,False,REGULAR,USD,EG,0,2025-05-16,2025-04-23 13:03:00.803025,356.29998779296875
EG250516P00300000,2025-04-10 15:01:47+00:00,300.0,3.85,0.35,3.0,0.0,0.0,2.0,5,0.5814250842285156,False,REGULAR,USD,EG,0,2025-05-16,2025-04-23 13:03:00.803025,356.29998779296875
EG250516P00310000,2025-04-09 18:41:20+00:00,310.0,1.0,1.05,3.6,-6.2,-86.111115,4.0,7,0.5306443420410156,False,REGULAR,USD,EG,0,2025-05-16,2025-04-23 13:03:00.803025,356.29998779296875
EG250516P00320000,2025-04-17 18:07:06+00:00,320.0,4.27,2.2,4.0,0.0,0.0,1.0,3,0.46368944519042965,False,REGULAR,USD,EG,0,2025-05-16,2025-04-23 13:03:00.803025,356.29998779296875
EG250516P00330000,2025-04-21 13:39:25+00:00,330.0,6.2,4.0,7.0,0.0,0.0,1.0,14,0.4852346398925781,False,REGULAR,USD,EG,0,2025-05-16,2025-04-23 13:03:00.803025,356.29998779296875
EG250516P00340000,2025-04-17 14:21:00+00:00,340.0,10.4,6.7,9.4,0.0,0.0,13.0,16,0.4570977142333985,False,REGULAR,USD,EG,0,2025-05-16,2025-04-23 13:03:00.803025,356.29998779296875
EG250516P00350000,2025-04-17 16:20:15+00:00,350.0,13.7,9.5,11.8,0.0,0.0,2.0,333,0.4081480084228516,False,REGULAR,USD,EG,0,2025-05-16,2025-04-23 13:03:00.803025,356.29998779296875
EG250516P00360000,2025-04-15 14:23:48+00:00,360.0,13.6,14.2,17.0,-3.4499989,-20.234598,1.0,5,0.41174904663085937,True,REGULAR,USD,EG,0,2025-05-16,2025-04-23 13:03:00.803025,356.29998779296875
EG250516P00370000,2025-04-09 17:20:41+00:00,370.0,40.0,18.9,22.3,0.0,0.0,1.0,1,0.38861695373535154,True,REGULAR,USD,EG,0,2025-05-16,2025-04-23 13:03:00.803025,356.29998779296875
EG250516P00400000,2025-04-07 13:40:10+00:00,400.0,79.5,43.9,47.1,0.0,0.0,,0,0.44110666320800784,True,REGULAR,USD,EG,0,2025-05-16,2025-04-23 13:03:00.803025,356.29998779296875
