contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
EIX250516C00045000,2025-04-16 17:00:03+00:00,45.0,12.4,12.7,13.3,0.0,0.0,1.0,3,0.6757844921875001,True,REGULAR,USD,EIX,1,2025-05-16,2025-04-23 13:02:46.957229,58.02000045776367
EIX250516C00047500,2025-04-07 18:24:15+00:00,47.5,8.0,10.2,10.7,0.0,0.0,,3,0.5048877636718749,True,REGULAR,USD,EIX,1,2025-05-16,2025-04-23 13:02:46.957229,58.02000045776367
EIX250516C00050000,2025-04-21 18:31:15+00:00,50.0,6.5,7.6,8.4,0.0,0.0,2.0,22,0.485356708984375,True,REGULAR,USD,EIX,1,2025-05-16,2025-04-23 13:02:46.957229,58.02000045776367
EIX250516C00052500,2025-04-14 15:43:42+00:00,52.5,6.07,5.9,6.3,0.0,0.0,10.0,135,0.47559118164062497,True,REGULAR,USD,EIX,1,2025-05-16,2025-04-23 13:02:46.957229,58.02000045776367
EIX250516C00055000,2025-04-23 13:39:50+00:00,55.0,4.3,3.7,4.2,0.50000024,13.157901,10.0,268,0.414068359375,True,REGULAR,USD,EIX,1,2025-05-16,2025-04-23 13:02:46.957229,58.02000045776367
EIX250516C00057500,2025-04-22 19:45:30+00:00,57.5,3.0,2.2,2.55,0.5,20.0,21.0,1692,0.38623660644531244,True,REGULAR,USD,EIX,1,2025-05-16,2025-04-23 13:02:46.957229,58.02000045776367
EIX250516C00060000,2025-04-23 15:59:55+00:00,60.0,1.25,1.3,1.35,-0.08000004,-6.0150404,52.0,569,0.3645083081054688,False,REGULAR,USD,EIX,1,2025-05-16,2025-04-23 13:02:46.957229,58.02000045776367
EIX250516C00062500,2025-04-23 15:04:49+00:00,62.5,0.65,0.5,0.65,0.120000005,22.64151,67.0,662,0.35742830078125,False,REGULAR,USD,EIX,1,2025-05-16,2025-04-23 13:02:46.957229,58.02000045776367
EIX250516C00065000,2025-04-23 15:56:11+00:00,65.0,0.25,0.1,0.25,0.049999997,24.999998,28.0,340,0.34278000976562495,False,REGULAR,USD,EIX,1,2025-05-16,2025-04-23 13:02:46.957229,58.02000045776367
EIX250516C00067500,2025-04-22 19:54:16+00:00,67.5,0.05,0.0,0.45,0.0,0.0,5.0,13,0.49414568359375005,False,REGULAR,USD,EIX,1,2025-05-16,2025-04-23 13:02:46.957229,58.02000045776367
EIX250516C00070000,2025-04-21 15:48:00+00:00,70.0,0.04,0.0,1.3,0.0,0.0,15.0,371,0.6381872119140625,False,REGULAR,USD,EIX,1,2025-05-16,2025-04-23 13:02:46.957229,58.02000045776367
EIX250516P00037500,2025-04-11 13:50:39+00:00,37.5,0.2,0.0,0.3,0.0,0.0,,2,0.9335944140625,False,REGULAR,USD,EIX,0,2025-05-16,2025-04-23 13:02:46.959213,58.02000045776367
EIX250516P00040000,2025-04-11 13:49:13+00:00,40.0,0.35,0.0,0.35,0.0,0.0,,22,0.8378922460937499,False,REGULAR,USD,EIX,0,2025-05-16,2025-04-23 13:02:46.959213,58.02000045776367
EIX250516P00045000,2025-04-22 19:24:57+00:00,45.0,0.15,0.1,0.3,0.0,0.0,20.0,198,0.6269568554687501,False,REGULAR,USD,EIX,0,2025-05-16,2025-04-23 13:02:46.959213,58.02000045776367
EIX250516P00047500,2025-04-22 18:39:04+00:00,47.5,0.2,0.1,0.45,0.0,0.0,2.0,231,0.5576216113281252,False,REGULAR,USD,EIX,0,2025-05-16,2025-04-23 13:02:46.959213,58.02000045776367
EIX250516P00050000,2025-04-22 16:18:18+00:00,50.0,0.28,0.15,0.4,-0.06999999,-19.999998,1.0,530,0.4931691308593751,False,REGULAR,USD,EIX,0,2025-05-16,2025-04-23 13:02:46.959213,58.02000045776367
EIX250516P00052500,2025-04-23 15:41:04+00:00,52.5,0.56,0.55,0.65,-0.13999999,-19.999998,2.0,365,0.442388388671875,False,REGULAR,USD,EIX,0,2025-05-16,2025-04-23 13:02:46.959213,58.02000045776367
EIX250516P00055000,2025-04-23 14:38:02+00:00,55.0,0.95,0.9,1.25,-0.25000006,-20.833338,34.0,216,0.4279842358398438,False,REGULAR,USD,EIX,0,2025-05-16,2025-04-23 13:02:46.959213,58.02000045776367
EIX250516P00057500,2025-04-23 15:01:02+00:00,57.5,1.85,1.9,2.1,-0.5300001,-22.26891,3.0,150,0.3979552392578125,False,REGULAR,USD,EIX,0,2025-05-16,2025-04-23 13:02:46.959213,58.02000045776367
EIX250516P00060000,2025-04-23 14:18:41+00:00,60.0,3.08,3.0,3.5,-0.46000004,-12.994351,2.0,118,0.39453730468750003,True,REGULAR,USD,EIX,0,2025-05-16,2025-04-23 13:02:46.959213,58.02000045776367
EIX250516P00062500,2025-04-03 13:59:13+00:00,62.5,4.7,5.0,5.2,-0.3000002,-6.000004,1.0,25,0.37305314453125,True,REGULAR,USD,EIX,0,2025-05-16,2025-04-23 13:02:46.959213,58.02000045776367
EIX250620C00052500,2025-04-17 17:29:58+00:00,52.5,7.21,6.4,7.0,0.0,0.0,2.0,2,0.4050352465820312,True,REGULAR,USD,EIX,1,2025-06-20,2025-04-23 13:02:47.014387,58.02000045776367
EIX250620C00057500,2025-04-22 19:38:51+00:00,57.5,3.6,3.3,3.8,0.0,0.0,10.0,76,0.38184211914062494,True,REGULAR,USD,EIX,1,2025-06-20,2025-04-23 13:02:47.014387,58.02000045776367
EIX250620C00060000,2025-04-23 15:23:02+00:00,60.0,2.45,2.0,2.5,0.029999971,1.2396683,47.0,120,0.35938140625,False,REGULAR,USD,EIX,1,2025-06-20,2025-04-23 13:02:47.014387,58.02000045776367
EIX250620C00062500,2025-04-23 13:30:03+00:00,62.5,1.3,0.75,1.4,-0.110000014,-7.80142,17.0,27,0.32569033691406246,False,REGULAR,USD,EIX,1,2025-06-20,2025-04-23 13:02:47.014387,58.02000045776367
EIX250620P00057500,2025-04-22 19:51:35+00:00,57.5,2.63,2.35,2.9,-0.41999984,-13.770487,25.0,35,0.34058276611328125,False,REGULAR,USD,EIX,0,2025-06-20,2025-04-23 13:02:47.015384,58.02000045776367
EIX250718C00030000,2025-03-17 14:49:03+00:00,30.0,29.0,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00035000,2025-04-07 14:11:03+00:00,35.0,18.7,22.2,24.9,0.0,0.0,9.0,10,0.7202176416015625,True,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00037500,2025-02-11 20:16:27+00:00,37.5,14.81,19.5,20.3,0.0,0.0,200.0,29,1.0000000000000003e-05,True,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00040000,2025-02-21 18:05:49+00:00,40.0,13.0,0.0,0.0,0.0,0.0,58.0,63,1.0000000000000003e-05,True,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00042500,2025-03-27 15:44:02+00:00,42.5,15.2,15.0,16.3,0.0,0.0,7.0,93,0.543949873046875,True,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00045000,2025-04-08 15:25:27+00:00,45.0,11.0,12.6,13.9,0.0,0.0,7.0,111,0.48633326171875,True,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00047500,2025-04-04 19:50:30+00:00,47.5,8.46,10.8,11.6,0.0,0.0,4.0,344,0.44214425048828127,True,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00050000,2025-04-11 19:57:08+00:00,50.0,9.5,9.0,9.5,0.5799999,6.502241,2.0,314,0.4165097412109374,True,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00052500,2025-04-14 18:53:13+00:00,52.5,7.8,7.0,7.4,0.0,0.0,15.0,996,0.3776917700195312,True,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00055000,2025-04-21 19:40:47+00:00,55.0,4.6,5.2,5.7,0.0,0.0,14.0,1795,0.3648745153808594,True,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00057500,2025-04-23 16:14:57+00:00,57.5,4.0,3.5,4.2,-0.3000002,-6.9767485,2.0,801,0.3501041552734374,True,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00060000,2025-04-23 15:26:10+00:00,60.0,2.9,2.3,2.95,0.10000014,3.5714338,13.0,3879,0.33618827880859375,False,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00062500,2025-04-22 15:31:39+00:00,62.5,1.97,0.4,1.95,0.0,0.0,5.0,1053,0.3220282641601562,False,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00065000,2025-04-22 18:35:35+00:00,65.0,1.25,0.7,1.25,0.0,0.0,5.0,1548,0.31372756591796874,False,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00067500,2025-04-22 17:59:42+00:00,67.5,0.7,0.25,0.75,0.0,0.0,4.0,871,0.304694453125,False,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00070000,2025-04-22 15:23:27+00:00,70.0,0.45,0.2,0.45,0.0,0.0,2.0,2307,0.301764794921875,False,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00072500,2025-04-22 16:28:22+00:00,72.5,0.3,0.0,0.25,0.0,0.0,20.0,1025,0.2963937548828125,False,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00075000,2025-04-22 13:50:38+00:00,75.0,0.18,0.0,0.35,0.0,0.0,15.0,1608,0.35547519531249994,False,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00077500,2025-03-10 18:49:32+00:00,77.5,0.45,0.05,0.75,0.0,0.0,1.0,513,0.4687553125,False,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00080000,2025-04-08 14:01:07+00:00,80.0,0.09,0.0,0.45,0.0,0.0,9.0,242,0.44434149414062496,False,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00082500,2025-04-07 18:44:00+00:00,82.5,0.3,0.0,0.3,0.0,0.0,1.0,279,0.43604079589843747,False,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00085000,2025-04-07 15:18:51+00:00,85.0,0.25,0.0,0.75,0.0,0.0,2.0,128,0.5688519677734375,False,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00087500,2025-04-16 19:15:13+00:00,87.5,0.3,0.0,1.3,0.0,0.0,3.0,42,0.5786174951171875,False,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00090000,2025-04-09 19:51:45+00:00,90.0,0.1,0.0,0.2,0.0,0.0,1.0,1198,0.4804739453125,False,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00095000,2025-01-21 20:06:50+00:00,95.0,0.05,0.0,0.15,0.0,0.0,1.0,1435,0.5029346582031251,False,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00100000,2025-01-24 15:05:21+00:00,100.0,0.07,0.0,0.9,0.0,0.0,1.0,165,0.65820654296875,False,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00120000,2025-01-16 18:16:22+00:00,120.0,0.54,0.0,0.75,0.0,0.0,,2,0.7934590966796875,False,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718C00125000,2025-01-16 18:16:22+00:00,125.0,0.51,0.0,0.75,0.0,0.0,2.0,2,0.8276384423828124,False,REGULAR,USD,EIX,1,2025-07-18,2025-04-23 13:02:47.076542,58.02000045776367
EIX250718P00027500,2025-04-08 16:40:16+00:00,27.5,0.15,0.0,1.35,0.0,0.0,2.0,29,1.0605515722656251,False,REGULAR,USD,EIX,0,2025-07-18,2025-04-23 13:02:47.079552,58.02000045776367
EIX250718P00030000,2025-04-09 17:09:21+00:00,30.0,0.3,0.0,0.75,0.0,0.0,1.0,393,0.8359391406249999,False,REGULAR,USD,EIX,0,2025-07-18,2025-04-23 13:02:47.079552,58.02000045776367
EIX250718P00032500,2025-04-04 14:50:08+00:00,32.5,0.62,0.0,1.35,0.0,0.0,1.0,18,0.8564467480468749,False,REGULAR,USD,EIX,0,2025-07-18,2025-04-23 13:02:47.079552,58.02000045776367
EIX250718P00035000,2025-04-11 18:55:43+00:00,35.0,0.4,0.0,1.4,0.0,0.0,1.0,329,0.7719749365234375,False,REGULAR,USD,EIX,0,2025-07-18,2025-04-23 13:02:47.079552,58.02000045776367
EIX250718P00037500,2025-04-09 19:36:29+00:00,37.5,0.45,0.0,0.75,0.0,0.0,1.0,186,0.5888712988281251,False,REGULAR,USD,EIX,0,2025-07-18,2025-04-23 13:02:47.079552,58.02000045776367
EIX250718P00040000,2025-04-21 14:46:31+00:00,40.0,0.47,0.0,0.55,0.0,0.0,1.0,264,0.567387138671875,False,REGULAR,USD,EIX,0,2025-07-18,2025-04-23 13:02:47.079552,58.02000045776367
EIX250718P00042500,2025-04-21 14:46:31+00:00,42.5,0.65,0.3,0.7,0.0,0.0,1.0,429,0.5273484765625001,False,REGULAR,USD,EIX,0,2025-07-18,2025-04-23 13:02:47.079552,58.02000045776367
EIX250718P00045000,2025-04-23 14:34:51+00:00,45.0,0.55,0.4,0.7,-0.49999994,-47.61904,2.0,3225,0.45313046875,False,REGULAR,USD,EIX,0,2025-07-18,2025-04-23 13:02:47.079552,58.02000045776367
EIX250718P00047500,2025-04-21 19:30:47+00:00,47.5,0.85,0.65,0.9,-0.54999995,-39.285713,2.0,613,0.41431249755859373,False,REGULAR,USD,EIX,0,2025-07-18,2025-04-23 13:02:47.079552,58.02000045776367
EIX250718P00050000,2025-04-21 19:34:02+00:00,50.0,1.3,1.1,1.35,-0.85000014,-39.53489,1.0,2065,0.40039662109375,False,REGULAR,USD,EIX,0,2025-07-18,2025-04-23 13:02:47.079552,58.02000045776367
