contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ELV250516C00330000,2025-03-25 18:39:13+00:00,330.0,96.4,96.7,104.4,0.0,0.0,,1,0.6552768847656252,True,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516C00340000,2025-04-17 13:32:33+00:00,340.0,61.8,86.2,94.6,0.0,0.0,1.0,1,0.5816692224121094,True,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516C00390000,2025-04-21 19:37:52+00:00,390.0,25.9,39.6,45.7,0.0,0.0,1.0,3,0.4935353381347657,True,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516C00400000,2025-04-22 18:24:26+00:00,400.0,35.35,33.0,36.0,13.369999,60.828022,5.0,64,0.42340664489746094,True,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516C00410000,2025-04-23 15:18:17+00:00,410.0,27.25,25.0,26.9,9.549999,53.954796,8.0,106,0.36463037719726565,True,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516C00420000,2025-04-22 19:44:06+00:00,420.0,18.0,17.9,19.5,5.8,47.540985,17.0,447,0.33624931335449215,True,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516C00430000,2025-04-23 15:42:11+00:00,430.0,12.9,10.9,13.2,5.5999994,76.71232,21.0,184,0.3124153231811523,False,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516C00440000,2025-04-23 16:22:25+00:00,440.0,8.0,7.7,8.4,3.5,77.77778,52.0,953,0.29703461761474603,False,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516C00450000,2025-04-23 16:16:46+00:00,450.0,4.8,4.5,5.0,2.4500003,104.25533,29.0,174,0.2866892620849609,False,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516C00460000,2025-04-23 15:43:40+00:00,460.0,2.48,1.7,2.9,1.28,106.666664,26.0,463,0.28375960388183585,False,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516C00470000,2025-04-23 16:11:20+00:00,470.0,1.35,1.2,1.5,0.63,87.5,29.0,86,0.27735097656249996,False,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516C00480000,2025-04-23 15:29:10+00:00,480.0,0.7,0.65,0.9,0.29999998,74.99999,4.0,105,0.28577374389648436,False,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516C00490000,2025-04-23 16:30:41+00:00,490.0,0.35,0.35,0.55,-0.050000012,-11.904764,6.0,167,0.2951730639648437,False,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516C00500000,2025-04-22 17:22:07+00:00,500.0,0.24,0.2,1.0,0.08,50.0,1.0,122,0.37134417724609375,False,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516C00510000,2025-04-21 19:24:14+00:00,510.0,0.4,0.1,1.0,0.0,0.0,5.0,9,0.40820904296875,False,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516C00520000,2025-04-22 18:25:48+00:00,520.0,0.35,0.0,2.5,0.0,0.0,2.0,20,0.5429733203125001,False,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516C00540000,2025-04-22 13:36:49+00:00,540.0,0.05,0.0,0.95,0.0,0.0,2.0,41,0.5061084545898438,False,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516C00550000,2025-04-23 14:16:35+00:00,550.0,0.06,0.05,0.25,-0.24000001,-80.0,6.0,46,0.436529072265625,False,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516C00570000,2025-04-02 15:06:58+00:00,570.0,0.3,0.0,1.65,0.0,0.0,2.0,4,0.5847209497070311,False,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516C00580000,2025-03-27 15:01:25+00:00,580.0,0.45,0.0,4.8,0.0,0.0,,3,0.7506128454589844,False,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516C00620000,2025-04-22 13:44:00+00:00,620.0,0.05,0.0,0.05,0.0,0.0,1.0,96,0.5117236328125,False,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516C00650000,2025-04-17 13:36:32+00:00,650.0,0.1,0.0,4.8,0.0,0.0,2.0,2,0.9576420251464843,False,REGULAR,USD,ELV,1,2025-05-16,2025-04-23 13:02:48.898590,428.94000244140625
ELV250516P00240000,2025-04-22 13:37:08+00:00,240.0,0.05,0.0,3.0,0.0,0.0,1.0,11,1.2636755566406248,False,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00260000,2025-04-22 14:16:54+00:00,260.0,0.1,0.0,1.0,0.0,0.0,2.0,4,0.9262702685546875,False,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00270000,2025-04-21 19:49:02+00:00,270.0,0.41,0.0,4.7,0.0,0.0,2.0,3,1.1364789270019533,False,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00310000,2025-04-22 15:25:15+00:00,310.0,0.24,0.1,1.0,0.08999999,59.999992,1.0,52,0.6425816992187501,False,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00320000,2025-04-22 16:59:03+00:00,320.0,0.35,0.05,0.7,0.0,0.0,44.0,52,0.5537154003906251,False,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00330000,2025-04-22 18:55:33+00:00,330.0,0.25,0.25,0.45,-0.19999999,-44.444443,2.0,28,0.5173388110351562,False,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00340000,2025-04-22 19:43:34+00:00,340.0,0.5,0.0,0.45,0.0,0.0,31.0,80,0.46631393066406257,False,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00350000,2025-04-22 18:30:57+00:00,350.0,0.64,0.5,0.9,-0.19,-22.891567,2.0,239,0.4721732470703125,False,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00360000,2025-04-23 14:30:02+00:00,360.0,0.8,0.55,1.0,-0.33999997,-29.824558,1.0,104,0.4271297521972657,False,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00370000,2025-04-22 17:10:05+00:00,370.0,0.9,0.9,1.2,-1.1999999,-57.142857,2.0,196,0.3880676428222656,False,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00380000,2025-04-23 14:40:35+00:00,380.0,1.35,1.35,1.6,-1.3000001,-49.056602,8.0,153,0.3570620935058594,False,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00390000,2025-04-23 14:56:52+00:00,390.0,2.1,1.4,6.8,-3.04,-59.14397,4.0,370,0.49487809814453126,False,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00400000,2025-04-23 16:15:28+00:00,400.0,3.46,3.5,3.9,-4.44,-56.20253,5.0,392,0.32581240600585937,False,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00410000,2025-04-23 16:15:28+00:00,410.0,5.4,4.8,5.9,-3.9999995,-42.55319,4.0,125,0.30951618225097655,False,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00420000,2025-04-23 15:57:00+00:00,420.0,8.34,7.6,8.8,-5.76,-40.851063,8.0,96,0.29431858032226554,False,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00430000,2025-04-23 14:59:15+00:00,430.0,12.2,12.5,13.7,-11.3,-48.085106,1.0,97,0.2997201376342773,True,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00440000,2025-04-22 14:54:56+00:00,440.0,29.7,17.3,18.5,0.0,0.0,2.0,67,0.2741466629028321,True,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00450000,2025-04-21 14:22:17+00:00,450.0,40.68,22.6,25.8,0.0,0.0,26.0,30,0.2795482202148437,True,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00460000,2025-04-23 14:45:51+00:00,460.0,31.3,28.5,34.3,-14.700001,-31.956524,1.0,14,0.2955392712402344,True,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00470000,2025-04-17 13:44:35+00:00,470.0,64.15,38.4,43.8,0.0,0.0,1.0,8,0.33130551513671874,True,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00480000,2025-04-17 14:33:42+00:00,480.0,51.0,47.6,54.4,-0.6899986,-1.3348784,2.0,0,0.4050352465820312,True,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00490000,2025-04-14 15:20:24+00:00,490.0,58.65,56.4,65.5,7.1500015,13.883497,3.0,0,0.4961598236083985,True,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00500000,2025-04-08 15:32:05+00:00,500.0,62.0,66.5,73.7,0.0,0.0,1.0,0,0.46759565612792964,True,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250516P00510000,2025-04-17 14:41:35+00:00,510.0,84.52,76.5,85.1,0.0,0.0,1.0,0,0.5737347314453125,True,REGULAR,USD,ELV,0,2025-05-16,2025-04-23 13:02:48.899593,428.94000244140625
ELV250620C00210000,2025-01-27 14:44:02+00:00,210.0,204.02,184.0,193.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,ELV,1,2025-06-20,2025-04-23 13:02:49.009877,428.94000244140625
ELV250620C00250000,2024-12-16 05:10:14+00:00,250.0,244.0,162.4,168.0,0.0,0.0,2.0,16,1.0000000000000003e-05,True,REGULAR,USD,ELV,1,2025-06-20,2025-04-23 13:02:49.009877,428.94000244140625
ELV250620C00270000,2024-12-16 05:10:14+00:00,270.0,282.94,178.0,187.2,0.0,0.0,1.0,1,1.4539211874389646,True,REGULAR,USD,ELV,1,2025-06-20,2025-04-23 13:02:49.009877,428.94000244140625
ELV250620C00290000,2025-01-10 20:28:32+00:00,290.0,101.53,99.2,109.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,ELV,1,2025-06-20,2025-04-23 13:02:49.009877,428.94000244140625
ELV250620C00300000,2025-03-12 16:03:08+00:00,300.0,119.77,138.1,148.0,0.0,0.0,1.0,3,0.9871827453613282,True,REGULAR,USD,ELV,1,2025-06-20,2025-04-23 13:02:49.009877,428.94000244140625
ELV250620C00310000,2024-12-16 05:10:14+00:00,310.0,123.7,82.0,91.8,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,ELV,1,2025-06-20,2025-04-23 13:02:49.009877,428.94000244140625
ELV250620C00320000,2025-01-28 19:13:41+00:00,320.0,93.3,81.5,85.7,0.0,0.0,2.0,4,1.0000000000000003e-05,True,REGULAR,USD,ELV,1,2025-06-20,2025-04-23 13:02:49.009877,428.94000244140625
ELV250620C00330000,2025-03-25 19:36:53+00:00,330.0,96.54,97.3,106.4,0.0,0.0,1.0,5,0.6320837573242188,True,REGULAR,USD,ELV,1,2025-06-20,2025-04-23 13:02:49.009877,428.94000244140625
ELV250620C00340000,2025-04-03 18:44:35+00:00,340.0,115.0,88.1,95.7,0.0,0.0,1.0,5,0.5612836840820312,True,REGULAR,USD,ELV,1,2025-06-20,2025-04-23 13:02:49.009877,428.94000244140625
ELV250620C00350000,2025-03-25 14:18:46+00:00,350.0,83.0,79.4,86.0,0.0,0.0,3.0,25,0.5193529510498047,True,REGULAR,USD,ELV,1,2025-06-20,2025-04-23 13:02:49.009877,428.94000244140625
ELV250620C00360000,2025-04-17 14:24:48+00:00,360.0,58.62,69.8,76.9,0.0,0.0,1.0,8,0.49121602539062503,True,REGULAR,USD,ELV,1,2025-06-20,2025-04-23 13:02:49.009877,428.94000244140625
ELV250620C00370000,2025-04-17 19:05:48+00:00,370.0,62.3,62.0,65.4,0.0,0.0,2.0,41,0.40607283386230464,True,REGULAR,USD,ELV,1,2025-06-20,2025-04-23 13:02:49.009877,428.94000244140625
ELV250620C00380000,2025-04-15 17:14:47+00:00,380.0,67.25,52.4,56.6,0.0,0.0,1.0,105,0.38339850006103515,True,REGULAR,USD,ELV,1,2025-06-20,2025-04-23 13:02:49.009877,428.94000244140625
ELV250620C00390000,2025-04-17 15:20:35+00:00,390.0,43.1,43.1,48.8,0.0,0.0,1.0,222,0.37476211181640623,True,REGULAR,USD,ELV,1,2025-06-20,2025-04-23 13:02:49.009877,428.94000244140625
ELV250620C00400000,2025-04-22 18:38:52+00:00,400.0,28.0,36.7,41.1,0.0,0.0,45.0,302,0.359808648071289,True,REGULAR,USD,ELV,1,2025-06-20,2025-04-23 13:02:49.009877,428.94000244140625
ELV250620C00410000,2025-04-23 13:33:21+00:00,410.0,26.8,30.2,32.4,4.0,17.54386,1.0,99,0.3216010223388671,True,REGULAR,USD,ELV,1,2025-06-20,2025-04-23 13:02:49.009877,428.94000244140625
ELV250620C00420000,2025-04-23 15:06:32+00:00,420.0,24.95,25.0,26.4,7.550001,43.390812,11.0,510,0.31796946685791017,True,REGULAR,USD,ELV,1,2025-06-20,2025-04-23 13:02:49.009877,428.94000244140625
ELV250620C00430000,2025-04-22 13:30:02+00:00,430.0,19.5,19.3,20.4,7.1499996,57.89473,2.0,594,0.30393152130126955,False,REGULAR,USD,ELV,1,2025-06-20,2025-04-23 13:02:49.009877,428.94000244140625
ELV250620C00440000,2025-04-23 15:45:13+00:00,440.0,14.4,14.2,15.1,5.7,65.51724,34.0,420,0.2892832302856445,False,REGULAR,USD,ELV,1,2025-06-20,2025-04-23 13:02:49.009877,428.94000244140625
ELV250620C00450000,2025-04-23 15:20:56+00:00,450.0,11.1,10.2,11.1,5.59,101.451904,47.0,426,0.28220322296142575,False,REGULAR,USD,ELV,1,2025-06-20,2025-04-23 13:02:49.009877,428.94000244140625
