contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
EL250425C00043000,2025-04-11 15:00:03+00:00,43.0,10.2,13.45,14.6,0.0,0.0,,27,1.7265638671875,True,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00045000,2025-03-13 18:41:43+00:00,45.0,21.19,9.45,12.9,0.0,0.0,,3,2.0273486816406248,True,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00046000,2025-04-07 13:56:13+00:00,46.0,7.25,10.7,12.2,0.0,0.0,,1,2.2187544531249994,True,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00047000,2025-04-07 15:22:10+00:00,47.0,7.45,9.0,10.85,0.0,0.0,,3,1.68359533203125,True,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00048000,2025-04-11 14:00:14+00:00,48.0,6.45,8.4,10.4,0.0,0.0,,2,2.0839891650390623,True,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00049000,2025-04-08 17:38:25+00:00,49.0,5.3,7.6,9.3,0.0,0.0,,8,1.8398445507812498,True,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00050000,2025-04-21 15:01:13+00:00,50.0,9.26,6.55,7.85,5.8100004,168.40582,1.0,108,1.2793004785156248,True,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00051000,2025-04-23 14:56:03+00:00,51.0,7.63,5.65,7.05,3.08,67.69231,10.0,18,1.3281283593749997,True,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00052000,2025-04-21 15:54:15+00:00,52.0,2.05,4.55,6.15,0.0,0.0,4.0,57,1.2568396533203123,True,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00053000,2025-04-22 19:30:37+00:00,53.0,3.05,3.75,4.5,0.0,0.0,23.0,186,1.0000000000000003e-05,True,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00054000,2025-04-23 14:56:03+00:00,54.0,4.67,3.25,3.6,2.21,89.837395,5.0,96,0.500005,True,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00055000,2025-04-23 13:54:26+00:00,55.0,4.1,2.39,2.63,2.27,124.043724,32.0,81,0.41797457031249996,True,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00056000,2025-04-23 15:00:33+00:00,56.0,2.32,1.7,1.88,0.93999994,68.11594,22.0,159,0.45898978515625005,True,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00057000,2025-04-22 17:20:26+00:00,57.0,1.27,1.07,1.4,0.47999996,60.759487,7.0,190,0.5459029785156251,True,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00058000,2025-04-23 14:52:43+00:00,58.0,0.79,0.68,0.78,0.120000005,17.910448,66.0,359,0.48242705078125003,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00059000,2025-04-23 16:03:58+00:00,59.0,0.39,0.39,0.49,0.089999974,29.999989,31.0,249,0.5107470800781251,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00060000,2025-04-23 16:24:25+00:00,60.0,0.22,0.14,0.27,0.049999997,29.411762,143.0,261,0.514653291015625,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00061000,2025-04-23 14:18:11+00:00,61.0,0.28,0.08,0.18,0.2,250.0,13.0,276,0.507817421875,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00062000,2025-04-23 15:51:19+00:00,62.0,0.07,0.03,0.31,0.010000002,16.66667,13.0,44,0.6523472265625001,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00063000,2025-04-23 13:34:11+00:00,63.0,0.13,0.0,0.1,-0.65,-83.333336,6.0,58,0.5742230078125,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00064000,2025-04-17 16:06:53+00:00,64.0,0.01,0.0,0.1,0.0,0.0,5.0,39,0.6523472265625001,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00065000,2025-04-23 14:18:28+00:00,65.0,0.03,0.01,0.04,0.0,0.0,3.0,298,0.648441015625,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00066000,2025-04-17 16:45:14+00:00,66.0,0.01,0.0,0.16,0.0,0.0,3.0,18,0.8710950390625,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00067000,2025-04-22 19:34:16+00:00,67.0,0.02,0.0,0.65,0.0,0.0,4.0,79,1.2890660546875,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00068000,2025-04-14 14:36:10+00:00,68.0,0.21,0.0,0.5,0.0,0.0,1.0,12,1.291019169921875,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00069000,2025-04-14 14:04:07+00:00,69.0,0.2,0.0,0.7,0.0,0.0,5.0,120,1.4921900390624998,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00070000,2025-04-14 15:18:40+00:00,70.0,0.01,0.0,0.5,-0.09,-90.0,1.0,64,1.455080849609375,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00071000,2025-04-08 18:35:02+00:00,71.0,0.09,0.0,0.65,0.0,0.0,16.0,131,1.6289081054687498,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00072000,2025-04-15 15:51:34+00:00,72.0,0.05,0.0,1.27,0.0,0.0,4.0,46,2.031254921875,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00073000,2025-04-10 13:30:05+00:00,73.0,0.72,0.0,1.27,0.0,0.0,17.0,37,2.1152390869140625,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00074000,2025-04-10 16:08:30+00:00,74.0,0.1,0.0,1.27,0.0,0.0,2.0,37,2.1992232519531245,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00075000,2025-04-17 16:03:59+00:00,75.0,0.05,0.0,0.27,0.0,0.0,1.0,4642,1.62109564453125,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00076000,2025-04-08 16:44:32+00:00,76.0,0.07,0.0,0.95,0.0,0.0,1.0,3,2.189457651367187,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00077000,2025-04-01 15:59:54+00:00,77.0,0.39,0.0,1.27,0.0,0.0,1.0,4,2.4355507861328123,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00078000,2025-03-25 14:00:41+00:00,78.0,0.45,0.0,0.45,0.0,0.0,3.0,4,1.9882813085937499,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00080000,2025-04-15 15:53:37+00:00,80.0,0.04,0.0,0.05,0.0,0.0,1.0,167,1.5156274218749999,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00081000,2025-04-01 17:47:29+00:00,81.0,0.11,0.0,1.1,0.0,0.0,,3,2.6328159179687503,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00082000,2025-04-03 14:02:01+00:00,82.0,0.37,0.0,0.95,0.0,0.0,2.0,7,2.6113315966796877,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00083000,2025-03-18 19:55:51+00:00,83.0,0.41,0.0,0.65,0.0,0.0,,4,2.468753828125,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00084000,2025-04-14 17:34:47+00:00,84.0,0.05,0.0,1.1,0.0,0.0,1.0,3,2.832034169921875,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425C00085000,2025-04-14 18:29:51+00:00,85.0,0.01,0.0,0.05,0.0,0.0,2.0,27,1.75000125,False,REGULAR,USD,EL,1,2025-04-25,2025-04-23 13:02:59.642353,57.505001068115234
EL250425P00039500,2025-04-21 19:17:12+00:00,39.5,0.01,0.0,0.02,0.0,0.0,20.0,22,1.5937520312499998,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00040000,2025-04-17 13:38:41+00:00,40.0,0.05,0.0,0.03,0.0,0.0,1.0,1,1.625001875,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00041000,2025-04-07 17:37:48+00:00,41.0,0.84,0.0,1.1,0.0,0.0,,2,2.8398466503906246,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00042000,2025-04-15 15:11:44+00:00,42.0,0.14,0.0,0.03,0.0,0.0,2.0,34,1.421877890625,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00043000,2025-04-15 14:05:56+00:00,43.0,0.26,0.0,0.95,0.0,0.0,,1,2.4277383056640627,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00043500,2025-04-15 16:47:41+00:00,43.5,0.18,0.0,1.15,0.0,0.0,,1,2.4785194287109373,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00044000,2025-04-15 18:24:11+00:00,44.0,0.21,0.0,1.27,0.0,0.0,2.0,3,2.468753828125,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00045000,2025-04-22 16:52:51+00:00,45.0,0.03,0.0,0.03,0.0,0.0,5.0,86,1.140629296875,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00046000,2025-04-22 18:32:46+00:00,46.0,0.01,0.0,0.23,0.0,0.0,3.0,143,1.4296903515625,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00046500,2025-04-17 15:41:19+00:00,46.5,0.21,0.0,0.04,0.0,0.0,3.0,48,1.0312548437500002,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00047000,2025-04-21 16:51:19+00:00,47.0,0.12,0.0,1.27,0.0,0.0,203.0,223,2.0058643603515627,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00047500,2025-04-22 14:23:06+00:00,47.5,0.05,0.0,1.27,0.0,0.0,18.0,19,1.9296878515625,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00048000,2025-04-22 19:30:15+00:00,48.0,0.04,0.0,1.27,0.0,0.0,34.0,100,1.853516357421875,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00048500,2025-04-22 16:55:06+00:00,48.5,0.06,0.01,0.05,0.0,0.0,2.0,3,0.9062509375,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00049000,2025-04-23 14:13:55+00:00,49.0,0.05,0.0,0.35,0.0,0.0,16.0,203,1.19141029296875,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00049500,2025-04-22 16:10:54+00:00,49.5,0.09,0.0,1.1,0.0,0.0,1.0,62,1.5507834960937497,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00050000,2025-04-23 15:25:29+00:00,50.0,0.04,0.0,0.11,-0.060000002,-60.0,2.0,418,0.8437515624999999,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00051000,2025-04-22 16:12:24+00:00,51.0,0.13,0.01,0.35,0.0,0.0,4.0,240,0.9589847851562499,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00052000,2025-04-22 15:47:38+00:00,52.0,0.3,0.05,0.16,0.0,0.0,1.0,165,0.73633076171875,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00053000,2025-04-22 19:25:58+00:00,53.0,0.11,0.11,0.25,-0.26,-70.27027,1.0,638,0.71679970703125,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00054000,2025-04-23 14:36:48+00:00,54.0,0.12,0.14,0.28,-0.57,-82.608696,12.0,289,0.62305064453125,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00055000,2025-04-23 15:26:27+00:00,55.0,0.32,0.34,0.46,-0.71999997,-69.230774,32.0,147,0.629886513671875,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00056000,2025-04-23 13:51:54+00:00,56.0,0.73,0.66,0.74,-0.72,-49.65517,5.0,161,0.6425816992187501,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00057000,2025-04-23 13:42:12+00:00,57.0,0.47,1.02,1.33,-1.73,-78.63636,1.0,64,0.6826203613281252,False,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00058000,2025-04-23 15:25:09+00:00,58.0,1.18,1.52,1.89,-3.0700002,-72.2353,3.0,139,0.6914093359375001,True,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00059000,2025-04-23 15:25:09+00:00,59.0,2.4,2.13,2.45,-0.53999996,-18.367346,13.0,214,0.6738313867187502,True,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00060000,2025-04-22 15:28:43+00:00,60.0,4.62,2.99,3.35,0.0,0.0,1.0,66,0.7656273437500001,True,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00061000,2025-04-14 18:14:47+00:00,61.0,5.8,3.55,4.5,0.0,0.0,1.0,43,0.8164080859374999,True,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00062000,2025-04-22 14:56:57+00:00,62.0,7.1,4.0,5.65,0.0,0.0,1.0,24,0.7949239257812499,True,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00063000,2025-04-21 17:21:49+00:00,63.0,9.37,5.7,6.65,0.0,0.0,2.0,8,1.1640666796875,True,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00064000,2025-04-17 16:00:45+00:00,64.0,9.5,6.7,7.4,0.0,0.0,5.0,9,1.19141029296875,True,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00065000,2025-04-14 18:12:04+00:00,65.0,9.48,7.8,8.65,0.0,0.0,3.0,20,1.4287137939453123,True,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00066000,2025-04-09 18:40:12+00:00,66.0,10.23,7.65,9.35,0.0,0.0,1.0,3,0.5937540625000001,True,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00067000,2025-04-09 17:22:42+00:00,67.0,15.37,9.9,10.65,0.0,0.0,5.0,8,1.6796891015625,True,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00068000,2025-04-21 14:05:42+00:00,68.0,14.6,9.75,11.7,0.0,0.0,2.0,4,1.2656286718749998,True,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00069000,2025-04-03 19:41:24+00:00,69.0,10.6,10.65,12.55,0.0,0.0,1.0,0,1.1484417578125,True,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
EL250425P00070000,2025-04-14 14:28:25+00:00,70.0,11.83,11.7,13.5,0.0,0.0,2.0,0,1.21875390625,True,REGULAR,USD,EL,0,2025-04-25,2025-04-23 13:02:59.643355,57.505001068115234
