contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
EMR250425C00088000,2025-04-07 17:43:27+00:00,88.0,11.5,13.3,16.0,0.0,0.0,,1,1.7578137109375,True,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00095000,2025-04-21 15:05:32+00:00,95.0,2.7,6.7,9.2,0.0,0.0,1.0,3,0.6718782812500002,True,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00098000,2025-04-21 18:59:11+00:00,98.0,0.88,4.4,4.8,0.0,0.0,3.0,26,0.3789124609375,True,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00099000,2025-04-22 16:01:01+00:00,99.0,1.7,3.4,4.3,0.0,0.0,1.0,11,0.534184345703125,True,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00100000,2025-04-22 17:21:58+00:00,100.0,6.12,2.85,3.5,5.37,716.0,10.0,55,0.5127001855468749,True,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00101000,2025-04-22 15:19:06+00:00,101.0,0.75,2.2,2.5,0.0,0.0,3.0,71,0.415044912109375,True,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00102000,2025-04-23 16:01:22+00:00,102.0,2.15,1.65,2.05,1.5000001,230.76926,2.0,11,0.45898978515625005,True,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00103000,2025-04-23 13:58:03+00:00,103.0,1.7,1.05,1.4,1.6,1599.9996,71.0,96,0.4204159521484375,False,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00104000,2025-04-21 19:25:58+00:00,104.0,0.25,0.65,1.5,0.0,0.0,1.0,5,0.5625043750000001,False,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00105000,2025-04-23 13:59:34+00:00,105.0,2.1,0.45,0.75,1.9599999,1400.0,14.0,73,0.44336494140625,False,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00106000,2025-04-22 19:20:42+00:00,106.0,0.6,0.25,0.55,0.19000003,46.34147,4.0,95,0.45898978515625005,False,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00107000,2025-04-23 13:50:16+00:00,107.0,1.1,0.0,0.45,1.01,1122.2218,110.0,15,0.49414568359375005,False,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00108000,2025-04-23 14:00:02+00:00,108.0,0.76,0.0,0.5,0.37,94.871796,172.0,10,0.5830119824218749,False,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00110000,2025-04-11 13:30:06+00:00,110.0,1.39,0.0,0.7,0.0,0.0,,1,0.63867548828125,False,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00111000,2025-03-31 16:40:27+00:00,111.0,2.14,0.0,1.85,0.0,0.0,,1,0.95507857421875,False,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00114000,2025-04-14 18:44:16+00:00,114.0,1.2,0.0,2.2,0.0,0.0,1.0,0,1.2197304638671875,False,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00115000,2025-04-22 18:28:11+00:00,115.0,0.05,0.0,1.35,0.0,0.0,31.0,36,1.09375453125,False,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00116000,2025-03-31 14:47:21+00:00,116.0,0.05,0.0,2.25,0.0,0.0,3.0,4,1.3540071362304684,False,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00118000,2025-03-26 15:00:25+00:00,118.0,2.29,0.0,2.1,0.0,0.0,5.0,6,1.439455927734375,False,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00120000,2025-03-19 18:31:56+00:00,120.0,0.85,0.0,4.8,0.0,0.0,12.0,13,2.0839891650390623,False,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00125000,2025-03-12 19:54:14+00:00,125.0,1.45,0.0,2.2,0.0,0.0,,1,1.8398445507812498,False,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00126000,2025-03-24 16:43:01+00:00,126.0,0.25,0.0,1.5,0.0,0.0,,12,1.701173369140625,False,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425C00130000,2025-03-10 13:56:21+00:00,130.0,0.3,0.0,2.2,0.0,0.0,,1,2.0830126049804685,False,REGULAR,USD,EMR,1,2025-04-25,2025-04-23 13:02:50.144056,102.66000366210938
EMR250425P00076000,2025-04-14 17:36:11+00:00,76.0,0.21,0.0,1.05,0.0,0.0,,1,2.2187544531249994,False,REGULAR,USD,EMR,0,2025-04-25,2025-04-23 13:02:50.146061,102.66000366210938
EMR250425P00084000,2025-04-22 15:01:29+00:00,84.0,0.05,0.0,1.3,0.0,0.0,1.0,22,1.701173369140625,False,REGULAR,USD,EMR,0,2025-04-25,2025-04-23 13:02:50.146061,102.66000366210938
EMR250425P00090000,2025-04-04 18:18:42+00:00,90.0,3.1,0.0,1.1,0.0,0.0,4.0,2,1.185550947265625,False,REGULAR,USD,EMR,0,2025-04-25,2025-04-23 13:02:50.146061,102.66000366210938
EMR250425P00093000,2025-04-22 17:09:07+00:00,93.0,0.13,0.0,1.3,0.0,0.0,6.0,9,1.015629921875,False,REGULAR,USD,EMR,0,2025-04-25,2025-04-23 13:02:50.146061,102.66000366210938
EMR250425P00095000,2025-04-16 14:03:56+00:00,95.0,1.3,0.0,2.2,0.0,0.0,8.0,8,1.0498094384765626,False,REGULAR,USD,EMR,0,2025-04-25,2025-04-23 13:02:50.146061,102.66000366210938
EMR250425P00096000,2025-04-21 15:44:03+00:00,96.0,1.95,0.15,0.3,0.0,0.0,3.0,35,0.5634809277343751,False,REGULAR,USD,EMR,0,2025-04-25,2025-04-23 13:02:50.146061,102.66000366210938
EMR250425P00097000,2025-04-21 16:15:10+00:00,97.0,2.4,0.25,0.4,0.0,0.0,13.0,21,0.5546919531250001,False,REGULAR,USD,EMR,0,2025-04-25,2025-04-23 13:02:50.146061,102.66000366210938
EMR250425P00099000,2025-04-22 19:11:52+00:00,99.0,1.1,0.5,0.65,0.0,0.0,7.0,30,0.5097705273437501,False,REGULAR,USD,EMR,0,2025-04-25,2025-04-23 13:02:50.146061,102.66000366210938
EMR250425P00100000,2025-04-21 19:51:39+00:00,100.0,4.55,0.45,1.2,0.0,0.0,5.0,8,0.507817421875,False,REGULAR,USD,EMR,0,2025-04-25,2025-04-23 13:02:50.146061,102.66000366210938
EMR250425P00101000,2025-04-21 19:57:29+00:00,101.0,5.09,0.95,1.45,0.0,0.0,4.0,5,0.5205126074218749,False,REGULAR,USD,EMR,0,2025-04-25,2025-04-23 13:02:50.146061,102.66000366210938
EMR250425P00105000,2025-04-23 13:43:07+00:00,105.0,0.85,2.7,4.0,-3.9500003,-82.29167,20.0,0,0.5224657128906249,True,REGULAR,USD,EMR,0,2025-04-25,2025-04-23 13:02:50.146061,102.66000366210938
EMR250425P00107000,2025-04-04 13:45:56+00:00,107.0,12.55,3.1,5.7,0.0,0.0,2.0,0,0.8051777294921875,True,REGULAR,USD,EMR,0,2025-04-25,2025-04-23 13:02:50.146061,102.66000366210938
EMR250425P00108000,2025-04-07 14:06:29+00:00,108.0,15.18,5.0,6.6,0.0,0.0,3.0,0,0.5659223095703125,True,REGULAR,USD,EMR,0,2025-04-25,2025-04-23 13:02:50.146061,102.66000366210938
EMR250425P00110000,2025-04-11 18:16:22+00:00,110.0,9.65,6.2,9.0,0.0,0.0,1.0,0,0.58789474609375,True,REGULAR,USD,EMR,0,2025-04-25,2025-04-23 13:02:50.146061,102.66000366210938
EMR250425P00115000,2025-04-11 18:16:22+00:00,115.0,14.36,10.8,13.8,0.0,0.0,1.0,0,1.423831005859375,True,REGULAR,USD,EMR,0,2025-04-25,2025-04-23 13:02:50.146061,102.66000366210938
EMR250425P00116000,2025-03-24 15:22:41+00:00,116.0,2.5,12.1,14.5,0.0,0.0,,0,1.3686555004882814,True,REGULAR,USD,EMR,0,2025-04-25,2025-04-23 13:02:50.146061,102.66000366210938
EMR250425P00119000,2025-03-25 19:36:05+00:00,119.0,5.4,15.1,17.7,0.0,0.0,,0,0.79687703125,True,REGULAR,USD,EMR,0,2025-04-25,2025-04-23 13:02:50.146061,102.66000366210938
EMR250425P00124000,2025-03-11 14:14:45+00:00,124.0,12.79,21.1,26.0,0.0,0.0,,0,2.2548871752929687,True,REGULAR,USD,EMR,0,2025-04-25,2025-04-23 13:02:50.146061,102.66000366210938
EMR250502C00099000,2025-04-21 18:05:39+00:00,99.0,1.41,4.0,6.0,0.0,0.0,7.0,9,0.585941640625,True,REGULAR,USD,EMR,1,2025-05-02,2025-04-23 13:02:50.202182,102.66000366210938
EMR250502C00100000,2025-04-22 19:34:02+00:00,100.0,2.36,3.7,4.3,0.0,0.0,5.0,6,0.414068359375,True,REGULAR,USD,EMR,1,2025-05-02,2025-04-23 13:02:50.202182,102.66000366210938
EMR250502C00102000,2025-04-14 15:21:00+00:00,102.0,3.26,2.4,2.85,0.0,0.0,1.0,2,0.37085590087890624,True,REGULAR,USD,EMR,1,2025-05-02,2025-04-23 13:02:50.202182,102.66000366210938
EMR250502C00103000,2025-04-23 16:25:51+00:00,103.0,2.05,1.9,2.45,0.5899999,40.410954,23.0,3,0.3852600537109374,False,REGULAR,USD,EMR,1,2025-05-02,2025-04-23 13:02:50.202182,102.66000366210938
EMR250502C00104000,2025-04-23 16:21:45+00:00,104.0,1.7,1.5,1.8,1.1500001,209.09094,10.0,11,0.35352208984374994,False,REGULAR,USD,EMR,1,2025-05-02,2025-04-23 13:02:50.202182,102.66000366210938
EMR250502C00105000,2025-04-23 14:25:25+00:00,105.0,2.85,1.05,1.5,2.25,375.00006,7.0,10,0.36426416992187505,False,REGULAR,USD,EMR,1,2025-05-02,2025-04-23 13:02:50.202182,102.66000366210938
EMR250502C00106000,2025-04-21 15:40:01+00:00,106.0,1.6,0.7,1.65,1.45,966.6668,1.0,28,0.4401911450195312,False,REGULAR,USD,EMR,1,2025-05-02,2025-04-23 13:02:50.202182,102.66000366210938
EMR250502C00109000,2025-03-31 15:48:07+00:00,109.0,1.3,0.2,0.9,-2.5,-65.789474,1.0,1,0.44214425048828127,False,REGULAR,USD,EMR,1,2025-05-02,2025-04-23 13:02:50.202182,102.66000366210938
EMR250502C00110000,2025-04-02 15:34:38+00:00,110.0,4.48,0.0,2.6,0.0,0.0,,1,0.559574716796875,False,REGULAR,USD,EMR,1,2025-05-02,2025-04-23 13:02:50.202182,102.66000366210938
