contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ENPH250425C00035000,2025-04-16 15:46:10+00:00,35.0,18.5,10.45,11.4,0.0,0.0,7.0,7,1.2500037499999999,True,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00040000,2025-03-28 16:05:59+00:00,40.0,22.8,3.9,7.55,0.0,0.0,2.0,2,2.2187544531249994,True,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00044000,2025-04-23 15:41:34+00:00,44.0,2.62,2.17,2.28,-7.0200005,-72.82158,18.0,21,1.0000000000000003e-05,True,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00044500,2025-04-23 15:44:06+00:00,44.5,1.82,1.95,2.1,-6.23,-77.391304,6.0,135,0.5097705273437501,True,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00045000,2025-04-23 16:27:33+00:00,45.0,1.6,1.5,1.65,-7.36,-82.14286,150.0,270,0.46094289062500005,True,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00045500,2025-04-23 16:26:28+00:00,45.5,1.36,1.24,1.35,-7.03,-83.79022,339.0,24,0.500005,True,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00046000,2025-04-23 16:17:44+00:00,46.0,1.08,0.98,1.1,-6.82,-86.32911,512.0,5,0.53320779296875,True,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00047000,2025-04-23 16:28:00+00:00,47.0,0.7,0.69,0.78,-6.15,-89.78102,753.0,41,0.5986368261718751,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00047500,2025-04-23 16:30:59+00:00,47.5,0.6,0.53,0.6,-5.9,-90.76923,214.0,6,0.6044961425781252,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00048000,2025-04-23 16:28:15+00:00,48.0,0.44,0.44,0.52,-5.96,-93.125,1256.0,55,0.64648791015625,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00049000,2025-04-23 16:28:05+00:00,49.0,0.27,0.27,0.32,-5.44,-95.271454,861.0,32,0.6738313867187502,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00049500,2025-04-23 16:17:18+00:00,49.5,0.22,0.19,0.23,-5.3300004,-96.03604,132.0,109,0.6679720703125002,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00050000,2025-04-23 16:23:48+00:00,50.0,0.16,0.16,0.2,-5.1400003,-96.98114,4326.0,318,0.70312796875,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00051000,2025-04-23 16:10:01+00:00,51.0,0.11,0.08,0.12,-4.29,-97.5,1300.0,450,0.7148466015625,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00052000,2025-04-23 16:13:33+00:00,52.0,0.07,0.05,0.1,-4.08,-98.31325,1142.0,610,0.773439765625,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00053000,2025-04-23 16:27:49+00:00,53.0,0.07,0.03,0.1,-3.53,-98.05556,1914.0,987,0.851563984375,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00054000,2025-04-23 16:02:35+00:00,54.0,0.03,0.03,0.07,-3.13,-99.05063,792.0,1980,0.8984385156249999,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00055000,2025-04-23 16:09:44+00:00,55.0,0.03,0.03,0.05,-2.71,-98.545456,1351.0,5075,0.9531254687499999,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00056000,2025-04-23 15:42:48+00:00,56.0,0.02,0.02,0.06,-2.35,-99.15612,113.0,753,1.0390673046875003,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00057000,2025-04-23 15:41:59+00:00,57.0,0.03,0.02,0.04,-1.9300001,-98.46938,293.0,661,1.0703171484375003,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00058000,2025-04-23 16:24:12+00:00,58.0,0.04,0.01,0.06,-1.6700001,-96.53179,221.0,421,1.171879140625,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00059000,2025-04-23 16:12:13+00:00,59.0,0.03,0.02,0.05,-1.36,-97.84173,155.0,617,1.2421912890624998,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00060000,2025-04-23 16:15:44+00:00,60.0,0.02,0.02,0.03,-1.15,-98.2906,754.0,2216,1.2578162109375,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00061000,2025-04-23 16:06:15+00:00,61.0,0.02,0.02,0.03,-0.93,-97.89474,594.0,682,1.3281283593749997,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00062000,2025-04-23 16:24:58+00:00,62.0,0.01,0.0,0.02,-0.79,-98.75,358.0,631,1.2500037499999999,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00063000,2025-04-23 16:09:03+00:00,63.0,0.03,0.01,0.03,-0.62,-95.38462,64.0,325,1.421877890625,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00064000,2025-04-23 14:38:22+00:00,64.0,0.01,0.01,0.02,-0.52,-98.11321,80.0,448,1.4375028125,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00065000,2025-04-23 15:33:23+00:00,65.0,0.02,0.01,0.02,-0.41,-95.34884,133.0,998,1.5000025,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00066000,2025-04-23 15:45:05+00:00,66.0,0.01,0.01,0.02,-0.33,-97.05882,175.0,1012,1.5468772656249998,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00067000,2025-04-23 13:34:44+00:00,67.0,0.02,0.01,0.02,-0.23,-92.0,489.0,1765,1.5937520312499998,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
ENPH250425C00068000,2025-04-23 15:42:50+00:00,68.0,0.01,0.0,0.02,-0.19999999,-95.23809,676.0,1443,1.5937520312499998,False,REGULAR,USD,ENPH,1,2025-04-25,2025-04-23 13:02:51.148378,46.38999938964844
