contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
EOG250425C00090000,2025-04-04 15:01:27+00:00,90.0,23.3,19.8,22.2,0.0,0.0,5.0,0.0,1.8779302978515624,True,REGULAR,USD,EOG,1,2025-04-25,2025-04-23 13:02:53.177091,111.33999633789062
EOG250425C00095000,2025-04-09 17:18:44+00:00,95.0,12.4,14.6,17.3,0.0,0.0,,0.0,1.5634787451171874,True,REGULAR,USD,EOG,1,2025-04-25,2025-04-23 13:02:53.177091,111.33999633789062
EOG250425C00096000,2025-04-15 19:03:41+00:00,96.0,11.55,13.5,16.3,0.0,0.0,,0.0,1.4892603662109374,True,REGULAR,USD,EOG,1,2025-04-25,2025-04-23 13:02:53.177091,111.33999633789062
EOG250425C00099000,2025-04-14 16:56:07+00:00,99.0,8.5,10.8,13.1,0.0,0.0,,0.0,1.173832255859375,True,REGULAR,USD,EOG,1,2025-04-25,2025-04-23 13:02:53.177091,111.33999633789062
EOG250425C00101000,2025-04-15 13:46:49+00:00,101.0,7.76,8.8,11.3,0.0,0.0,5.0,5.0,1.1171919140625,True,REGULAR,USD,EOG,1,2025-04-25,2025-04-23 13:02:53.177091,111.33999633789062
EOG250425C00102000,2025-04-09 17:18:42+00:00,102.0,7.7,8.1,10.3,0.0,0.0,,2.0,1.0419969775390627,True,REGULAR,USD,EOG,1,2025-04-25,2025-04-23 13:02:53.177091,111.33999633789062
EOG250425C00103000,2025-04-10 15:54:49+00:00,103.0,5.9,6.6,9.2,0.0,0.0,,1.0,0.9267585449218749,True,REGULAR,USD,EOG,1,2025-04-25,2025-04-23 13:02:53.177091,111.33999633789062
EOG250425C00104000,2025-04-17 18:47:00+00:00,104.0,8.6,6.1,8.0,0.0,0.0,9.0,17.0,0.772463212890625,True,REGULAR,USD,EOG,1,2025-04-25,2025-04-23 13:02:53.177091,111.33999633789062
EOG250425C00105000,2025-04-21 14:29:54+00:00,105.0,4.45,6.0,6.4,0.0,0.0,8.0,47.0,0.3711000390625,True,REGULAR,USD,EOG,1,2025-04-25,2025-04-23 13:02:53.177091,111.33999633789062
EOG250425C00106000,2025-04-17 13:38:48+00:00,106.0,5.29,3.7,5.3,0.0,0.0,1.0,11.0,1.0000000000000003e-05,True,REGULAR,USD,EOG,1,2025-04-25,2025-04-23 13:02:53.177091,111.33999633789062
