contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
EPAM250516C00140000,2025-04-17 19:07:52+00:00,140.0,14.8,16.6,20.3,0.0,0.0,1.0,1,0.6304968591308593,True,REGULAR,USD,EPAM,1,2025-05-16,2025-04-23 13:02:54.273865,154.50999450683594
EPAM250516C00145000,2025-04-22 17:54:48+00:00,145.0,11.3,14.3,17.0,0.0,0.0,6.0,16,0.6666293103027345,True,REGULAR,USD,EPAM,1,2025-05-16,2025-04-23 13:02:54.273865,154.50999450683594
EPAM250516C00150000,2025-04-23 15:11:55+00:00,150.0,15.0,11.6,13.7,6.1000004,68.53934,3.0,32,0.6580844738769531,True,REGULAR,USD,EPAM,1,2025-05-16,2025-04-23 13:02:54.273865,154.50999450683594
EPAM250516C00155000,2025-04-22 18:24:11+00:00,155.0,11.05,9.1,10.8,4.3500004,64.92538,1.0,20,0.6445348046875,False,REGULAR,USD,EPAM,1,2025-05-16,2025-04-23 13:02:54.273865,154.50999450683594
EPAM250516C00160000,2025-04-23 15:08:14+00:00,160.0,9.0,7.1,8.4,3.7600002,71.75574,5.0,46,0.63867548828125,False,REGULAR,USD,EPAM,1,2025-05-16,2025-04-23 13:02:54.273865,154.50999450683594
EPAM250516C00165000,2025-04-22 17:52:51+00:00,165.0,7.0,5.5,6.5,3.5,100.0,11.0,28,0.6381872119140625,False,REGULAR,USD,EPAM,1,2025-05-16,2025-04-23 13:02:54.273865,154.50999450683594
EPAM250516C00170000,2025-04-22 19:54:41+00:00,170.0,5.0,3.9,5.0,2.4,92.3077,4.0,14,0.6285437536621095,False,REGULAR,USD,EPAM,1,2025-05-16,2025-04-23 13:02:54.273865,154.50999450683594
EPAM250516C00175000,2025-04-22 14:34:48+00:00,175.0,1.85,2.6,3.8,0.0,0.0,1.0,34,0.6175575354003908,False,REGULAR,USD,EPAM,1,2025-05-16,2025-04-23 13:02:54.273865,154.50999450683594
EPAM250516C00180000,2025-04-17 19:50:03+00:00,180.0,2.0,2.05,2.8,0.47000003,30.718958,1.0,126,0.6245154736328126,False,REGULAR,USD,EPAM,1,2025-05-16,2025-04-23 13:02:54.273865,154.50999450683594
EPAM250516C00185000,2025-04-23 14:48:28+00:00,185.0,1.6,1.35,2.15,-0.029999971,-1.840489,1.0,12,0.6228065063476562,False,REGULAR,USD,EPAM,1,2025-05-16,2025-04-23 13:02:54.273865,154.50999450683594
EPAM250516C00190000,2025-04-23 16:01:39+00:00,190.0,1.29,0.95,1.5,0.53999996,71.99999,12.0,25,0.6184120190429689,False,REGULAR,USD,EPAM,1,2025-05-16,2025-04-23 13:02:54.273865,154.50999450683594
EPAM250516C00195000,2025-04-17 16:56:06+00:00,195.0,0.5,0.5,1.45,0.0,0.0,1.0,5,0.6359899682617188,False,REGULAR,USD,EPAM,1,2025-05-16,2025-04-23 13:02:54.273865,154.50999450683594
EPAM250516C00200000,2025-04-23 16:11:01+00:00,200.0,0.6,0.4,0.9,0.26000002,76.4706,4.0,16,0.6274451318359376,False,REGULAR,USD,EPAM,1,2025-05-16,2025-04-23 13:02:54.273865,154.50999450683594
EPAM250516C00210000,2025-04-21 13:30:02+00:00,210.0,0.1,0.0,1.5,0.0,0.0,2.0,23,0.7377955908203124,False,REGULAR,USD,EPAM,1,2025-05-16,2025-04-23 13:02:54.273865,154.50999450683594
EPAM250516C00220000,2025-04-16 18:20:22+00:00,220.0,0.14,0.0,0.7,0.0,0.0,5.0,9,0.7158231542968749,False,REGULAR,USD,EPAM,1,2025-05-16,2025-04-23 13:02:54.273865,154.50999450683594
EPAM250516C00230000,2025-04-14 14:37:43+00:00,230.0,0.14,0.0,1.5,0.0,0.0,5.0,15,0.9008798974609374,False,REGULAR,USD,EPAM,1,2025-05-16,2025-04-23 13:02:54.273865,154.50999450683594
EPAM250516C00270000,2025-03-26 19:49:29+00:00,270.0,0.15,0.0,1.5,0.0,0.0,,4,1.171879140625,False,REGULAR,USD,EPAM,1,2025-05-16,2025-04-23 13:02:54.273865,154.50999450683594
EPAM250516P00105000,2025-04-16 16:24:24+00:00,105.0,0.8,0.0,1.15,0.0,0.0,5.0,9,0.901368173828125,False,REGULAR,USD,EPAM,0,2025-05-16,2025-04-23 13:02:54.274867,154.50999450683594
EPAM250516P00110000,2025-04-16 17:52:55+00:00,110.0,1.46,0.0,1.5,0.0,0.0,7.0,7,0.8564467480468749,False,REGULAR,USD,EPAM,0,2025-05-16,2025-04-23 13:02:54.274867,154.50999450683594
EPAM250516P00115000,2025-04-16 13:56:14+00:00,115.0,1.88,0.15,1.45,0.0,0.0,1.0,1,0.7753928710937501,False,REGULAR,USD,EPAM,0,2025-05-16,2025-04-23 13:02:54.274867,154.50999450683594
EPAM250516P00120000,2025-04-21 19:59:35+00:00,120.0,2.74,0.65,1.9,0.0,0.0,15.0,35,0.770510107421875,False,REGULAR,USD,EPAM,0,2025-05-16,2025-04-23 13:02:54.274867,154.50999450683594
EPAM250516P00125000,2025-04-11 16:41:47+00:00,125.0,5.43,1.85,2.7,0.0,0.0,2.0,23,0.8063984204101562,False,REGULAR,USD,EPAM,0,2025-05-16,2025-04-23 13:02:54.274867,154.50999450683594
EPAM250516P00130000,2025-04-23 15:25:42+00:00,130.0,2.3,2.8,3.3,-2.2,-48.88889,5.0,14,0.7817404638671875,False,REGULAR,USD,EPAM,0,2025-05-16,2025-04-23 13:02:54.274867,154.50999450683594
EPAM250516P00135000,2025-04-23 14:35:19+00:00,135.0,3.14,3.5,4.4,-2.2,-41.1985,4.0,19,0.7503687072753906,False,REGULAR,USD,EPAM,0,2025-05-16,2025-04-23 13:02:54.274867,154.50999450683594
EPAM250516P00140000,2025-04-23 14:32:49+00:00,140.0,3.91,5.0,8.0,-3.49,-47.162163,1.0,35,0.8273943041992187,False,REGULAR,USD,EPAM,0,2025-05-16,2025-04-23 13:02:54.274867,154.50999450683594
