contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
EQIX250516C00630000,2025-04-09 17:28:47+00:00,630.0,154.0,173.0,179.9,0.0,0.0,,1,0.6041299353027345,True,REGULAR,USD,EQIX,1,2025-05-16,2025-04-23 13:02:56.837909,807.3400268554688
EQIX250516C00660000,2025-04-07 19:00:30+00:00,660.0,108.9,146.0,153.0,0.0,0.0,,1,0.6202430554199221,True,REGULAR,USD,EQIX,1,2025-05-16,2025-04-23 13:02:56.837909,807.3400268554688
EQIX250516C00730000,2025-04-09 19:33:05+00:00,730.0,85.54,81.6,88.3,0.0,0.0,,15,0.4794363580322265,True,REGULAR,USD,EQIX,1,2025-05-16,2025-04-23 13:02:56.837909,807.3400268554688
EQIX250516C00750000,2025-04-09 15:41:04+00:00,750.0,38.4,65.0,71.0,0.0,0.0,1.0,16,0.44147287048339845,True,REGULAR,USD,EQIX,1,2025-05-16,2025-04-23 13:02:56.837909,807.3400268554688
EQIX250516C00760000,2025-04-21 18:07:32+00:00,760.0,34.39,57.3,63.6,0.0,0.0,25.0,60,0.43622389953613283,True,REGULAR,USD,EQIX,1,2025-05-16,2025-04-23 13:02:56.837909,807.3400268554688
EQIX250516C00770000,2025-04-22 14:03:11+00:00,770.0,41.8,50.4,56.5,0.0,0.0,1.0,26,0.43008992767333987,True,REGULAR,USD,EQIX,1,2025-05-16,2025-04-23 13:02:56.837909,807.3400268554688
EQIX250516C00780000,2025-04-21 18:04:58+00:00,780.0,24.2,44.2,49.5,0.0,0.0,8.0,27,0.42020233123779294,True,REGULAR,USD,EQIX,1,2025-05-16,2025-04-23 13:02:56.837909,807.3400268554688
EQIX250516C00790000,2025-04-22 16:43:15+00:00,790.0,33.5,37.7,43.5,0.0,0.0,26.0,36,0.4179287944030761,True,REGULAR,USD,EQIX,1,2025-05-16,2025-04-23 13:02:56.837909,807.3400268554688
EQIX250516C00800000,2025-04-22 18:38:50+00:00,800.0,25.3,30.9,37.8,0.0,0.0,9.0,78,0.4137631866455078,True,REGULAR,USD,EQIX,1,2025-05-16,2025-04-23 13:02:56.837909,807.3400268554688
EQIX250516C00810000,2025-04-21 15:55:23+00:00,810.0,18.5,26.3,32.0,0.0,0.0,1.0,32,0.4028380029296875,False,REGULAR,USD,EQIX,1,2025-05-16,2025-04-23 13:02:56.837909,807.3400268554688
EQIX250516C00820000,2025-04-21 18:39:24+00:00,820.0,11.21,21.4,27.9,0.0,0.0,5.0,7,0.40688154159545903,False,REGULAR,USD,EQIX,1,2025-05-16,2025-04-23 13:02:56.837909,807.3400268554688
EQIX250516C00830000,2025-04-22 19:26:24+00:00,830.0,13.97,16.9,23.0,0.0,0.0,6.0,18,0.395437564239502,False,REGULAR,USD,EQIX,1,2025-05-16,2025-04-23 13:02:56.837909,807.3400268554688
