contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
EQR250516C00062500,2025-04-07 14:09:43+00:00,62.5,3.0,6.1,9.2,0.0,0.0,,39,0.7148466015625,True,REGULAR,USD,EQR,1,2025-05-16,2025-04-23 13:02:57.917823,69.62999725341797
EQR250516C00065000,2025-04-11 19:55:14+00:00,65.0,2.9,3.9,6.7,0.0,0.0,4.0,10,0.57617611328125,True,REGULAR,USD,EQR,1,2025-05-16,2025-04-23 13:02:57.917823,69.62999725341797
EQR250516C00067500,2025-04-17 13:36:28+00:00,67.5,2.6,1.95,4.1,0.0,0.0,2.0,28,0.41528905029296875,True,REGULAR,USD,EQR,1,2025-05-16,2025-04-23 13:02:57.917823,69.62999725341797
EQR250516C00070000,2025-04-22 13:52:21+00:00,70.0,1.48,0.95,2.2,0.0,0.0,1.0,99,0.33350275878906255,False,REGULAR,USD,EQR,1,2025-05-16,2025-04-23 13:02:57.917823,69.62999725341797
EQR250516C00072500,2025-04-22 17:06:28+00:00,72.5,0.55,0.0,0.9,0.0,0.0,70.0,174,0.2778392529296875,False,REGULAR,USD,EQR,1,2025-05-16,2025-04-23 13:02:57.917823,69.62999725341797
EQR250516C00075000,2025-04-23 13:46:32+00:00,75.0,0.4,0.05,0.55,0.17,73.91304,4.0,12,0.31201859863281245,False,REGULAR,USD,EQR,1,2025-05-16,2025-04-23 13:02:57.917823,69.62999725341797
EQR250516P00047500,2025-04-09 16:33:23+00:00,47.5,0.4,0.0,0.2,0.0,0.0,,1,0.7539087109375,False,REGULAR,USD,EQR,0,2025-05-16,2025-04-23 13:02:57.919828,69.62999725341797
EQR250516P00050000,2025-04-08 13:30:01+00:00,50.0,0.25,0.0,0.2,0.099999994,66.66666,1.0,1,0.6660189648437502,False,REGULAR,USD,EQR,0,2025-05-16,2025-04-23 13:02:57.919828,69.62999725341797
EQR250516P00055000,2025-04-10 14:54:21+00:00,55.0,0.57,0.0,1.45,0.0,0.0,1.0,12,0.7812521875,False,REGULAR,USD,EQR,0,2025-05-16,2025-04-23 13:02:57.919828,69.62999725341797
EQR250516P00060000,2025-04-17 19:24:03+00:00,60.0,0.7,0.0,2.5,0.0,0.0,50.0,54,0.684573466796875,False,REGULAR,USD,EQR,0,2025-05-16,2025-04-23 13:02:57.919828,69.62999725341797
EQR250516P00062500,2025-04-11 14:44:58+00:00,62.5,2.65,0.0,0.95,0.0,0.0,13.0,1627,0.5019581054687501,False,REGULAR,USD,EQR,0,2025-05-16,2025-04-23 13:02:57.919828,69.62999725341797
EQR250516P00065000,2025-04-22 16:22:07+00:00,65.0,0.75,0.0,1.0,0.0,0.0,50.0,448,0.393560751953125,False,REGULAR,USD,EQR,0,2025-05-16,2025-04-23 13:02:57.919828,69.62999725341797
EQR250516P00067500,2025-04-21 14:26:13+00:00,67.5,1.6,0.5,3.3,0.0,0.0,2.0,11,0.6110878735351564,False,REGULAR,USD,EQR,0,2025-05-16,2025-04-23 13:02:57.919828,69.62999725341797
EQR250516P00070000,2025-04-09 17:27:51+00:00,70.0,5.5,1.35,3.3,0.0,0.0,1.0,59,0.43604079589843747,True,REGULAR,USD,EQR,0,2025-05-16,2025-04-23 13:02:57.919828,69.62999725341797
EQR250516P00072500,2025-04-23 15:12:06+00:00,72.5,3.29,3.3,4.1,0.19000006,6.1290345,1.0,1,0.3298406860351562,True,REGULAR,USD,EQR,0,2025-05-16,2025-04-23 13:02:57.919828,69.62999725341797
EQR250516P00075000,2025-04-02 14:42:05+00:00,75.0,4.2,5.6,6.1,0.0,0.0,,1,0.34766277343749996,True,REGULAR,USD,EQR,0,2025-05-16,2025-04-23 13:02:57.919828,69.62999725341797
EQR250620C00055000,2024-12-16 05:14:07+00:00,55.0,17.37,16.5,21.2,0.0,0.0,,2,0.9970703417968749,True,REGULAR,USD,EQR,1,2025-06-20,2025-04-23 13:02:57.982993,69.62999725341797
EQR250620C00060000,2025-04-09 15:08:10+00:00,60.0,4.83,9.5,12.1,0.0,0.0,1.0,3,0.5908244042968751,True,REGULAR,USD,EQR,1,2025-06-20,2025-04-23 13:02:57.982993,69.62999725341797
EQR250620C00062500,2025-01-08 20:57:40+00:00,62.5,7.7,8.0,12.8,0.0,0.0,3.0,8,0.5863078479003907,True,REGULAR,USD,EQR,1,2025-06-20,2025-04-23 13:02:57.982993,69.62999725341797
EQR250620C00065000,2025-04-15 13:30:03+00:00,65.0,4.7,5.4,6.6,0.0,0.0,2.0,11,0.3569400244140625,True,REGULAR,USD,EQR,1,2025-06-20,2025-04-23 13:02:57.982993,69.62999725341797
EQR250620C00067500,2025-04-17 16:58:26+00:00,67.5,4.4,3.2,4.9,0.0,0.0,1.0,7,0.3402165588378906,True,REGULAR,USD,EQR,1,2025-06-20,2025-04-23 13:02:57.982993,69.62999725341797
EQR250620C00070000,2025-04-16 17:19:33+00:00,70.0,1.89,2.7,4.9,0.0,0.0,31.0,145,0.4544732287597656,False,REGULAR,USD,EQR,1,2025-06-20,2025-04-23 13:02:57.982993,69.62999725341797
EQR250620C00072500,2025-04-22 13:30:03+00:00,72.5,1.25,1.35,2.8,0.0,0.0,7.0,185,0.3579165771484375,False,REGULAR,USD,EQR,1,2025-06-20,2025-04-23 13:02:57.982993,69.62999725341797
EQR250620C00075000,2025-04-22 16:51:45+00:00,75.0,0.75,0.55,0.9,0.0,0.0,6.0,957,0.24195093994140626,False,REGULAR,USD,EQR,1,2025-06-20,2025-04-23 13:02:57.982993,69.62999725341797
EQR250620C00077500,2025-04-22 19:18:00+00:00,77.5,0.5,0.25,0.5,0.050000012,11.111114,1.0,303,0.2436599072265625,False,REGULAR,USD,EQR,1,2025-06-20,2025-04-23 13:02:57.982993,69.62999725341797
EQR250620C00080000,2025-04-04 14:10:24+00:00,80.0,0.3,0.0,0.25,0.0,0.0,1.0,146,0.2417068017578125,False,REGULAR,USD,EQR,1,2025-06-20,2025-04-23 13:02:57.982993,69.62999725341797
EQR250620C00082500,2025-04-04 13:40:47+00:00,82.5,0.3,0.0,0.95,0.0,0.0,2.0,10,0.405279384765625,False,REGULAR,USD,EQR,1,2025-06-20,2025-04-23 13:02:57.982993,69.62999725341797
EQR250620C00085000,2025-03-24 16:12:03+00:00,85.0,0.18,0.0,0.4,0.0,0.0,10.0,59,0.3540103662109374,False,REGULAR,USD,EQR,1,2025-06-20,2025-04-23 13:02:57.982993,69.62999725341797
EQR250620C00090000,2025-02-27 16:06:38+00:00,90.0,0.75,0.0,1.35,0.0,0.0,2.0,29,0.5927775097656252,False,REGULAR,USD,EQR,1,2025-06-20,2025-04-23 13:02:57.982993,69.62999725341797
EQR250620C00095000,2024-11-18 14:47:33+00:00,95.0,0.26,0.0,0.75,0.0,0.0,,2,0.5700726586914062,False,REGULAR,USD,EQR,1,2025-06-20,2025-04-23 13:02:57.982993,69.62999725341797
EQR250620P00050000,2025-03-11 18:52:19+00:00,50.0,0.2,0.15,0.8,0.0,0.0,8.0,8,0.5786174951171875,False,REGULAR,USD,EQR,0,2025-06-20,2025-04-23 13:02:57.985018,69.62999725341797
EQR250620P00055000,2025-04-10 18:55:36+00:00,55.0,1.22,0.1,0.9,0.0,0.0,9.0,69,0.5319871020507813,False,REGULAR,USD,EQR,0,2025-06-20,2025-04-23 13:02:57.985018,69.62999725341797
EQR250620P00057500,2025-04-10 16:22:20+00:00,57.5,1.75,0.0,2.65,0.0,0.0,8.0,19,0.5258836474609375,False,REGULAR,USD,EQR,0,2025-06-20,2025-04-23 13:02:57.985018,69.62999725341797
EQR250620P00060000,2025-04-09 19:19:58+00:00,60.0,1.15,0.1,1.2,0.0,0.0,10.0,17,0.42969320312500003,False,REGULAR,USD,EQR,0,2025-06-20,2025-04-23 13:02:57.985018,69.62999725341797
EQR250620P00062500,2025-04-09 19:21:36+00:00,62.5,1.3,0.4,1.3,0.0,0.0,5.0,76,0.36524072265625,False,REGULAR,USD,EQR,0,2025-06-20,2025-04-23 13:02:57.985018,69.62999725341797
EQR250620P00065000,2025-04-22 14:30:21+00:00,65.0,1.5,0.95,1.55,0.0,0.0,5.0,56,0.31250687499999996,False,REGULAR,USD,EQR,0,2025-06-20,2025-04-23 13:02:57.985018,69.62999725341797
EQR250620P00067500,2025-04-17 16:25:52+00:00,67.5,2.3,1.4,3.5,0.0,0.0,2.0,272,0.40833111206054684,False,REGULAR,USD,EQR,0,2025-06-20,2025-04-23 13:02:57.985018,69.62999725341797
EQR250620P00070000,2025-04-15 14:42:44+00:00,70.0,4.2,2.25,3.6,0.0,0.0,1.0,54,0.30493859130859374,True,REGULAR,USD,EQR,0,2025-06-20,2025-04-23 13:02:57.985018,69.62999725341797
EQR250620P00072500,2025-04-04 17:17:44+00:00,72.5,8.2,4.0,5.2,0.0,0.0,10.0,313,0.3147041186523437,True,REGULAR,USD,EQR,0,2025-06-20,2025-04-23 13:02:57.985018,69.62999725341797
EQR250620P00075000,2025-04-04 14:37:56+00:00,75.0,9.2,4.7,6.2,0.0,0.0,15.0,89,0.23389437988281248,True,REGULAR,USD,EQR,0,2025-06-20,2025-04-23 13:02:57.985018,69.62999725341797
EQR250620P00077500,2025-04-08 18:30:01+00:00,77.5,14.7,7.7,9.3,0.0,0.0,4.0,18,0.36157864990234373,True,REGULAR,USD,EQR,0,2025-06-20,2025-04-23 13:02:57.985018,69.62999725341797
EQR250620P00080000,2025-04-16 19:41:48+00:00,80.0,14.5,8.7,11.7,0.0,0.0,1.0,13,0.40552352294921873,True,REGULAR,USD,EQR,0,2025-06-20,2025-04-23 13:02:57.985018,69.62999725341797
EQR250620P00082500,2024-11-20 20:00:40+00:00,82.5,9.9,10.9,14.5,0.0,0.0,,1,0.4931691308593751,True,REGULAR,USD,EQR,0,2025-06-20,2025-04-23 13:02:57.985018,69.62999725341797
EQR250718C00060000,2025-01-31 19:58:54+00:00,60.0,11.74,13.2,15.2,0.0,0.0,1.0,3,0.6804231176757813,True,REGULAR,USD,EQR,1,2025-07-18,2025-04-23 13:02:58.037136,69.62999725341797
EQR250718C00062500,2025-01-06 18:13:34+00:00,62.5,9.2,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,EQR,1,2025-07-18,2025-04-23 13:02:58.037136,69.62999725341797
EQR250718C00065000,2024-12-05 16:36:07+00:00,65.0,10.2,7.3,8.0,0.0,0.0,,1,0.41040628662109374,True,REGULAR,USD,EQR,1,2025-07-18,2025-04-23 13:02:58.037136,69.62999725341797
EQR250718C00067500,2025-04-22 13:52:21+00:00,67.5,4.07,4.4,4.8,0.0,0.0,1.0,2,0.27246821289062495,True,REGULAR,USD,EQR,1,2025-07-18,2025-04-23 13:02:58.037136,69.62999725341797
EQR250718C00070000,2025-04-22 18:10:04+00:00,70.0,2.75,2.65,3.2,0.0,0.0,3.0,23,0.24878680908203127,False,REGULAR,USD,EQR,1,2025-07-18,2025-04-23 13:02:58.037136,69.62999725341797
EQR250718C00072500,2025-04-22 17:45:14+00:00,72.5,1.7,1.8,3.4,0.0,0.0,2.0,240,0.33960621337890623,False,REGULAR,USD,EQR,1,2025-07-18,2025-04-23 13:02:58.037136,69.62999725341797
EQR250718C00075000,2025-04-22 19:02:38+00:00,75.0,1.05,0.95,2.2,0.0,0.0,20.0,35,0.3106758386230468,False,REGULAR,USD,EQR,1,2025-07-18,2025-04-23 13:02:58.037136,69.62999725341797
EQR250718C00077500,2025-04-23 15:03:22+00:00,77.5,0.8,0.5,2.75,0.3,60.000004,5.0,76,0.4102842175292969,False,REGULAR,USD,EQR,1,2025-07-18,2025-04-23 13:02:58.037136,69.62999725341797
EQR250718C00080000,2025-03-27 15:32:12+00:00,80.0,0.78,0.3,2.25,0.0,0.0,10.0,11,0.4185849157714844,False,REGULAR,USD,EQR,1,2025-07-18,2025-04-23 13:02:58.037136,69.62999725341797
EQR250718C00085000,2025-03-04 15:43:28+00:00,85.0,0.9,0.0,0.0,0.0,0.0,10.0,10,0.12500875,False,REGULAR,USD,EQR,1,2025-07-18,2025-04-23 13:02:58.037136,69.62999725341797
EQR250718C00110000,2024-12-23 19:16:47+00:00,110.0,0.05,0.0,0.75,0.0,0.0,,2,0.5371140039062501,False,REGULAR,USD,EQR,1,2025-07-18,2025-04-23 13:02:58.037136,69.62999725341797
EQR250718P00055000,2025-04-21 19:13:24+00:00,55.0,0.66,0.0,2.35,0.0,0.0,3.0,266,0.6235389208984375,False,REGULAR,USD,EQR,0,2025-07-18,2025-04-23 13:02:58.038138,69.62999725341797
EQR250718P00057500,2025-04-21 13:34:16+00:00,57.5,0.96,0.4,2.45,0.0,0.0,3.0,5,0.5590864404296876,False,REGULAR,USD,EQR,0,2025-07-18,2025-04-23 13:02:58.038138,69.62999725341797
EQR250718P00060000,2025-04-15 13:30:04+00:00,60.0,1.45,0.2,2.4,0.0,0.0,1.0,17,0.4797415307617187,False,REGULAR,USD,EQR,0,2025-07-18,2025-04-23 13:02:58.038138,69.62999725341797
EQR250718P00062500,2025-04-09 19:05:40+00:00,62.5,2.4,0.9,1.8,0.0,0.0,2.0,2,0.3501041552734374,False,REGULAR,USD,EQR,0,2025-07-18,2025-04-23 13:02:58.038138,69.62999725341797
EQR250718P00065000,2025-04-14 17:58:11+00:00,65.0,2.8,0.6,2.6,0.0,0.0,1.0,35,0.34717449707031245,False,REGULAR,USD,EQR,0,2025-07-18,2025-04-23 13:02:58.038138,69.62999725341797
EQR250718P00067500,2025-04-08 16:44:08+00:00,67.5,6.3,2.15,3.2,0.0,0.0,8.0,34,0.31323928955078123,False,REGULAR,USD,EQR,0,2025-07-18,2025-04-23 13:02:58.038138,69.62999725341797
EQR250718P00070000,2025-04-22 19:33:52+00:00,70.0,3.8,3.5,4.0,0.0,0.0,400.0,842,0.28064684204101553,True,REGULAR,USD,EQR,0,2025-07-18,2025-04-23 13:02:58.038138,69.62999725341797
EQR250718P00072500,2025-04-15 14:45:08+00:00,72.5,6.55,3.6,5.7,0.0,0.0,1.0,43,0.2971261694335937,True,REGULAR,USD,EQR,0,2025-07-18,2025-04-23 13:02:58.038138,69.62999725341797
EQR250718P00075000,2025-04-03 14:28:57+00:00,75.0,6.8,6.0,7.0,0.0,0.0,3.0,16,0.2640454455566406,True,REGULAR,USD,EQR,0,2025-07-18,2025-04-23 13:02:58.038138,69.62999725341797
EQR250718P00077500,2025-03-28 15:14:48+00:00,77.5,8.0,8.3,9.1,0.0,0.0,6.0,10,0.2790599438476562,True,REGULAR,USD,EQR,0,2025-07-18,2025-04-23 13:02:58.038138,69.62999725341797
EQR251017C00060000,2025-03-27 14:54:59+00:00,60.0,13.41,10.9,12.9,0.0,0.0,1.0,14,0.3930724755859375,True,REGULAR,USD,EQR,1,2025-10-17,2025-04-23 13:02:58.111832,69.62999725341797
EQR251017C00062500,2025-03-12 14:35:51+00:00,62.5,9.5,6.7,8.9,0.0,0.0,,9,0.2425612854003906,True,REGULAR,USD,EQR,1,2025-10-17,2025-04-23 13:02:58.111832,69.62999725341797
EQR251017C00065000,2025-04-09 17:24:35+00:00,65.0,5.4,7.0,9.5,0.0,0.0,,9,0.3712221081542969,True,REGULAR,USD,EQR,1,2025-10-17,2025-04-23 13:02:58.111832,69.62999725341797
