contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
EQT250425C00032000,2025-04-17 19:12:29+00:00,32.0,19.3,17.8,18.2,0.0,0.0,2.0,4.0,2.328129179687499,1.0,REGULAR,USD,EQT,1,2025-04-25,2025-04-23 13:02:54.789941,50.150001525878906
EQT250425C00034000,2025-04-16 19:18:31+00:00,34.0,16.81,15.7,16.45,0.0,0.0,,1.0,2.832034169921875,1.0,REGULAR,USD,EQT,1,2025-04-25,2025-04-23 13:02:54.789941,50.150001525878906
EQT250425C00035000,2025-04-16 19:46:40+00:00,35.0,15.65,14.4,15.1,0.0,0.0,7.0,7.0,1.0000000000000003e-05,1.0,REGULAR,USD,EQT,1,2025-04-25,2025-04-23 13:02:54.789941,50.150001525878906
EQT250425C00035500,2025-04-17 17:42:02+00:00,35.5,15.8,14.0,14.75,0.0,0.0,2.0,2.0,2.0625048437499998,1.0,REGULAR,USD,EQT,1,2025-04-25,2025-04-23 13:02:54.789941,50.150001525878906
EQT250425C00037000,2025-04-17 19:14:22+00:00,37.0,14.25,11.6,13.6,0.0,0.0,1.0,1.0,2.57031607421875,1.0,REGULAR,USD,EQT,1,2025-04-25,2025-04-23 13:02:54.789941,50.150001525878906
EQT250425C00037500,2025-04-14 15:28:11+00:00,37.5,12.55,10.95,13.35,0.0,0.0,,8.0,2.816409208984375,1.0,REGULAR,USD,EQT,1,2025-04-25,2025-04-23 13:02:54.789941,50.150001525878906
EQT250425C00038500,2025-04-17 19:14:22+00:00,38.5,12.75,9.5,11.9,0.0,0.0,1.0,1.0,1.9882813085937499,1.0,REGULAR,USD,EQT,1,2025-04-25,2025-04-23 13:02:54.789941,50.150001525878906
EQT250425C00039000,2025-04-10 14:59:38+00:00,39.0,10.05,10.15,11.55,0.0,0.0,,1.0,2.150395249023437,1.0,REGULAR,USD,EQT,1,2025-04-25,2025-04-23 13:02:54.789941,50.150001525878906
EQT250425C00040000,2025-04-21 19:40:13+00:00,40.0,7.75,9.8,10.2,0.0,0.0,,5.0,1.2812535937499998,1.0,REGULAR,USD,EQT,1,2025-04-25,2025-04-23 13:02:54.789941,50.150001525878906
EQT250425C00041000,2025-04-09 14:52:52+00:00,41.0,6.77,8.7,9.55,0.0,0.0,4.0,4.0,1.818360283203125,1.0,REGULAR,USD,EQT,1,2025-04-25,2025-04-23 13:02:54.789941,50.150001525878906
