contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ERIE250516C00320000,2025-04-07 13:33:22+00:00,320.0,72.0,87.2,91.3,0.0,0.0,,0.0,0.6657748266601564,1.0,REGULAR,USD,ERIE,1,2025-05-16,2025-04-23 13:02:58.516946,407.0400085449219
ERIE250516C00340000,2025-04-09 17:20:35+00:00,340.0,58.4,68.0,72.1,0.0,0.0,,3.0,0.5784954260253907,1.0,REGULAR,USD,ERIE,1,2025-05-16,2025-04-23 13:02:58.516946,407.0400085449219
ERIE250516C00400000,2025-04-17 13:43:19+00:00,400.0,27.9,18.5,22.0,0.0,0.0,1.0,1.0,0.4426935614013672,1.0,REGULAR,USD,ERIE,1,2025-05-16,2025-04-23 13:02:58.516946,407.0400085449219
ERIE250516C00410000,2025-04-21 15:43:41+00:00,410.0,10.0,11.7,15.2,0.0,0.0,4.0,239.0,0.39826041198730466,0.0,REGULAR,USD,ERIE,1,2025-05-16,2025-04-23 13:02:58.516946,407.0400085449219
ERIE250516C00420000,2025-04-17 19:11:35+00:00,420.0,14.0,9.0,11.1,0.0,0.0,2.0,3.0,0.3971007556152344,0.0,REGULAR,USD,ERIE,1,2025-05-16,2025-04-23 13:02:58.516946,407.0400085449219
ERIE250516C00430000,2025-04-17 13:43:19+00:00,430.0,11.5,3.7,7.9,0.0,0.0,1.0,4.0,0.39649041015625003,0.0,REGULAR,USD,ERIE,1,2025-05-16,2025-04-23 13:02:58.516946,407.0400085449219
ERIE250516C00440000,2025-04-22 17:22:04+00:00,440.0,3.89,2.45,5.2,0.0,0.0,2.0,3.0,0.3875183319091796,0.0,REGULAR,USD,ERIE,1,2025-05-16,2025-04-23 13:02:58.516946,407.0400085449219
ERIE250516C00450000,2025-04-10 14:26:31+00:00,450.0,6.35,1.1,4.1,0.0,0.0,1.0,3.0,0.41058939025878904,0.0,REGULAR,USD,ERIE,1,2025-05-16,2025-04-23 13:02:58.516946,407.0400085449219
ERIE250516C00460000,2025-04-22 14:38:52+00:00,460.0,1.33,0.7,3.7,0.0,0.0,1.0,5.0,0.44989563781738284,0.0,REGULAR,USD,ERIE,1,2025-05-16,2025-04-23 13:02:58.516946,407.0400085449219
ERIE250516P00370000,2025-03-21 16:13:04+00:00,370.0,7.35,0.0,0.0,0.0,0.0,1.0,0.0,0.062509375,0.0,REGULAR,USD,ERIE,0,2025-05-16,2025-04-23 13:02:58.517959,407.0400085449219
ERIE250516P00420000,2025-04-17 17:30:19+00:00,420.0,19.91,20.3,22.9,0.0,0.0,2.0,2.0,0.3682619326782227,1.0,REGULAR,USD,ERIE,0,2025-05-16,2025-04-23 13:02:58.517959,407.0400085449219
ERIE250516P00450000,2025-04-07 13:33:22+00:00,450.0,68.0,42.4,46.0,0.0,0.0,,0.0,0.37067279724121094,1.0,REGULAR,USD,ERIE,0,2025-05-16,2025-04-23 13:02:58.517959,407.0400085449219
ERIE250516P00460000,2025-04-04 13:40:15+00:00,460.0,54.6,51.5,55.5,0.0,0.0,1.0,1.0,0.4007628283691406,1.0,REGULAR,USD,ERIE,0,2025-05-16,2025-04-23 13:02:58.517959,407.0400085449219
ERIE250516P00540000,2025-04-11 13:34:46+00:00,540.0,124.1,130.9,135.5,0.0,0.0,,0.0,0.7324245507812499,1.0,REGULAR,USD,ERIE,0,2025-05-16,2025-04-23 13:02:58.517959,407.0400085449219
ERIE250516P00550000,2025-04-04 15:02:43+00:00,550.0,135.8,140.9,145.2,0.0,0.0,1.0,0.0,0.7468287036132812,1.0,REGULAR,USD,ERIE,0,2025-05-16,2025-04-23 13:02:58.517959,407.0400085449219
ERIE250620C00250000,2024-12-13 20:40:43+00:00,250.0,176.8,151.5,161.5,0.0,0.0,1.0,1.0,0.8880626428222655,1.0,REGULAR,USD,ERIE,1,2025-06-20,2025-04-23 13:02:58.575100,407.0400085449219
ERIE250620C00260000,2024-12-10 15:54:01+00:00,260.0,139.8,143.3,153.3,0.0,0.0,,1.0,0.6293982373046876,1.0,REGULAR,USD,ERIE,1,2025-06-20,2025-04-23 13:02:58.575100,407.0400085449219
ERIE250620C00270000,2025-04-04 15:02:43+00:00,270.0,147.7,138.0,142.0,0.0,0.0,1.0,1.0,0.6986114123535156,1.0,REGULAR,USD,ERIE,1,2025-06-20,2025-04-23 13:02:58.575100,407.0400085449219
ERIE250620C00280000,2024-12-19 16:34:07+00:00,280.0,136.6,122.6,132.6,0.0,0.0,1.0,2.0,0.7637963073730469,1.0,REGULAR,USD,ERIE,1,2025-06-20,2025-04-23 13:02:58.575100,407.0400085449219
ERIE250620C00290000,2025-02-28 14:51:33+00:00,290.0,143.0,133.0,136.0,0.0,0.0,1.0,6.0,1.058781561584473,1.0,REGULAR,USD,ERIE,1,2025-06-20,2025-04-23 13:02:58.575100,407.0400085449219
ERIE250620C00300000,2024-12-27 19:57:20+00:00,300.0,128.2,106.1,111.1,0.0,0.0,1.0,4.0,0.5977213079833985,1.0,REGULAR,USD,ERIE,1,2025-06-20,2025-04-23 13:02:58.575100,407.0400085449219
ERIE250620C00310000,2025-04-08 13:40:20+00:00,310.0,89.5,99.3,103.2,0.0,0.0,,1.0,0.5535322967529297,1.0,REGULAR,USD,ERIE,1,2025-06-20,2025-04-23 13:02:58.575100,407.0400085449219
ERIE250620C00320000,2025-04-22 15:33:30+00:00,320.0,90.21,90.4,93.9,0.0,0.0,1.0,1.0,0.5346726220703125,1.0,REGULAR,USD,ERIE,1,2025-06-20,2025-04-23 13:02:58.575100,407.0400085449219
ERIE250620C00330000,2025-04-09 17:19:42+00:00,330.0,69.5,82.1,85.2,0.0,0.0,1.0,3.0,0.5280808911132813,1.0,REGULAR,USD,ERIE,1,2025-06-20,2025-04-23 13:02:58.575100,407.0400085449219
ERIE250620C00340000,2025-04-08 13:53:06+00:00,340.0,69.8,72.2,75.9,0.0,0.0,5.0,5.0,0.5319871020507813,1.0,REGULAR,USD,ERIE,1,2025-06-20,2025-04-23 13:02:58.575100,407.0400085449219
ERIE250620C00350000,2024-12-19 16:32:43+00:00,350.0,76.1,61.4,71.0,0.0,0.0,2.0,4.0,0.5856059506225585,1.0,REGULAR,USD,ERIE,1,2025-06-20,2025-04-23 13:02:58.575100,407.0400085449219
ERIE250620C00360000,2025-01-22 18:37:19+00:00,360.0,41.96,40.5,44.5,0.0,0.0,1.0,3.0,1.0000000000000003e-05,1.0,REGULAR,USD,ERIE,1,2025-06-20,2025-04-23 13:02:58.575100,407.0400085449219
ERIE250620C00370000,2025-01-22 18:37:19+00:00,370.0,35.16,34.0,37.8,0.0,0.0,1.0,3.0,0.15973740661621094,1.0,REGULAR,USD,ERIE,1,2025-06-20,2025-04-23 13:02:58.575100,407.0400085449219
ERIE250620C00380000,2025-02-28 15:19:31+00:00,380.0,66.62,53.5,57.0,0.0,0.0,1.0,2.0,0.640353938293457,1.0,REGULAR,USD,ERIE,1,2025-06-20,2025-04-23 13:02:58.575100,407.0400085449219
