contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ESS250516C00260000,2025-04-08 17:08:22+00:00,260.0,14.94,18.4,22.4,0.0,0.0,,0.0,0.3996031719970704,1.0,REGULAR,USD,ESS,1,2025-05-16,2025-04-23 13:02:59.092586,278.19000244140625
ESS250516C00270000,2025-04-22 16:10:37+00:00,270.0,12.8,11.8,14.3,0.0,0.0,1.0,6.0,0.34448897705078124,1.0,REGULAR,USD,ESS,1,2025-05-16,2025-04-23 13:02:59.092586,278.19000244140625
ESS250516C00280000,2025-04-22 19:31:46+00:00,280.0,9.0,5.4,8.4,1.5500002,20.805372,5.0,334.0,0.3249579223632812,0.0,REGULAR,USD,ESS,1,2025-05-16,2025-04-23 13:02:59.092586,278.19000244140625
ESS250516C00290000,2025-04-23 15:06:53+00:00,290.0,3.8,1.15,4.2,0.099999905,2.7027001,41.0,12.0,0.3057930749511719,0.0,REGULAR,USD,ESS,1,2025-05-16,2025-04-23 13:02:59.092586,278.19000244140625
ESS250516C00300000,2025-03-28 19:56:38+00:00,300.0,13.74,0.0,2.7,0.0,0.0,5.0,7.0,0.3404606970214844,0.0,REGULAR,USD,ESS,1,2025-05-16,2025-04-23 13:02:59.092586,278.19000244140625
ESS250516C00310000,2025-03-31 16:01:29+00:00,310.0,9.6,0.0,1.95,0.0,0.0,,2.0,0.38184211914062494,0.0,REGULAR,USD,ESS,1,2025-05-16,2025-04-23 13:02:59.092586,278.19000244140625
ESS250516C00320000,2025-04-10 18:11:55+00:00,320.0,0.96,0.0,0.75,0.0,0.0,1.0,2.0,0.35718416259765623,0.0,REGULAR,USD,ESS,1,2025-05-16,2025-04-23 13:02:59.092586,278.19000244140625
ESS250516P00195000,2025-04-09 17:21:47+00:00,195.0,1.5,0.0,1.35,0.0,0.0,,1.0,0.7744163183593751,0.0,REGULAR,USD,ESS,0,2025-05-16,2025-04-23 13:02:59.094591,278.19000244140625
ESS250516P00220000,2025-04-04 16:26:00+00:00,220.0,1.0,0.0,0.75,0.0,0.0,2.0,2.0,0.5585981640625001,0.0,REGULAR,USD,ESS,0,2025-05-16,2025-04-23 13:02:59.094591,278.19000244140625
ESS250516P00230000,2025-04-04 16:34:39+00:00,230.0,2.0,0.0,1.55,0.0,0.0,1.0,1.0,0.5585981640625001,0.0,REGULAR,USD,ESS,0,2025-05-16,2025-04-23 13:02:59.094591,278.19000244140625
ESS250516P00240000,2025-04-17 14:08:59+00:00,240.0,1.75,0.0,1.85,0.0,0.0,1.0,4.0,0.4852346398925781,0.0,REGULAR,USD,ESS,0,2025-05-16,2025-04-23 13:02:59.094591,278.19000244140625
ESS250516P00250000,2025-04-17 19:16:21+00:00,250.0,2.25,0.2,2.35,0.0,0.0,1.0,3.0,0.41699801757812494,0.0,REGULAR,USD,ESS,0,2025-05-16,2025-04-23 13:02:59.094591,278.19000244140625
ESS250516P00260000,2025-04-08 14:16:58+00:00,260.0,8.93,1.35,4.3,0.0,0.0,,5.0,0.4037535211181641,0.0,REGULAR,USD,ESS,0,2025-05-16,2025-04-23 13:02:59.094591,278.19000244140625
ESS250516P00270000,2025-04-23 15:36:50+00:00,270.0,4.2,4.2,6.2,-2.0,-32.258064,2.0,4.0,0.3479679461669921,0.0,REGULAR,USD,ESS,0,2025-05-16,2025-04-23 13:02:59.094591,278.19000244140625
ESS250516P00280000,2025-04-22 15:58:42+00:00,280.0,9.6,7.4,10.8,0.0,0.0,1.0,1.0,0.3458317370605468,1.0,REGULAR,USD,ESS,0,2025-05-16,2025-04-23 13:02:59.094591,278.19000244140625
ESS250516P00290000,2025-04-07 17:38:09+00:00,290.0,28.1,13.7,17.0,0.0,0.0,,1.0,0.34448897705078124,1.0,REGULAR,USD,ESS,0,2025-05-16,2025-04-23 13:02:59.094591,278.19000244140625
ESS250516P00300000,2025-03-31 15:07:07+00:00,300.0,6.49,21.3,25.2,0.0,0.0,5.0,10.0,0.3734193518066406,1.0,REGULAR,USD,ESS,0,2025-05-16,2025-04-23 13:02:59.094591,278.19000244140625
ESS250516P00310000,2025-04-08 14:12:35+00:00,310.0,42.46,31.9,35.1,0.0,0.0,1.0,0.0,0.45642633422851564,1.0,REGULAR,USD,ESS,0,2025-05-16,2025-04-23 13:02:59.094591,278.19000244140625
ESS250516P00430000,2025-04-07 13:41:10+00:00,430.0,171.0,151.4,155.7,0.0,0.0,,0.0,1.0146533642578124,1.0,REGULAR,USD,ESS,0,2025-05-16,2025-04-23 13:02:59.094591,278.19000244140625
ESS250620P00240000,2025-04-17 14:16:22+00:00,240.0,3.05,0.5,3.4,0.0,0.0,1.0,1.0,0.37622694091796877,0.0,REGULAR,USD,ESS,0,2025-06-20,2025-04-23 13:02:59.156753,278.19000244140625
ESS250718C00185000,2025-03-25 15:17:43+00:00,185.0,121.21,92.1,95.9,0.0,0.0,,0.0,0.6146278771972657,1.0,REGULAR,USD,ESS,1,2025-07-18,2025-04-23 13:02:59.222925,278.19000244140625
ESS250718C00250000,2025-02-19 20:28:43+00:00,250.0,46.84,51.4,54.7,0.0,0.0,1.0,3.0,0.7290371334838868,1.0,REGULAR,USD,ESS,1,2025-07-18,2025-04-23 13:02:59.222925,278.19000244140625
ESS250718C00260000,2025-02-18 20:09:12+00:00,260.0,37.5,42.7,46.0,0.0,0.0,3.0,1.0,0.6611972357177736,1.0,REGULAR,USD,ESS,1,2025-07-18,2025-04-23 13:02:59.222925,278.19000244140625
ESS250718C00270000,2025-01-16 15:27:06+00:00,270.0,24.9,26.1,30.5,0.0,0.0,1.0,5.0,0.4919484399414063,1.0,REGULAR,USD,ESS,1,2025-07-18,2025-04-23 13:02:59.222925,278.19000244140625
ESS250718C00280000,2025-04-16 17:04:10+00:00,280.0,14.0,11.5,15.5,0.0,0.0,2.0,8.0,0.30170376037597657,0.0,REGULAR,USD,ESS,1,2025-07-18,2025-04-23 13:02:59.222925,278.19000244140625
ESS250718C00290000,2025-04-10 13:55:13+00:00,290.0,10.25,6.7,10.8,0.06000042,0.5888167,1.0,9.0,0.28971047210693357,0.0,REGULAR,USD,ESS,1,2025-07-18,2025-04-23 13:02:59.222925,278.19000244140625
ESS250718C00300000,2025-04-21 13:57:50+00:00,300.0,5.0,3.3,7.3,0.0,0.0,1.0,25.0,0.28232529205322265,0.0,REGULAR,USD,ESS,1,2025-07-18,2025-04-23 13:02:59.222925,278.19000244140625
ESS250718C00310000,2025-04-07 17:47:06+00:00,310.0,4.6,1.1,5.2,0.0,0.0,2.0,407.0,0.28742167663574214,0.0,REGULAR,USD,ESS,1,2025-07-18,2025-04-23 13:02:59.222925,278.19000244140625
ESS250718C00320000,2025-04-07 16:34:34+00:00,320.0,2.93,0.05,4.1,0.0,0.0,1.0,13.0,0.3040230731201171,0.0,REGULAR,USD,ESS,1,2025-07-18,2025-04-23 13:02:59.222925,278.19000244140625
ESS250718C00330000,2025-04-21 14:46:54+00:00,330.0,1.2,0.85,2.95,0.0,0.0,2.0,29.0,0.30939411315917964,0.0,REGULAR,USD,ESS,1,2025-07-18,2025-04-23 13:02:59.222925,278.19000244140625
ESS250718C00340000,2025-04-15 13:33:16+00:00,340.0,1.65,0.0,2.45,0.0,0.0,1.0,8.0,0.32721620056152345,0.0,REGULAR,USD,ESS,1,2025-07-18,2025-04-23 13:02:59.222925,278.19000244140625
ESS250718C00350000,2025-02-28 14:30:03+00:00,350.0,3.3,0.0,3.4,0.0,0.0,1.0,3.0,0.39398799377441407,0.0,REGULAR,USD,ESS,1,2025-07-18,2025-04-23 13:02:59.222925,278.19000244140625
ESS250718C00360000,2025-02-28 14:30:03+00:00,360.0,2.05,0.0,0.0,0.0,0.0,1.0,1.0,0.12500875,0.0,REGULAR,USD,ESS,1,2025-07-18,2025-04-23 13:02:59.222925,278.19000244140625
ESS250718C00370000,2025-04-15 18:54:37+00:00,370.0,0.3,0.0,1.6,0.0,0.0,1.0,7.0,0.38013315185546875,0.0,REGULAR,USD,ESS,1,2025-07-18,2025-04-23 13:02:59.222925,278.19000244140625
ESS250718C00380000,2025-03-04 14:30:02+00:00,380.0,1.65,0.0,0.0,0.0,0.0,1.0,2.0,0.12500875,0.0,REGULAR,USD,ESS,1,2025-07-18,2025-04-23 13:02:59.222925,278.19000244140625
