contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ES250516C00050000,2025-04-16 13:44:35+00:00,50.0,8.63,7.1,10.4,0.0,0.0,2.0,2,0.6611362011718751,True,REGULAR,USD,ES,1,2025-05-16,2025-04-23 13:03:01.877914,57.75
ES250516C00055000,2025-04-22 18:14:03+00:00,55.0,4.2,3.1,3.9,0.99999976,31.249992,12.0,38,0.39282833740234374,True,REGULAR,USD,ES,1,2025-05-16,2025-04-23 13:03:01.877914,57.75
ES250516C00060000,2025-04-22 19:40:28+00:00,60.0,0.85,0.4,0.7,0.23000002,37.09678,1.0,1802,0.2617261328125,False,REGULAR,USD,ES,1,2025-05-16,2025-04-23 13:03:01.877914,57.75
ES250516C00065000,2025-04-22 15:10:13+00:00,65.0,0.13,0.0,0.2,0.0,0.0,2.0,36,0.33399103515625,False,REGULAR,USD,ES,1,2025-05-16,2025-04-23 13:03:01.877914,57.75
ES250516C00070000,2025-04-17 15:27:59+00:00,70.0,0.05,0.0,0.05,0.0,0.0,251.0,257,0.37305314453125,False,REGULAR,USD,ES,1,2025-05-16,2025-04-23 13:03:01.877914,57.75
ES250516P00045000,2025-04-22 17:16:36+00:00,45.0,0.05,0.0,1.2,0.0,0.0,1.0,31,0.813478427734375,False,REGULAR,USD,ES,0,2025-05-16,2025-04-23 13:03:01.878917,57.75
ES250516P00050000,2025-04-21 19:59:19+00:00,50.0,0.3,0.0,0.55,0.0,0.0,59.0,78,0.53320779296875,False,REGULAR,USD,ES,0,2025-05-16,2025-04-23 13:03:01.878917,57.75
ES250516P00055000,2025-04-23 15:48:53+00:00,55.0,0.6,0.65,0.95,-0.099999964,-14.285709,41.0,77,0.35352208984374994,False,REGULAR,USD,ES,0,2025-05-16,2025-04-23 13:03:01.878917,57.75
ES250516P00060000,2025-04-21 13:49:30+00:00,60.0,3.39,0.55,3.8,0.0,0.0,1.0,198,0.41797457031249996,True,REGULAR,USD,ES,0,2025-05-16,2025-04-23 13:03:01.878917,57.75
ES250718C00035000,2024-12-20 16:23:27+00:00,35.0,22.01,21.0,25.1,0.0,0.0,1.0,1,0.63086306640625,True,REGULAR,USD,ES,1,2025-07-18,2025-04-23 13:03:01.934059,57.75
ES250718C00050000,2025-03-04 17:45:53+00:00,50.0,11.68,0.0,0.0,0.0,0.0,1.0,9,1.0000000000000003e-05,True,REGULAR,USD,ES,1,2025-07-18,2025-04-23 13:03:01.934059,57.75
ES250718C00055000,2025-04-15 18:57:27+00:00,55.0,4.85,3.9,4.5,0.0,0.0,2.0,282,0.2662426892089844,True,REGULAR,USD,ES,1,2025-07-18,2025-04-23 13:03:01.934059,57.75
ES250718C00060000,2025-04-23 14:51:31+00:00,60.0,2.2,1.25,1.8,0.45000005,25.714289,3.0,292,0.24268335449218748,False,REGULAR,USD,ES,1,2025-07-18,2025-04-23 13:03:01.934059,57.75
ES250718C00065000,2025-04-23 15:36:38+00:00,65.0,0.57,0.3,0.7,0.06999999,13.999998,36.0,600,0.2553785400390626,False,REGULAR,USD,ES,1,2025-07-18,2025-04-23 13:03:01.934059,57.75
ES250718C00070000,2025-04-23 15:07:20+00:00,70.0,0.21,0.05,0.3,0.059999987,39.99999,1.0,450,0.27686270019531245,False,REGULAR,USD,ES,1,2025-07-18,2025-04-23 13:03:01.934059,57.75
ES250718P00040000,2025-04-14 17:35:23+00:00,40.0,0.2,0.05,0.25,0.0,0.0,3.0,25,0.467778759765625,False,REGULAR,USD,ES,0,2025-07-18,2025-04-23 13:03:01.935062,57.75
ES250718P00045000,2025-04-09 16:13:44+00:00,45.0,1.21,0.0,0.7,0.0,0.0,4.0,76,0.44727115234375,False,REGULAR,USD,ES,0,2025-07-18,2025-04-23 13:03:01.935062,57.75
ES250718P00050000,2025-04-21 15:31:51+00:00,50.0,1.18,0.55,0.9,0.0,0.0,2.0,144,0.3332586206054688,False,REGULAR,USD,ES,0,2025-07-18,2025-04-23 13:03:01.935062,57.75
ES250718P00055000,2025-04-22 16:09:51+00:00,55.0,1.86,1.55,1.95,0.0,0.0,1.0,108,0.2858958129882812,False,REGULAR,USD,ES,0,2025-07-18,2025-04-23 13:03:01.935062,57.75
ES250718P00060000,2025-04-15 18:23:32+00:00,60.0,3.81,3.9,4.4,0.0,0.0,4.0,62,0.2749095947265625,True,REGULAR,USD,ES,0,2025-07-18,2025-04-23 13:03:01.935062,57.75
ES250718P00065000,2025-04-21 15:31:51+00:00,65.0,9.97,5.5,8.9,0.0,0.0,2.0,8,0.36475244628906256,True,REGULAR,USD,ES,0,2025-07-18,2025-04-23 13:03:01.935062,57.75
ES251017C00040000,2025-04-09 13:41:26+00:00,40.0,14.0,17.1,20.3,0.0,0.0,,1,0.6506382592773439,True,REGULAR,USD,ES,1,2025-10-17,2025-04-23 13:03:01.987556,57.75
ES251017C00050000,2025-04-14 15:35:34+00:00,50.0,9.42,8.1,11.4,0.0,0.0,15.0,21,0.45825737060546884,True,REGULAR,USD,ES,1,2025-10-17,2025-04-23 13:03:01.987556,57.75
ES251017C00055000,2025-04-21 14:05:35+00:00,55.0,4.9,5.1,6.0,0.0,0.0,4.0,235,0.2863840893554687,True,REGULAR,USD,ES,1,2025-10-17,2025-04-23 13:03:01.987556,57.75
ES251017C00060000,2025-04-23 16:16:47+00:00,60.0,3.1,2.8,3.9,0.5,19.23077,52.0,72,0.30188686401367193,False,REGULAR,USD,ES,1,2025-10-17,2025-04-23 13:03:01.987556,57.75
ES251017C00065000,2025-04-23 16:18:10+00:00,65.0,1.4,1.1,1.7,-0.100000024,-6.666668,18.0,679,0.25843026733398444,False,REGULAR,USD,ES,1,2025-10-17,2025-04-23 13:03:01.987556,57.75
ES251017C00070000,2025-04-23 15:49:18+00:00,70.0,0.54,0.3,0.75,-0.45999998,-45.999996,9.0,34,0.24927508544921873,False,REGULAR,USD,ES,1,2025-10-17,2025-04-23 13:03:01.987556,57.75
ES251017C00075000,2025-03-20 13:40:49+00:00,75.0,0.55,0.0,3.9,0.0,0.0,5.0,6,0.5643354113769532,False,REGULAR,USD,ES,1,2025-10-17,2025-04-23 13:03:01.987556,57.75
ES251017C00095000,2025-03-07 19:38:57+00:00,95.0,0.23,0.0,0.0,0.0,0.0,4.0,4,0.12500875,False,REGULAR,USD,ES,1,2025-10-17,2025-04-23 13:03:01.987556,57.75
ES251017P00040000,2025-03-07 19:40:44+00:00,40.0,0.46,0.0,0.0,0.0,0.0,4.0,4,0.12500875,False,REGULAR,USD,ES,0,2025-10-17,2025-04-23 13:03:01.988558,57.75
ES251017P00045000,2025-04-21 14:31:57+00:00,45.0,0.95,0.0,2.45,0.0,0.0,1.0,5,0.499028447265625,False,REGULAR,USD,ES,0,2025-10-17,2025-04-23 13:03:01.988558,57.75
ES251017P00050000,2025-04-22 17:53:47+00:00,50.0,1.59,1.3,1.9,0.0,0.0,1.0,149,0.3220282641601562,False,REGULAR,USD,ES,0,2025-10-17,2025-04-23 13:03:01.988558,57.75
ES251017P00055000,2025-04-23 14:56:34+00:00,55.0,2.8,2.75,5.0,-0.29999995,-9.677419,1.0,132,0.4012511047363281,False,REGULAR,USD,ES,0,2025-10-17,2025-04-23 13:03:01.988558,57.75
ES251017P00060000,2025-04-22 16:09:51+00:00,60.0,5.3,4.5,5.9,0.0,0.0,1.0,29,0.28650615844726557,True,REGULAR,USD,ES,0,2025-10-17,2025-04-23 13:03:01.988558,57.75
